13年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,17, 8,Ｒイキ, 50,内田博, 2.3, 52,* 16, -46,10, 90.7, ⑤④,17,12,Ｐアサクサティアラ, 65,池添謙, 2.7, 57,  15, -47,14, 59.2, ⑫⑮
,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｇピュアソウル, 68,川田将, 3.2, 46,* 18, -61, 4,  8.4, ③③,18,17,Ｆリラコサｰジュ, 76,松田大, 2.9, 54,  21, -62,12, 40.2, ⑧⑦
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:重(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-21 馬場:重(指数:3),,,,,,,,,,,
単勝:180円 複勝:11=110円 14=210円 08=380円 枠連:440円,,,,,,,,,,,,"単勝:380円 複勝:06=180円 07=1,910円 05=390円 枠連:10,990円",,,,,,,,,,,,"単勝:11,250円 複勝:10=1,710円 01=120円 05=430円 枠連:4,380円",,,,,,,,,,,,"単勝:380円 複勝:01=180円 15=570円 02=680円 枠連:2,730円",,,,,,,,,,,
"馬連:670円 ワイド:11-14=340円 08-11=700円 08-14=1,410円",,,,,,,,,,,,"馬連:13,580円 ワイド:06-07=3,690円 05-06=920円 05-07=6,450円",,,,,,,,,,,,"馬連:10,210円 ワイド:01-10=2,880円 05-10=12,080円 01-05=570円",,,,,,,,,,,,"馬連:7,840円 ワイド:01-15=2,060円 01-02=1,640円 02-15=7,110円",,,,,,,,,,,
"馬単:980円 3連複:2,830円 3連単:10,170円",,,,,,,,,,,,"馬単:21,060円 3連複:34,820円 3連単:267,050円",,,,,,,,,,,,"馬単:33,860円 3連複:41,240円 3連単:461,150円",,,,,,,,,,,,"馬単:14,600円 3連複:47,410円 3連単:269,150円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,新涼特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｊウォｰシップマｰチ, 51,岡田祥,, 70,   0,* 12, 6, 12.1,⑮⑮⑮, 1,16,Ｂカシュカシュ, 80,藤懸貴,, 75,   6,* 10, 1,  2.8,⑯⑭⑬, 1, 6,Ｆアンリヴィｰルド, 78,四位洋,, 82,*  3,* 14, 3,  7.4, ①①, 1, 7,Ａヒｰラ, 73,中井裕,, 74,  15, -12, 3,  8.0, ④④
 2, 5,Ｆクリノバトゥｰラ, 57,古川吉, 0.7, 63,* 10, -14, 5,  9.3,①①①, 2, 7,Ｋヴァレンティｰア, 63,川田将, 0.4, 73,   7,*  4, 8, 37.2,⑬⑬⑫, 2, 5,Ｈシゲルモトナリ, 77,菱田裕, 0.3, 80,  -3,* 19,11, 66.9, ⑬⑬, 2, 3,Ｍエンプレスラブ, 62,菱田裕, 0.1, 73,* 17, -17,11, 28.1, ①①
 3, 2,Ｃディオｰサシチｰ, 58,国分恭, 1.0, 60,   7, -10, 2,  3.9,④④④, 3,15,Ｌテｰオｰフェアリｰ, 62,幸英明, 0.5, 71,   8,   0,13, 74.0,⑩⑩⑥, 3,14,Ａカチュｰシャ, 84,内田博, 0.4, 79,  -1,* 16, 2,  3.1, ⑪⑧, 3,15,Ｆライブリシュネル, 69,酒井学, 0.1, 67,   3,  -2,12, 31.9, ⑪⑪
 4, 8,Ａライドンシャフト, 64,川田将, 1.1, 61,   5,  -7, 1,  2.6,⑩⑦⑥, 4,13,Ｄサイモンガｰランド, 74,浜中俊, 0.6, 69,  10,  -3, 2,  4.5,⑪⑦③, 4, 7,Ｄエｰシンルミナス, 78,北村友, 0.6, 76,*  2,  10, 5, 12.4, ②②, 4, 5,Ｇセイウンヒマワリ, 69,太宰啓, 0.2, 68,   4,  -2, 9, 22.5, ⑩⑩
 5,12,Ｄラムレット, 57,幸英明, 1.4, 60,   4,  -7, 4,  7.5,⑫⑪⑦, 5,11,Ｃロゼラニ, 74,高倉稜, 0.8, 67,   8,  -3, 3,  4.5,⑨⑨⑧, 5, 1,Ｏアｰトオブビｰン, 72,水口優, 0.9, 75,*  2,   8,15,260.1, ⑤④, 5,12,Ｂドリｰムマｰクス, 71,小牧太, 0.2, 69,  11, -11, 1,  3.5, ⑦⑦
 6,10,Ｇアドマイヤキンボシ, 56,藤懸貴, 1.5, 58,   2,  -5, 7, 16.6,⑯⑭⑨, 6, 6,Ｈセカイノカナ, 66,荻野要, 0.8, 68,* 11,  -7, 5, 22.5,②②②, 6,11,Ｂポップアイコン, 80,浜中俊, 1.0, 73,*  2,   7, 1,  2.7, ③③, 6,16,Ｋヤマニンボンプアン, 66,岩崎翼, 0.4, 68,  15, -18,10, 26.4, ⑤⑤
