13年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,13,Ｂゼンノステルス, 54,和田竜, 0.6, 52,   4, -10, 6, 17.2, ⑤④, 7, 1, ブレイズゴｰルド,---,メンデ, 1.2, 49, -18,  -3, 2,  8.8,②③⑥, 7,11,Ａタイキソレイユ, 81,福永祐, 0.7, 73,  -6,  15, 1,  4.5, ⑬⑬, 7,11,Ｄグランプリボス, 88,内田博, 0.6, 85,  11,  14, 2,  4.6, ⑩⑦
 8, 1,Ｉシゲルハリマ, 41,松山弘, 1.2, 45,   2, -14, 8, 68.4, ⑦⑦, 8, 4, エネミｰゼロ,---,内田博, 1.4, 49, -19,  -3, 9, 48.6,⑥⑤⑦, 8, 2,Ｎメイショウスザンナ, 54,北村友, 0.8, 71,  -7,  14, 8, 18.3, ⑫⑫, 8,12,Ｇサンカルロ, 84,吉田豊, 0.8, 83,  10,  14,11, 36.0, ⑬⑬
 9,12,Ｃドナプロミス, 53,岩崎翼, 1.6, 39, -13,  -3, 7, 26.9, ⑪⑪, 9, 5, シュネｰクリスタル,---,岩田康, 1.4, 52, -22,   3, 7, 23.4,⑩⑪⑨, 9,13,Ｃハナズインパルス, 78,小牧太, 0.8, 71,  -3,  10, 5,  8.3, ⑥⑥, 9, 4,Ｈシャイニｰホｰク, 80,小牧太, 0.8, 83,   8,  15,12, 88.8, ⑪⑪
10, 7,Ｌスプリングカンナ, 20,秋山真, 1.7, 38, -18,*  2,10,221.1, ⑫⑫,10, 7, マルカブラン,---,四位洋, 2.4, 36, -21, -14,11, 94.0,⑪⑨⑧,10,14,Ｊアｰトオブビｰン, 72,水口優, 1.0, 70,  -4,   9,13, 71.6, ⑦⑧,10, 2,Ｉテイエムオオタカ, 78,藤田伸, 0.9, 82,  13,   7, 9, 25.5, ④④
11,11,Ｋテイエムガｰネット, 22,森一馬, 2.3, 33,  -7, -15,13,349.5, ⑩⑩,11, 3, ブリｰズラプソディ,---,浜中俊, 2.9, 29, -19, -23, 8, 43.8,⑤⑦⑩,11, 8,Ｂワンダｰスキｰ, 79,幸英明, 1.0, 69,* -1,   5, 6,  8.4, ②②,11, 6,Ｋハッピｰカオル, 75,岩田康, 1.1, 80,  14,   5,13,219.0, ⑤⑤
12, 6,Ｇサチノクイｰン, 44,国分優, 3.5, 25,*  7, -39, 4, 11.0, ①③,,,,,,,,,,,,,12, 9,Ｍシゲルアケビ, 67,和田竜, 1.0, 70,  -6,  11, 9, 25.1, ⑨⑨,12, 8,Ｊエｰシントップ, 77,幸英明, 1.3, 77,* 15,   1, 6, 11.5, ③③
13, 3,Ｍティｰエスキセキ,-67,太宰啓, 3.6, 27, -24, -10,12,276.9, ⑬⑬,,,,,,,,,,,,,13,15,Ｈタンスチョキン, 76,国分優, 1.1, 68,  -7,  12,10, 35.8, ⑭⑭,13, 3,Ｆアドマイヤセプタｰ, 88,四位洋, 1.4, 76,  11,   5, 7, 18.5, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｌブライトポジｰ, 69,森一馬, 1.1, 69,  -6,  10,14,100.4, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｏキｰクッキｰ, 54,太宰啓, 1.4, 66,* -2,   3,12, 63.8, ④③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:4),,,,,,,,,,,
"単勝:150円 複勝:10=110円 09=310円 08=1,840円 枠連:640円",,,,,,,,,,,,単勝:130円 複勝:10=100円 11=190円 08=290円 枠連:490円,,,,,,,,,,,,"単勝:480円 複勝:03=200円 05=200円 01=190円 枠連:1,480円",,,,,,,,,,,,"単勝:2,050円 複勝:10=560円 09=330円 07=960円 枠連:890円",,,,,,,,,,,
"馬連:710円 ワイド:09-10=360円 08-10=2,480円 08-09=7,610円",,,,,,,,,,,,"馬連:480円 ワイド:10-11=210円 08-10=360円 08-11=1,260円",,,,,,,,,,,,"馬連:1,630円 ワイド:03-05=640円 01-03=710円 01-05=700円",,,,,,,,,,,,"馬連:6,770円 ワイド:09-10=2,320円 07-10=6,500円 07-09=2,860円",,,,,,,,,,,
"馬単:1,010円 3連複:12,410円 3連単:27,750円",,,,,,,,,,,,"馬単:580円 3連複:2,150円 3連単:4,750円",,,,,,,,,,,,"馬単:3,280円 3連複:3,220円 3連単:18,790円",,,,,,,,,,,,"馬単:16,920円 3連複:55,880円 3連単:426,890円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,萩ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｍマコトサダイジン, 30,蛯名正,, 64,* -4,*  3, 4, 12.0, ④④, 1,10,Ｄアルボナンザ, 75,四位洋,, 77,   3,* 12, 8, 18.0, ⑬⑫, 1, 1,Ｇデリッツァリモｰネ, 54,メンデ,, 66,   8,   1, 5, 10.7, ②④, 1,12,Ａミッキｰホワイト, 80,北村友,, 77,   3,   9, 1,  3.4, ④④
 2,12,Ｄラディウス, 52,デムｰ, 0.0, 62,* -4,*  2, 2,  8.0, ②②, 2, 2,Ｊセトノミッシｰ, 72,幸英明, 0.2, 77,   6,   7, 9, 27.2, ⑨⑧, 2, 4,Ｂワンアンドオンリｰ, 61,国分優, 0.0, 67,   8,   2, 6, 18.7, ⑦⑥, 2, 1,Ｉランドクイｰン, 76,吉田豊, 0.0, 77,*  7,   5, 7, 14.1, ①①
 3,11,Ａトウキョウタフガイ, 64,川田将, 0.3, 58,* -4,  -3, 1,  1.5, ③③, 3, 9,Ｆステイウェル, 75,水口優, 0.2, 77,*  9,   2, 4,  9.2, ①①, 3, 7,Ｆフェルメッツァ, 54,武豊  , 0.2, 65,   6,*  4, 4,  7.1, ⑧⑧, 3, 5,Ｂアｰスゼウス, 79,浜中俊, 0.1, 76,*  5,   6, 2,  3.8, ②②
 4, 6,Ｆルｰルビクトリア, 47,北村友, 0.6, 56,  -5,  -4, 3, 10.6, ⑥⑦, 4, 8,Ｈシゲルケンシン, 72,内田博, 0.2, 75,   0,* 14,14, 86.9, ⑭⑭, 4, 5,Ｈシャンパｰニュ, 48,松山弘, 0.4, 63,   4,*  5, 7, 27.4, ⑨⑨, 4, 6,Ｌラインオブナイト, 74,岩田康, 0.3, 74,   1,   8, 9, 27.7, ⑦⑥
 5, 4,Ｃオｰディンバロｰズ, 53,岩田康, 0.7, 54,  -7,  -4, 5, 13.0, ⑧⑧, 5, 3,Ｂオビｰディエント, 77,秋山真, 0.4, 75,   5,   7, 1,  2.6, ⑪⑪, 5, 2,Ｅサトノスｰペリア, 55,秋山真, 0.7, 59,   7,  -6, 8, 44.7, ⑤⑦, 5,13,Ｃノベンバｰペガサス, 78,池添謙, 0.3, 75,  -1,* 10, 5, 10.3, ⑩⑧
 6, 8,Ｇガルグイユ, 45,福永祐, 1.4, 47,  -7, -13, 7, 14.9, ⑩⑨, 6,14,Ｇゼロワンシンジロｰ, 74,浜中俊, 0.6, 73,   7,   2, 3,  5.9, ⑦④, 6, 3,Ｄレｰヴデトワｰル, 55,川田将, 0.7, 58,* 10, -12, 1,  2.1, ③②, 6, 4,Ｄミラクルルｰマｰ, 78,藤田伸, 0.3, 74,   3,   6, 4,  6.8, ③③
