13年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月13日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,壬生特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,12,Ｐクｰファシｰズンズ, 15,藤岡康, 3.4, 34,  -8, -12,12,244.3, ⑨⑩,12, 7,Ｃウインドクラスト, 71,福永祐, 1.3, 63,   5,  -6, 3,  7.3, ⑥⑤,12,13,Ｍナスノイブキ, 53,荻野琢, 2.4, 48,  -1,  -6,14,450.3, ⑩⑫,12,12,Ｍエバｰブロッサム, 69,戸崎圭, 0.7, 69,  10,   1, 4, 13.5,⑭⑫⑬
13, 3,Ｏゼニスブルｰ, 27,小牧太, 3.8, 31,  -8, -16, 6, 29.7, ⑧⑧,13,16,Ｎトｰブプリンセス, 59,鮫島良, 1.4, 62,   0,  -1,16,503.0, ⑩⑭,13, 9,Ｊアドマイヤシャドウ, 64,小牧太, 2.9, 45,   5, -16, 6, 20.2, ⑤⑧,13, 3,Ｇティアｰモ, 75,川田将, 0.8, 68,  13,  -9, 6, 15.5,④④④
14,15,Ｄパｰプルパルピナ, 48,秋山真, 3.9, 30, -12, -10, 8, 58.0, ⑭⑭,14, 9,Ｅアナスタシアブルｰ, 70,岩田康, 1.8, 59,   5, -11, 6, 11.8, ⑦⑥,14,10,Ｎシャインケニｰ, 40,小坂忠, 3.7, 41,   7, -25,13,114.3, ③⑤,14, 9,Ｋノボリディアｰナ, 72,幸英明, 0.8, 68,* 16, -14,10, 31.2,③③③
15, 8,Ｅヒャクマンバリキ, 48,藤懸貴, 4.0, 29, -11, -14, 9, 70.3, ⑪⑫,15,12,Ｍノヴェッロ, 60,柴山雄, 1.9, 57,   0,  -5,14,284.5, ⑬⑬,,,,,,,,,,,,,15, 4,Ｐコレクタｰアイテム, 66,秋山真, 0.9, 68,   9,  -1,14, 68.9,⑧⑧⑪
16,10,Ｎシゲルイズミ, 27,酒井学, 4.2, 29, -13, -12,13,295.1, ⑯⑯,16, 4,Ｐマイスピリット, 38,藤懸貴, 2.5, 52,  -3,  -6,15,349.8, ⑭⑯,,,,,,,,,,,,,16,18,Ｑセレブリティモデル, 63,松山弘, 1.2, 67,   5,   8,17,151.4,⑱⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,Ｎサクラプレジｰル, 69,福永祐, 1.4, 64,   7,  -4,13, 64.7,⑬⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｂビｰナストリック, 79,津村明, 3.8, 44,* 19, -65,18,164.8,①①①
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,
単勝:180円 複勝:02=110円 14=110円 04=300円 枠連:280円,,,,,,,,,,,,"単勝:3,530円 複勝:08=1,070円 05=710円 14=990円 枠連:1,880円",,,,,,,,,,,,単勝:360円 複勝:02=140円 04=160円 01=150円 枠連:960円,,,,,,,,,,,,"単勝:520円 複勝:16=200円 01=180円 13=2,260円 枠連:630円",,,,,,,,,,,
馬連:270円 ワイド:02-14=150円 02-04=460円 04-14=670円,,,,,,,,,,,,"馬連:20,100円 ワイド:05-08=6,330円 08-14=10,230円 05-14=7,210円",,,,,,,,,,,,"馬連:1,010円 ワイド:02-04=360円 01-02=310円 01-04=380円",,,,,,,,,,,,"馬連:950円 ワイド:01-16=500円 13-16=9,820円 01-13=7,480円",,,,,,,,,,,
