13年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
単勝:230円 複勝:16=130円 12=210円 06=280円 枠連:580円,,,,,,,,,,,,単勝:150円 複勝:05=110円 10=280円 14=160円 枠連:850円,,,,,,,,,,,,"単勝:2,710円 複勝:08=590円 01=1,570円 09=190円 枠連:13,790円",,,,,,,,,,,,"単勝:1,550円 複勝:07=240円 09=110円 06=150円 枠連:1,110円",,,,,,,,,,,
馬連:950円 ワイド:12-16=410円 06-16=570円 06-12=940円,,,,,,,,,,,,馬連:930円 ワイド:05-10=370円 05-14=250円 10-14=900円,,,,,,,,,,,,"馬連:35,470円 ワイド:01-08=8,420円 08-09=2,050円 01-09=4,540円",,,,,,,,,,,,"馬連:1,190円 ワイド:07-09=410円 06-07=590円 06-09=210円",,,,,,,,,,,
"馬単:1,290円 3連複:2,940円 3連単:8,660円",,,,,,,,,,,,"馬単:1,280円 3連複:1,360円 3連単:5,220円",,,,,,,,,,,,"馬単:70,430円 3連複:86,710円 3連単:711,430円",,,,,,,,,,,,"馬単:4,510円 3連複:1,400円 3連単:14,310円",,,,,,,,,,,
■ 3R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,国立特別,,,,,,,,,,,,河口湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12, ジャッカスバｰク,---,メンデ,, 67,*-14,* 20, 1,  2.6, ④④, 1,11,Ａタガノトネｰル, 81,川田将,, 75,*  1,  14, 1,  2.7, ②②, 1,11,Ｃネオウィズダム, 80,後藤浩,, 92,  18,   5, 8, 15.0, ③③, 1,10,Ｃサクラレグナム, 80,戸崎圭,, 78,*  7,  12, 1,  2.4, ④④
 2,13, ハットシテグｰ,---,内田博, 0.0, 65,*-14,* 19, 2,  4.9, ②②, 2,14,Ｄタイザンホクト, 75,デムｰ, 0.4, 70,  -1,  13, 2,  5.2, ③④, 2, 2,Ｋアンチュラス, 72,三浦皇, 0.7, 86,  17,  -2,11, 37.2, ⑤⑤, 2, 4,Ｈストｰミングスタｰ, 76,横山典, 0.3, 75,   5,  12, 4,  8.9, ⑥⑤
 3,10, アナザｰバｰジョン,---,福永祐, 0.7, 62, -16,* 17, 4,  8.9, ⑤⑤, 3,13,Ｉキタサンミカヅキ, 68,武士沢, 0.5, 72,  -5,  16, 4,  6.0, ⑧⑧, 3,17,Ａファントムロｰド, 82,石橋脩, 0.8, 83,  18,  -6,10, 22.9, ④④, 3,15,Ｊミヤビリファイン, 75,吉田豊, 0.5, 74,*  9,   5, 9, 35.0, ②②
 4,11, ショウナンガッチャ,---,石橋脩, 1.5, 56, -17,  12,10, 46.4, ⑦⑦, 4, 7,Ｇジョバイロ, 70,大野拓, 0.5, 71,  -2,  14, 8, 30.0, ⑤⑤, 4, 4,Ｎサクラディソｰル, 66,戸崎圭, 0.9, 85,   4,* 13, 4,  7.8, ⑦⑦, 4,11,Ｅカフェラビリンス, 79,柴田善, 0.5, 72,   5,   9,12, 77.9, ⑤⑥
