13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 3月17日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,下総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 1,Ｃヒシパシフィック, 60,嶋田純, 1.5, 53,*  7, -19, 3,  9.8,①②③, 8, 6,Ｂジェイケイネオ, 59,蛯名正, 0.5, 52,   1, -10, 1,  3.6,⑧⑥⑦, 8,12,Ｉクロスカップリング, 66,蛯名正, 0.9, 69,*  1,   1, 6, 14.0,⑦④④, 8, 4,Ｄマイネルストラｰノ, 73,津村明, 0.5, 81,   6,   7,10, 24.3,⑪⑩⑪
 9,10,Ｇヴェルフェン, 56,蛯名正, 1.7, 52,   6, -19, 2,  6.3,⑦④④, 9,12,Ｋミュｰル, 41,三浦皇, 0.5, 54,   0,  -7,13,198.9,⑩⑩⑩, 9, 6,Ｋテナシティｰ, 65,柴田善, 0.9, 69,*  1,   1, 9, 29.4,④③③, 9,10,Ｅシンネン, 72,北村友, 0.7, 77,   5,   6,12, 38.5,⑬⑫⑩
10,15,Ｌフクノカストル, 52,岩部純, 2.6, 48,   1, -16,15,260.3,⑪⑭⑮,10,10,Ｅコンチェルティｰノ, 55,デムｰ, 0.7, 48,*  3, -19,10, 25.5,⑥③④,10,15,Ｊストｰンヘンジ, 65,岩田康, 1.1, 70,  -4,   8,11, 43.4,⑮⑮⑭,10, 6,Ｃアクションスタｰ, 76,池添謙, 0.7, 78,   6,   5, 7, 13.2,⑨⑨⑦
11,11,Ｄアルマライズ, 60,松岡正, 2.9, 44,   5, -27, 5, 11.8,⑮⑥⑥,11, 7,Ｍドリｰムワン, 36,和田竜, 0.7, 53,  -6,*  2,11,140.3,⑭⑭⑫,11,10,Ｇフェニックスソｰド, 70,松岡正, 1.4, 65,  -1,  -3, 7, 26.7,⑨⑩⑩,11,13,Ｏアドマイヤオウジャ, 65,岩田康, 0.7, 79,   3,   9, 5,  8.3,⑮⑮⑭
12,14,Ｈサトノロｰタス, 54,池添謙, 3.3, 44,   5, -31, 9, 44.2,③⑤⑧,12, 8,Ｌホｰリｰナンバｰ, 41,村田一, 1.1, 46,  -2, -14,12,152.5,⑬⑪⑪,12,11,Ｏフリｰマン, 64,柴田大, 1.7, 62,  -1,  -8,15,210.5,⑤⑨⑫,12, 9,Ｍショウナンダイラ, 68,柴田善, 1.6, 65,   9, -16,13, 73.8,⑤⑥⑨
13, 3,Ｎアンクランダイユ, 42,三浦皇, 3.9, 40,   2, -29,13,148.2,⑧⑫⑫,13, 9,Ｏメリオンジョｰ, 34,嘉藤貴, 1.5, 42,  -4, -16,16,581.1,⑫⑬⑬,13, 4,Ｎクラｰロデルナ, 64,吉田豊, 1.7, 61,  -1,  -8,13, 86.0,⑥⑦⑧,13, 1,Ｈワイルドドラゴン, 72,田辺裕, 1.7, 63,* 13, -26,15,123.6,①①①
14, 4,Ｋコウヨウセレクト, 52,江田照, 3.9, 39,   4, -33,14,163.8,⑥⑧⑨,14,16,Ｐアングリア, 23,杉原誠, 1.5, 45,  -6, -10,15,481.5,⑮⑮⑭,14,13,Ｆブｰケドロゼブルｰ, 70,江田照, 1.9, 58,*  2, -16,12, 76.1,①①②,14,12,Ｋザラストロ, 69,松岡正, 1.7, 65,* 14, -27,14, 78.3,③③③
15, 7,Ｍルナｰエイジ, 44,田中博, 4.1, 40,   1, -26,12,144.4,⑨⑮⑯,15,13,Ｉスプライトオｰバｰ, 51,田中勝, 2.0, 35,   0, -33, 8, 20.2,②④⑤,15, 1,Ｐカネトシデンファレ, 54,田中勝, 2.1, 58,  -3,  -6,14,109.2,⑪⑭⑮,15, 7,Ｌテイエムダイパワｰ, 68,太宰啓, 2.2, 60,* 13, -33, 9, 23.5,②②②
16, 2,Ｏルイジアナビバップ, 40,柴田大, 4.7, 35,   4, -38,11, 77.6,④⑨⑭,16, 5,Ｎツクバナデシコ, 35,北村友, 2.3, 36,  -4, -24,14,215.8,⑪⑫⑮,16, 9,Ｍボタモチ, 64,武士沢, 2.1, 59,  -5,  -3,16,296.0,⑯⑯⑯,16, 3,Ｐクレバｰユニバｰス, 56,田中勝, 2.8, 55,   3, -20,16,283.3,⑭⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
