13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,花背特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,13,Ｉエアシュノンソｰ, 49,武豊  , 1.0, 52,  -8,  -7,10, 69.7, ⑨⑪,13, 8,Ｄコスモミレディｰ, 60,菱田裕, 1.4, 52,  -8,   1,12, 65.5,⑬⑰⑰,13,11,Ｅスナイプビッド, 72,小牧太, 0.9, 72,  -3,   9,11, 28.5, ⑮⑭,13, 8,Ｌゲシュタルト, 81,四位洋, 0.7, 83,  -5,  15,14, 97.8, ⑪⑪
14,17,Ｈカシノステイタス, 50,藤懸貴, 1.3, 47, -16,  -1,18,870.4, ⑯⑭,14, 3,Ｊマイネルプレッジ, 53,浜中俊, 1.5, 48,  -5,  -7, 9, 24.3,⑯⑭⑫,14,13,Ｆアドマイヤバｰトン, 72,川田将, 0.9, 72,  -4,  12, 9, 18.4, ⑰⑰,14,13,Ｊアドマイヤセプタｰ, 82,岩田康, 0.8, 83,  -9,  17, 6, 13.5, ⑮⑬
15, 5,Ｏゴッドエンペラｰ, 36,太宰啓, 1.4, 47, -15,  -3,15,183.4, ⑭⑮,15, 7,Ｏシゲルヒダカ, 37,森一馬, 2.2, 41,  -7, -14,16,464.8,⑩⑫⑯,15,10,Ｎエｰシンクｰフラン, 65,秋山真, 1.3, 66,   0,   0,13,157.2, ⑩⑫,15, 2,Ｋサイレントソニック, 82,武幸四, 0.8, 85, -13,* 21, 9, 27.0, ⑰⑰
16, 4,Ｑサチノクイｰン, 24,国分優, 1.5, 44,* -2, -22,13,133.1, ②②,16,13,Ｒテイエムボッケモン, 33,古川吉, 2.3, 39,  -5, -19,15,153.3,⑪⑬⑪,16, 9,Ｏスリｰネイチャｰ, 65,水口優, 1.4, 65,  -1,   0,17,278.4, ⑫⑪,16,12,Ｈオセアニアボス, 83,小牧太, 0.8, 84, -11,  20,17,221.1, ⑯⑯
17, 7,Ｒラブセッタｰ, 17,菱田裕, 1.8, 42, -18,  -5,16,324.4, ⑱⑱,17,12,Ｎジョウショｰノブシ, 39,国分恭, 2.4, 41,  -8, -12,18,560.2,⑱⑱⑱,17, 6,Ｐマナウス, 63,酒井学, 2.5, 51,   1, -22,18,374.6, ⑧⑨,17, 7,Ｐリュンヌ, 78,岡田祥, 2.6, 55,   2, -18,15,113.2, ⑥⑦
18,11,Ｐラゴアボニｰタ, 28,高倉稜, 3.1, 27, -15, -25,17,627.3, ⑮⑯,18, 9,Ｐテイエムイチリュウ, 36,国分優, 2.7, 37,  -6, -21,17,490.1,⑰⑯⑮,18, 7, タガノゴｰジャス,---,幸英明, 3.2, 45,   6, -39,14,161.1, ④④,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:630円 複勝:12=230円 01=1,360円 02=570円 枠連:2,950円",,,,,,,,,,,,"単勝:430円 複勝:01=190円 11=300円 17=880円 枠連:2,480円",,,,,,,,,,,,"単勝:1,180円 複勝:01=290円 14=130円 18=410円 枠連:1,010円",,,,,,,,,,,,"単勝:1,580円 複勝:03=500円 01=720円 05=760円 枠連:3,840円",,,,,,,,,,,
"馬連:13,140円 ワイド:01-12=2,640円 02-12=790円 01-02=3,450円",,,,,,,,,,,,"馬連:2,130円 ワイド:01-11=750円 01-17=3,180円 11-17=4,550円",,,,,,,,,,,,"馬連:1,880円 ワイド:01-14=690円 01-18=2,450円 14-18=980円",,,,,,,,,,,,"馬連:14,390円 ワイド:01-03=4,040円 03-05=4,180円 01-05=6,730円",,,,,,,,,,,
"馬単:23,910円 3連複:21,510円 3連単:160,960円",,,,,,,,,,,,"馬単:3,410円 3連複:30,580円 3連単:127,820円",,,,,,,,,,,,"馬単:4,290円 3連複:10,280円 3連単:64,540円",,,,,,,,,,,,"馬単:26,610円 3連複:90,000円 3連単:467,650円",,,,,,,,,,,
■ 3R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,京都2歳ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａマッドアバウトユｰ, 64,古川吉,, 69,*  7,  -4, 3,  4.5, ②②, 1, 3, トウケイタイガｰ,---,福永祐,, 55,  -9,  -1, 1,  1.6, ④④, 1, 9,Ｉトｰセンスタｰダム, 51,武豊  ,, 76,  -5,* 18, 1,  1.5,⑧⑧⑦, 1,12,Ｄワイドバッハ, 79,川田将,, 78,  -1,  14, 6, 16.6, ⑦⑧
 2,11,Ｏアレット, 36,浜中俊, 0.5, 61,   2,  -4, 6, 15.4, ⑤⑤, 2, 8, サンレイクウッド,---,浜中俊, 0.2, 53,* -7,  -5, 2,  4.0, ②②, 2, 6,Ｇアグネスドリｰム, 60,川田将, 0.0, 72,*  1,   5, 5, 14.9,①①①, 2, 1,Ｌスマｰトレパｰド, 71,武豊  , 0.0, 78,*  3,  10, 2,  6.0, ①①
 3, 2,Ｄヒカリセット, 59,福永祐, 0.7, 57,  -6,*  2, 4,  6.0, ⑪⑪, 3, 4, ビｰトゴｰズオン,---,川田将, 0.4, 52, -15,*  1, 3,  6.9, ⑧⑧, 3, 7,Ｈサトノロブロイ, 55,松田大, 0.2, 70,* -1,   5, 4, 12.7,②②②, 3, 4,Ａオｰルブラックス, 84,浜中俊, 0.2, 76,   0,  11, 1,  1.8, ⑤④
 4, 7,Ｅカシノボルト, 59,幸英明, 0.7, 61,*  5,  -9, 2,  4.4, ③③, 3, 2, ミキノグランプリ,---,国分恭, 0.4, 51,* -6,  -7,10, 95.1, ①①, 4, 5,Ｃピｰクトラム, 65,ルメｰ, 0.3, 71,  -2,   8, 2,  3.9,④④④, 4, 8,Ｋアルボナンザ, 72,武幸四, 0.2, 79,  -7,* 20, 9, 34.1, ⑮⑯
 5, 1,Ｂルスナイプリンセス, 61,秋山真, 0.9, 57,   3,  -9, 5,  6.3, ④④, 5, 6, メイショウパワｰズ,---,武幸四, 1.0, 48, -21,*  1, 4, 12.0, ⑩⑩, 5, 1,Ｆシャンパｰニュ, 62,松山弘, 0.5, 71,  -5,  13, 6, 22.0,⑦⑦⑧, 5, 9,Ｃトップオブザヘヴン, 81,デムｰ, 0.2, 76,  -5,* 19, 5, 15.6, ⑭⑬
 6,12,Ｃスマｰトエビデンス, 60,武豊  , 1.1, 59,*  8, -16, 1,  4.0, ①①, 6, 9, ステキナシンノスケ,---,大下智, 1.0, 45,* -7, -12, 8, 65.6, ③③, 6, 4,Ｂヤマニンアリエッタ, 67,高倉稜, 0.6, 68,  -4,   7, 9, 97.8,⑤⑤⑥, 6,14,Ｊアフリカンハンタｰ, 73,小牧太, 0.5, 74,  -4,  13,12,100.4, ⑫⑩
 7, 3,Ｆビットアリエス, 56,川須栄, 1.1, 56,   0,  -7, 7, 15.8, ⑥⑦, 7,10, タマモグラッセ,---,水口優, 1.2, 46, -11,  -9, 5, 22.5, ⑤⑤, 7, 3,Ａマイネルメリエンダ, 69,和田竜, 0.6, 68,  -2,   4, 3, 12.3,③③③, 7,10,Ｅアテｰナｰズブレス, 76,酒井学, 0.6, 73,  -3,  12, 8, 30.7, ⑪⑫
