13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,13年 9月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■10R  ダ2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,鳥取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,13,Ｋスピナッチ, 31,池添謙, 1.3, 37,*  5, -17,10, 62.5, ⑤④, 7, 4, アイスブレイク,---,武豊  , 1.1, 36,*-19, -16, 4,  7.2, ①①, 7, 3,Ｈウエスタンレベッカ, 71,高倉稜, 0.2, 71,   6,   2, 6, 10.7,②③③, 7, 8,Ｆトｰホウストロング, 77,岩田康, 0.8, 76,   2,   2, 8, 32.0, ⑨⑧
 8, 8,Ｄタイセイクルｰズ, 43,福永祐, 1.5, 33,   3, -19, 5,  8.4, ⑥⑥, 8, 8, メイショウシンシア,---,森一馬, 1.4, 35, -26, -10,12, 85.8, ⑨⑨, 8, 7,Ｃサクセスフェイト, 75,福永祐, 0.6, 67,   6,  -2, 4,  7.4,④④④, 8, 5,Ｈロｰドエアフォｰス, 75,池添謙, 1.0, 69,*  6, -11, 3,  7.8, ①①
 9,12,Ｍテイエムモンスタｰ, 25,幸英明, 1.6, 33,*  4, -22, 9, 55.5, ⑩⑤, 9, 6, ヤマニンルポ,---,四位洋, 1.5, 34, -26, -12, 7, 28.0, ⑩⑩, 9,10,Ｄフレｰジャパン, 72,藤田伸, 0.6, 70,   1,   7,10, 35.5,⑩⑪⑩, 9, 9,Ｃマｰブルデイビｰ, 79,高倉稜, 1.0, 74,   0,   2,10, 84.1, ⑩⑩
10, 5,Ｊヤマノボンバｰ, 33,高倉稜, 1.7, 32,  -1, -14,12,237.7, ⑫⑫,10,10, トミケンセルバｰレ,---,松田大, 1.5, 33, -28,  -9,13,111.7, ⑪⑫,10,11,Ｋウォｰタｰグロｰレ, 50,中井裕, 0.9, 67,   1,   4,11,263.4,⑪⑨⑪,10, 1,Ｇトモロポケット, 77,熊沢重, 1.1, 69,   4,  -8, 9, 78.4, ⑤⑤
11,10,Ｈシゲルリクチュウ, 40,川須栄, 1.8, 31,*  6, -26,11, 67.4, ②③,11, 7, エイシンソニック,---,太宰啓, 1.6, 29,*-19, -23,11, 67.2, ②②,11, 8,Ｉキングデザイヤｰ, 66,松田大, 2.0, 51,*  7, -26, 5,  8.5,③②②,,,,,,,,,,,,
12, 9,Ｂアスカノロマン, 44,和田竜, 2.5, 22,*  5, -35, 8, 46.5, ④②,12,11, ダイシンロイ,---,藤岡康, 1.8, 33, -30,  -7, 8, 48.4, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
13, 7,Ｃカッサイ, 44,藤田伸, 3.0, 18,*  5, -42, 6,  8.7, ①①,13, 3, メフィストワルツ,---,幸英明, 2.0, 30, -27, -16, 9, 48.4, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
