11年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
馬連:740円 ワイド:03-16=350円 02-16=250円 02-03=300円,,,,,,,,,,,,"馬連:3,790円 ワイド:01-08=1,020円 01-13=310円 08-13=1,580円",,,,,,,,,,,,"馬連:1,540円 ワイド:01-10=590円 01-12=480円 10-12=660円",,,,,,,,,,,,馬連:690円 ワイド:07-08=270円 04-07=250円 04-08=660円,,,,,,,,,,,
"馬単:1,330円 3連複:730円 3連単:3,210円",,,,,,,,,,,,"馬単:6,430円 3連複:5,340円 3連単:29,840円",,,,,,,,,,,,"馬単:3,070円 3連複:3,050円 3連単:18,040円",,,,,,,,,,,,"馬単:1,050円 3連複:1,140円 3連単:4,360円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 6R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,清滝特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂブライティアトップ, 53,古川吉,, 53,* -2,*  0, 7, 11.8,①①①, 1, 2,Ｉワンダｰゴヴェルノ, 67,幸英明,, 74,   9,*  3, 8, 44.2, ⑧⑧, 1, 4,Ｈサンビｰム, 72,松岡正,, 84,* -9,  20, 5,  8.3, ①①, 1,10,Ｇトｰホウシンバル, 73,後藤浩,, 79,*  3,   7, 5,  6.7, ②②
 2, 3,Ｇスナｰククラウン, 42,川須栄, 0.2, 52,  -5,*  4, 6, 10.5,④⑤④, 2, 9,Ｂテイクエイム, 76,川須栄, 0.3, 72,* 14,  -6, 1,  1.8, ②②, 2, 5,Ａナムラオウドウ, 83,池添謙, 0.2, 84, -13,  26, 3,  5.9, ⑦⑦, 2, 7,Ａレオプライム, 81,ピンナ, 0.2, 77,   0,   9, 2,  4.8, ⑤⑥
 3, 1,Ｆベクトル, 44,浜中俊, 0.4, 49,* -4,  -2, 2,  4.4,②②②, 3, 3,Ｄデュｰクワンダｰ, 74,藤岡佑, 0.6, 66,   3,*  2, 4,  9.6, ⑭⑬, 3, 2,Ｇアドマイヤバｰトン, 75,安藤勝, 0.2, 87, -15,* 30, 2,  4.1, ⑩⑩, 3, 8,Ｈラナンキュラス, 70,四位洋, 0.2, 78,  -2,* 11, 7, 11.5, ⑦⑦
 4, 5,Ｉツキミハナミ, 38,松山弘, 0.4, 49,* -4,  -1, 5,  8.2,③③③, 4,10,Ｎイメｰジレイナ, 57,花田大, 0.6, 64,   2,*  3,14,329.9, ⑮⑮, 4, 9,Ｄハｰドダダンダン, 76,後藤浩, 0.4, 79, -11,  19, 4,  7.6, ④④, 4,11,Ｄメロｰト, 75,国分優, 0.3, 74,   2,   5, 6,  7.2, ③③
 5, 4,Ａフミノポｰルスタｰ, 57,太宰啓, 0.7, 45,  -5,  -3, 1,  3.5,⑥⑥⑤, 5, 6,Ｅマッキンリｰ, 72,太宰啓, 0.7, 65,   9,  -4, 2,  5.5, ⑦⑦, 5, 7,Ｉシゲルジョウム, 72,酒井学, 0.4, 81, -14,  24, 9, 47.4, ⑧⑧, 5, 5,Ｂクレバｰサンデｰ, 78,高倉稜, 0.3, 78,  -4,* 13, 3,  5.4, ⑩⑩
 6,11,Ｃヒデノビクトリア, 48,田中健, 1.2, 43,  -6,  -5, 3,  4.7,⑪⑨⑧, 6, 8,Ｆハｰイスマイル, 70,国分優, 0.7, 67,  10,  -6, 6, 15.6, ④③, 6, 3,Ｃザバトルユｰジロｰ, 78,太宰啓, 0.4, 80, -12,  22, 8, 26.4, ⑤⑤, 6, 4,Ｃルナキッズ, 75,川須栄, 0.5, 74,  -2,   8, 4,  5.5, ⑨⑧
 7, 9,Ｄオリオンザパワｰ, 47,四位洋, 1.3, 40,* -4, -13, 4,  7.4,⑦④⑥, 7,11,Ｇトｰブプリンス, 69,藤懸貴, 0.8, 64,   5,  -2,11,151.5, ⑪⑫, 7, 8,Ｅハｰキュリｰズ, 75,浜中俊, 0.4, 79,* -9,  17, 1,  2.7, ②②, 7, 2,Ｋサイキョウアサカゼ, 64,上村洋, 0.5, 76,  -2,  10, 9, 39.6, ⑧⑨
 8,13,Ｌシゲルパイナップル, 22,高倉稜, 1.4, 41,  -6,  -7,12,143.4,⑩⑧⑦, 8, 1,Ｋヤマニンアルシェ, 63,国分恭, 0.9, 62,   4,  -2,12,209.2, ⑫⑩, 8, 1,Ｊウィズインライアン, 68,国分優, 0.5, 76, -11,  17,10,105.0, ③③, 8, 9,Ｆチェリｰビスティｰ, 74,鮫島良, 0.6, 72,   1,   3, 1,  4.6, ④④
 9,10,Ｊテイエムブロンクス, 33,国分優, 1.6, 39,  -7,  -7, 9, 99.1,⑬⑫⑩, 9, 4,Ａキクノフレヴァン, 77,後藤浩, 1.0, 63,   9,  -7, 5, 11.7, ⑨⑨, 9, 6,Ｆスｰパｰオｰビット, 75,ピンナ, 0.6, 80, -14,  23, 6, 10.6, ⑨⑨, 9, 3,Ｅエスジｰストリｰム, 74,藤懸貴, 0.9, 70,  -6,   8,11,120.9, ⑪⑪
10, 6,Ｍスズカテング, 21,幸英明, 1.7, 39,  -9,  -6,11,122.8,⑧⑩⑪,10, 7,Ｈクリスワｰルド, 68,野元昭, 1.1, 65,* 15, -14,10,114.8, ①①,10,10,Ｂマイネルプリマス, 82,幸英明, 1.1, 70, -11,  10, 7, 17.7, ⑥⑥,10, 6,Ｉショウナンカッサイ, 68,幸英明, 1.0, 66,   0,  -1, 8, 23.7, ⑥⑤
