11年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,頌春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,15,Ｐベストピッチ, 27,田辺裕, 2.7, 41,  -5,  -3,12,224.6,⑮⑮⑬,12,13,Ｋテンモウカイカイ, 45,勝浦正, 2.0, 37,  -4, -35,13,266.0,⑬⑨⑨,12,15,Ｈディｰプリンク, 62,クラス, 2.3, 59,   8,  -6, 7, 34.2, ⑧⑧,12,15,Ｄコンプリｰト, 69,吉田豊, 1.4, 62,* 19, -32,10, 58.0,①⑤⑨
13, 1,Ｏフォンテｰヌブロｰ, 27,クラス, 3.5, 36,  -5, -11,11, 98.3,⑪⑯⑮,13, 2,Ｍピｰスワンレディ, 39,武士沢, 2.8, 36,  -7, -41,15,293.1,⑫⑬⑮,13, 4,Ｅカレンベルナルド, 70,内田博, 2.4, 59,   9,  -7, 4,  7.0, ⑤⑤,13,11,Ｋフレンドサンポウ, 58,小林淳, 1.4, 60,  13, -24,15,222.0,⑬⑬⑫
14,14,Ｍキョウエイバトラｰ, 38,的場勇, 4.2, 36,   1, -26, 8, 58.0,⑤⑦⑦,14,14,Ｎサクラオイデ, 36,小野寺, 3.7, 31,  -4, -58,14,266.8,⑦⑧⑦,14, 7,Ｏクリノユメヲ, 44,西田雄, 3.1, 50,  -2,  -2,16,213.8, ⑭⑯,14,12,Ｐイングリッド, 54,横山典, 1.8, 57,* 21, -42, 3,  5.4,⑪②②
15, 7,Ｇミストラル, 51,田中博, 5.5, 26,  -4, -29,15,318.4,⑨⑬⑯,15,12,Ｉコントルアタック, 50,三浦皇, 3.7, 32,* -2, -62, 9, 79.5,④⑥⑧,15, 5,Ｉアルマダ, 62,江田照, 3.2, 55,* 14, -17,14,163.0, ③④,15, 3,Ｎフジチャン, 55,三浦皇, 1.8, 58,  12, -26, 9, 26.0,⑫⑭⑭
16, 3,Ｎトウカイパイオニア, 30,小林淳, 5.6, 23,  -4, -30,14,266.3,⑧⑫⑭,,,,,,,,,,,,,16,11,Ｐウエストヒル, 37,小林淳, 4.7, 37,   1, -19,13,140.9, ⑪⑮,16,16,Ｌアポロジェニｰ, 56,勝浦正, 3.1, 44,* 21, -61,16,309.9,②①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:良(指数:-1),,,,,,,,,,,
"単勝:930円 複勝:10=380円 05=460円 06=350円 枠連:1,840円",,,,,,,,,,,,"単勝:170円 複勝:07=110円 04=460円 06=310円 枠連:2,080円",,,,,,,,,,,,単勝:300円 複勝:01=140円 03=150円 12=240円 枠連:340円,,,,,,,,,,,,"単勝:230円 複勝:04=130円 13=340円 01=160円 枠連:1,450円",,,,,,,,,,,
"馬連:3,670円 ワイド:05-10=1,080円 06-10=1,050円 05-06=910円",,,,,,,,,,,,"馬連:2,080円 ワイド:04-07=780円 06-07=470円 04-06=2,450円",,,,,,,,,,,,"馬連:590円 ワイド:01-03=300円 01-12=510円 03-12=1,080円",,,,,,,,,,,,"馬連:1,890円 ワイド:04-13=710円 01-04=250円 01-13=1,150円",,,,,,,,,,,
"馬単:7,460円 3連複:5,820円 3連単:49,110円",,,,,,,,,,,,"馬単:2,720円 3連複:5,680円 3連単:20,230円",,,,,,,,,,,,"馬単:920円 3連複:2,370円 3連単:7,090円",,,,,,,,,,,,"馬単:2,750円 3連複:2,750円 3連単:13,600円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 6R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ2400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,成田特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃトウショウノｰヴァ, 61,後藤浩,, 58,*  8,  -5, 2,  3.3, ①①, 1, 5, ヒラボクマジック,---,後藤浩,, 60, -13,* 15, 2,  4.3,③④④, 1, 6,Ｄグルｰオン, 79,柴山雄,, 78,*  7,  12, 2,  5.1,②②②, 1,10,Ｂサトノエクスプレス, 80,クラス,, 73,   2,*  3, 3,  5.3,⑮⑪⑩
 2, 2,Ａヒショウ, 65,伊藤直, 0.3, 54,   1,* -1, 3,  4.0, ⑥⑤, 2,16, グランマルシェ,---,三浦皇, 0.5, 56,*-12,*  9, 1,  3.5,②②①, 2,14,Ａロジサイレンス, 81,後藤浩, 0.0, 79,*  6,  15, 3,  5.2,⑧④④, 2, 3,Ｅラインジェシカ, 73,勝浦正, 0.0, 71,   6,  -4, 8, 23.7,③⑤④
 3,14,Ｂヘラルドリｰ, 63,内田博, 0.4, 55,*  6,  -6, 1,  2.6, ③③, 3, 8, ティｰケイキャット,---,蛯名正, 1.6, 50,*-12,   2, 4,  8.5,⑤③③, 3, 5,Ｆトレジャｰバトル, 77,柴田善, 0.1, 76,*  7,  11, 6, 12.2,①①①, 3, 2,Ａアｰバンウィナｰ, 81,丸田恭, 0.0, 72,   4,*  1, 2,  5.2,⑧⑧⑧
 4, 8,Ｅシンビジュｰム, 53,勝浦正, 0.7, 51,   4,  -7, 4,  8.2, ④④, 4, 9, マルブツビアン,---,丸山元, 1.9, 49, -17,   6,10, 40.2,⑩⑫⑪, 4,10,Ｂトップオブパンチ, 80,松岡正, 0.2, 77,*  6,  12, 4,  5.4,③③③, 4,14,Ｊザクリエイション, 68,横山典, 0.1, 70,*  8,  -6, 6, 12.9,⑭④⑥
 5,12,Ｊマルタｰズグロウヴ, 37,蛯名正, 0.8, 51,*  6, -11, 9, 76.4, ②②, 5,10, ハンセンロｰド,---,柴田善, 2.0, 46, -16,   4,11, 41.1,⑭⑩⑩, 5, 4,Ｇエアペイシェンス, 77,内田博, 0.6, 77,   6,  11, 8, 15.9,⑩⑧⑦, 5,13,Ｆコスモサイキック, 71,松岡正, 0.1, 71,*  8,  -8, 9, 24.0,④③③
 6, 5,Ｌクｰルダンス, 29,田辺裕, 1.2, 42,  -7,* -1,13,120.2, ⑬⑪, 6, 2, カイシュウドリカム,---,江田照, 2.2, 46, -15,   0, 7, 14.5,⑥⑧⑥, 6, 8,Ｃメジロティモン, 79,吉田豊, 0.6, 78,   3,* 18,11, 29.5,⑬⑬⑫, 6,11,Ｃグァンタナメラ, 76,後藤浩, 0.3, 69,   5,  -5, 1,  3.0,⑬⑩⑦
 7, 9,Ｇサマｰマリブ, 45,丸山元, 1.3, 45,   3, -11, 8, 52.5, ⑤⑥, 7,13, ウインイマジン,---,吉田隼, 2.6, 46, -15,  -2,12, 70.3,⑦⑨⑨, 7,12,Ｅトｰセンルｰチェ, 77,伊藤工, 0.9, 77,   2,* 16, 5,  8.4,⑭⑫⑪, 7, 6,Ｋオｰシャンキャスト, 67,川田将, 0.5, 69,  -2,*  4, 5, 11.3,⑩⑮⑪
