11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 1,Ｆナンクルナイサ, 46,西田雄, 1.9, 45, -11,  -5, 6, 35.6, ⑩⑨, 8, 2,Ａアテンボｰイ, 74,西田雄, 1.4, 65,   2,   4, 5,  7.6,⑦⑤⑤, 8, 4,Ｊコイクレナイ, 64,小野寺, 0.8, 60, -10,   3,12, 37.7, ⑮⑯, 8, 5,Ｅオｰトドラゴン, 86,渡辺薫, 0.5, 89,  13,  10, 8, 28.8,⑨⑫⑬
 9,10,Ｊブルボンノキセキ, 33,竹之下, 1.9, 44,  -8,  -8, 9, 97.1, ⑨⑧,,,,,,,,,,,,, 9,13,Ｒメジロアリエル, 47,黛弘人, 0.8, 60,*  8, -14,13, 72.7, ②②, 9,15,Ｆダイシングロウ, 86,田辺裕, 0.6, 85,  12,  11,11, 35.0,⑮⑮⑭
10, 6,Ｇミケランジェロ, 44,宮崎北, 2.0, 43,  -8,  -8,11,181.5, ⑦⑦,,,,,,,,,,,,,10, 3,Ｇシャイニｰカフェ, 68,武幸四, 0.8, 60,  -5,  -2, 5, 12.6, ⑪⑨,10,12,Ｂクレバｰトウショウ, 92,丸山元, 0.7, 83,* 18,  -1, 4, 11.2,③③③
11, 7,Ｋゴｰゴｰチャンス, 27,丹内祐, 2.6, 39,  -8, -13,10,131.8, ⑧⑩,,,,,,,,,,,,,11, 6,Ｅメジロソフィア, 68,吉田隼, 0.8, 61, -15,*  9, 7, 23.9, ⑰⑰,11, 4,Ｌシゲルタック, 83,松山弘, 1.0, 80,* 19,  -8,15,160.8,①①①
12, 5,Ｉシュンライ, 34,田中健, 3.0, 32, -14, -15,12,266.5, ⑪⑪,,,,,,,,,,,,,12,10,Ｄディｰズハイビガｰ, 71,勝浦正, 0.9, 57,   2, -10,11, 29.0, ③⑤,12,13,Ｎドモナラズ, 82,北村友, 1.1, 81,  12,   5,12, 60.3,⑩⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,13,15,Ｏバｰジンバラｰド, 53,鮫島良, 1.0, 59,  -6,  -3,15, 99.1, ⑬⑬,13, 8,Ｋコスモセンサｰ, 84,ベリｰ, 1.6, 74,* 19, -16, 3,  8.0,②②②
,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｎカシノコロン, 55,二本柳, 1.1, 56,  -7,  -3,18,282.0, ⑭⑮,14,16,Ｍチョウカイファイト, 83,吉田隼, 1.9, 72,  15, -11,13, 60.7,⑬⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｐマスタｰセイレｰン, 52,幸英明, 1.1, 57,*  4, -14,14, 77.6, ④④,15,11,Ｈアンノルｰチェ, 86,浜中俊, 2.2, 69,  17, -18, 7, 21.0,⑦⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ａレッドハイヒｰル, 73,浜中俊, 1.3, 53,*  7, -20, 4,  5.2, ①①,16, 1,Ｐテイエムカゲムシャ, 70,上村洋, 2.5, 66,  16, -24,16,310.1,④④⑦
,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｃレｰシングマｰチ, 71,田辺裕, 1.4, 52,   0, -13, 8, 24.6, ⑦⑦,,,,,,,,,,,,
