11年10月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,かがやき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,かけはし賞,,,,,,,,,,,,ｵｰﾛｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂスプリングピｰス, 50,後藤浩,, 40,*  4, -10, 4, 12.9,⑥⑤③, 1, 8,Ｃメイショウドナリオ, 69,藤岡康,, 76,* -1,  11, 1,  4.5, ③③, 1,12,Ｅカリスマサンスカイ, 78,高倉稜,, 82,  -1,* 19, 5, 10.1, ⑯⑯, 1, 1,Ｄピエナファンタスト, 78,ピンナ,, 86,  11,* 14, 3,  7.1,⑦⑦⑥
 2,11,Ａタイセイグルｰヴィ, 53,松岡正, 0.0, 43,  -1,*  0, 1,  2.1,⑨⑨⑨, 2, 2,Ｄワｰルドロレックス, 69,四位洋, 0.1, 81, -11,* 23, 7, 13.9, ⑫⑬, 2,15,Ｏカフェヒミコ, 67,柴田善, 0.4, 78,   4,   9, 1,  3.3, ⑨⑦, 2, 6,Ｅドリｰムノクタｰン, 78,柴田大, 0.1, 83,* 19, -11, 2,  4.1,①①①
 3, 2,Ｊジャストザハピネス, 34,石橋脩, 0.0, 44,  -3,*  6, 8, 35.8,⑩⑩⑩, 3,15,Ｂクィンビｰクイｰン, 70,小林淳, 0.3, 75,  -5,  12, 5, 11.1, ⑨⑧, 3,14,Ｃスイレン, 80,中舘英, 0.5, 77,   5,   7, 7, 14.5, ⑥⑥, 3, 5,Ａシャイニｰブラウン, 87,石橋脩, 0.2, 84,  12,   6, 1,  1.9,⑤⑤④
 4, 8,Ｃムｰンベックカフェ, 48,武豊  , 0.4, 38,  -5,*  3, 2,  4.7,⑫⑫⑫, 4,14,Ｒサクラオハナ, 48,吉田隼, 0.3, 72,*  3,   2,14, 91.9, ①①, 4, 8,Ｇセンタｰステｰジ, 77,石橋脩, 0.6, 75,*  8,   3, 9, 31.4, ①①, 4, 3,Ｂマルラニビスティｰ, 84,赤岡修, 0.3, 82,  15,  -2, 5, 10.8,③③②
 5,13,Ｉマイネエポナ, 36,柴田大, 0.5, 37,  -1,  -7,10, 44.8,⑧⑧⑧, 5,12,Ｈウエストエンド, 66,和田竜, 0.4, 74,  -3,   8, 2,  4.8, ⑥⑥, 5, 2,Ｄシセイオウジ, 78,松岡正, 1.0, 74,   5,   3, 4,  8.6, ⑤⑤, 5, 2,Ｆセタガヤフラッグ, 75,江田照, 1.3, 74,  14, -12, 4,  8.2,②②③
 6, 5,Ｇフォントルロイ, 40,福永祐, 0.6, 35,   2, -13, 6, 17.6,⑤⑥⑥, 6, 9,Ｅサニｰヘイロｰ, 68,吉田豊, 0.4, 75,  -9,* 16, 3,  7.5, ⑪⑫, 6,10,Ｈラヴリｰドリｰム, 77,木幡初, 1.0, 72,   2,   5,14, 97.9, ⑧⑩, 6, 7,Ｃギムレットアイ, 79,木幡初, 1.6, 73,  11,  -6, 6, 25.5,⑥⑥⑦
 7,10,Ｋミヤコデラックス, 26,田辺裕, 1.0, 31,  -4,  -9, 5, 16.3,⑪⑪⑪, 7, 5,Ｇショウナンスマイル, 66,柴田善, 0.5, 75,  -8,  14, 4,  7.8, ⑧⑨, 7, 1,Ｌココカラ, 72,藤岡佑, 1.0, 73,*  6,   2,12, 74.5, ④③, 7, 4,Ｇバルバレスコ, 68,大野拓, 3.0, 63,  12, -31, 7, 63.6,④④⑤
 8, 6,Ｍスリｰオｰシャン, 16,西田雄, 1.2, 29,  -1, -17,13,276.4,⑦⑦⑦, 8,10,Ｋユメノカケハシ, 64,田辺裕, 0.5, 75, -11,* 18,13, 57.7, ⑬⑭, 8,16,Ａワンモアジョｰ, 82,田辺裕, 1.0, 73,   2,   7, 2,  4.5, ⑫⑪,,,,,,,,,,,,
