11年12月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10, 8,Ｍハルピュイア, 38,熊沢重, 2.3, 47,  -6,  -7,12,181.5, ⑪⑪,10, 8,Ｂクラヴェジｰナ, 63,四位洋, 0.8, 55,* 12, -26, 1,  2.3, ④③,10,10,Ｌランドタカラ, 65,浜中俊, 0.8, 67,  -4,   8,10, 40.1, ⑬⑩,10, 1,Ｂリアルインパクト, 96,福永祐, 0.9, 82,* 14,  -3, 1,  2.8, ③④
11, 7,Ｐクニノカンタロｰ, 28,小坂忠, 2.3, 46,  -2, -10,16,680.2, ⑧⑧,11,10,Ｏヒシアルコル, 47,小坂忠, 0.9, 55,   1,*-10,13,131.3, ⑯⑯,11, 9,Ｋマックスハナレイ, 66,メンデ, 1.1, 63,  -3,   4,12, 61.0, ⑩⑪,11,18,Ｃリディル, 95,小牧太, 1.0, 81,* 14,  -4, 2,  4.7, ⑤③
12,16,Ｌノｰネｰムホｰス, 45,高倉稜, 2.9, 40, -15,  -5,11,167.2, ⑮⑫,12, 4,Ｇスイｰトブライアｰ, 57,佐藤哲, 0.9, 55,   8, -21, 9, 53.7, ⑤⑥,12,16,Ｐナイスジャパン, 44,武英智, 1.3, 62,   0,   0,14,107.9, ⑨⑦,12, 5,Ｏワンカラット, 85,藤岡佑, 1.1, 79,   7,   2,12, 37.0, ⑩⑪
13, 4,Ｆキタサンテンニョ, 57,芹沢純, 3.1, 38, -22,   1, 8, 73.0, ⑯⑯,13, 2,Ｃガｰネットカラｰ, 61,ウィリ, 1.0, 55,   8, -19,12, 67.3, ⑪⑪,13, 4,Ｏスｰパｰマｰクン, 56,ウィリ, 1.4, 62,  -5,   3,13, 66.1, ⑭⑬,13,17,Ｌミキノバンジョｰ, 87,太宰啓, 1.1, 78,   9,   1,15, 98.5, ⑨⑩
14, 6,Ｊラッキｰストｰム, 49,太宰啓, 3.3, 37, -13,  -8,14,319.2, ⑬⑮,14,18,Ｌシゲルヒメリンゴ, 51,北村友, 1.1, 53,   0,* -8,14,184.9, ⑱⑱,14,13,Ｎシルキｰカレント, 58,太宰啓, 1.7, 58,  -2,  -1,16,290.9, ⑪⑫,14, 7,Ｒアｰバニティ, 76,四位洋, 1.4, 74,   4,   3,18,268.6, ⑯⑯
15,10,Ｏトミケンフラッシュ, 35,国分恭, 3.5, 36, -13, -10,15,517.1, ⑭⑬,15,15,Ｍケイツｰクロｰト, 50,高倉稜, 1.5, 48,   1, -18,17,326.8, ⑰⑰,15,11,Ｍダイヤヘルメス, 63,国分恭, 1.8, 57,  -5,   0,15,199.7, ⑫⑭,15,12,Ｄスマイルジャック, 94,メンデ, 1.4, 75,   8,  -1, 7, 19.8, ⑮⑭
16,12,Ｋルｰパウス, 46,浜中俊, 4.4, 27, -11, -21, 6, 34.7, ⑫⑭,16,14,Ｑリトルソリア, 36,秋山真, 1.8, 47,   5, -25,16,273.3, ⑭⑮,16, 6,Ｈケイオｰクラウン, 72,秋山真, 2.0, 56,   0,  -6, 8, 23.1, ⑤⑨,16,14,Ｑタマモナイスプレイ, 79,渡辺薫, 1.6, 75,* 15, -13,17,219.9, ②②
,,,,,,,,,,,,17, 6,Ｐダンツパラダイス, 44,太宰啓, 2.8, 35,* 14, -57,18,351.8, ②②,,,,,,,,,,,,,17, 2,Ｐフォｰエバｰマｰク, 82,池添謙, 1.6, 74,* 15, -15,16,169.9, ①①
,,,,,,,,,,,,18, 5,Ｒテイエムチュラウミ, 29,田嶋翔, 3.4, 31,* 14, -68,15,245.1, ①①,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
"単勝:900円 複勝:09=290円 13=210円 02=3,060円 枠連:1,500円",,,,,,,,,,,,"単勝:2,880円 複勝:12=750円 16=410円 11=1,110円 枠連:2,630円",,,,,,,,,,,,"単勝:710円 複勝:14=280円 12=270円 02=170円 枠連:3,310円",,,,,,,,,,,,"単勝:980円 複勝:13=310円 16=400円 08=1,410円 枠連:1,620円",,,,,,,,,,,
"馬連:1,340円 ワイド:09-13=520円 02-09=11,210円 02-13=6,830円",,,,,,,,,,,,"馬連:16,480円 ワイド:12-16=4,100円 11-12=10,310円 11-16=6,430円",,,,,,,,,,,,"馬連:3,230円 ワイド:12-14=1,250円 02-14=770円 02-12=530円",,,,,,,,,,,,"馬連:5,660円 ワイド:13-16=1,900円 08-13=4,900円 08-16=8,480円",,,,,,,,,,,
