11年10月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 3R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■12R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,菅名岳特別,,,,,,,,,,,,竹尾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａミヤビヘレネ, 80,川須栄,, 67,*  8,   2, 1,  1.8, ①①, 1, 6,Ａカガタイキ, 80,森一馬,, 75,  15,*  2, 2,  4.5, ⑤⑥, 1, 1,Ａゴｰルドブライアン, 77,吉田隼,, 83,  -8,* 20, 1,  2.5, ⑦⑦, 1, 4,Ｂヤマカツハクリュウ, 76,木幡初,, 75,  11,*  8, 1,  2.1, ⑩⑨
 2,14,Ｃネイヴルトウショウ, 71,津村明, 0.2, 65,   3,   5, 3, 11.9, ⑥⑥, 2, 9,Ｅメイショウヨウドウ, 67,松山弘, 0.5, 69,  18,  -9, 3,  6.0, ⑥⑤, 2, 4,Ｃフクラムサイフ, 75,川須栄, 0.2, 75,* -5,  10, 2,  2.7, ①①, 2,12,Ｃナイスミｰチュｰ, 76,上村洋, 0.0, 75,  17,  -1, 3,  8.5, ⑥⑥
 3, 7,Ｇヤマニンアストレア, 69,杉原誠, 0.3, 65,   4,   3, 8, 54.6, ③④, 3, 1,Ｃキャニオンブラウン, 70,田中健, 0.5, 72,  10,*  7, 5, 14.1, ⑩⑩, 3, 6,Ｂライジングサン, 76,松山弘, 0.4, 73,* -7,   8, 7, 38.9, ②②, 3,10,Ｉカレンデイムｰン, 65,松田大, 0.3, 71,  15,  -4,11,134.3, ⑤⑤
 4, 3,Ｂサマｰソング, 75,柴山雄, 0.3, 64,   1,   6, 2,  3.1, ⑦⑦, 4,10,Ｄトｰセンドンファン, 68,横山和, 0.6, 68,* 19, -15, 6, 27.2, ③③, 4, 2,Ｄヴェルデグリｰン, 74,津村明, 0.4, 75,* -7,  12, 3,  4.3, ⑤⑤, 4, 1,Ａメデタシ, 79,川須栄, 0.4, 72,   9,*  8, 2,  2.7, ⑪⑪
 5,10,Ｈオデットシチｰ, 67,赤木高, 0.4, 64,   3,   3, 4, 12.9, ⑤⑤, 5, 7,Ｂコンカラン, 78,川須栄, 0.7, 68,  14,  -5, 1,  1.6, ⑦⑦, 5, 5,Ｅマリアビスティｰ, 73,松田大, 0.5, 73,* -7,   9, 4, 10.2, ④④, 5, 7,Ｇアルトゥバン, 69,松山弘, 0.5, 70,   8,*  7, 5, 18.5, ⑬⑬
 6, 8,Ｊキルシュバウム, 61,丸田恭, 0.5, 63,  -2,*  8,12, 95.9, ⑫⑪, 6, 2,Ｇクｰルドリオン, 64,藤懸貴, 0.8, 66,  18, -15, 8, 83.3, ④④, 6, 3,Ｇマイネルヴァルム, 66,丹内祐, 0.8, 69,* -7,   3, 5, 13.0, ③③, 6, 8,Ｊハギノトラスト, 64,吉田隼, 0.5, 69,* 18, -11, 7, 26.4, ②②
 7,12,Ｆオメガブルｰベリｰ, 70,勝浦正, 0.6, 62,*  5,   0, 5, 13.7, ④③, 7, 8,Ｉメロｰクｰミス, 61,杉原誠, 0.8, 66,* 19, -18, 7, 29.3, ②②, 7, 7,Ｆタツクｰル, 70,丸田恭, 0.9, 68,* -7,   4, 6, 25.6, ⑥⑥, 7, 9,Ｌビｰム, 60,丸田恭, 0.6, 66,* 18, -14, 9, 55.8, ①①
