11年10月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:重(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:不良(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:不良(指数:10),,,,,,,,,,,
単勝:250円 複勝:09=140円 02=230円 11=160円 枠連:770円,,,,,,,,,,,,"単勝:440円 複勝:10=190円 09=200円 03=290円 枠連:1,330円",,,,,,,,,,,,単勝:160円 複勝:02=110円 05=230円 枠連:0円,,,,,,,,,,,,"単勝:410円 複勝:13=180円 08=340円 05=310円 枠連:1,010円",,,,,,,,,,,
"馬連:1,110円 ワイド:02-09=430円 09-11=310円 02-11=620円",,,,,,,,,,,,"馬連:1,280円 ワイド:09-10=480円 03-10=860円 03-09=920円",,,,,,,,,,,,馬連:510円 ワイド:02-05=220円 02-07=350円 05-07=690円,,,,,,,,,,,,"馬連:2,320円 ワイド:08-13=930円 05-13=790円 05-08=1,940円",,,,,,,,,,,
"馬単:1,890円 3連複:1,780円 3連単:8,210円",,,,,,,,,,,,"馬単:2,830円 3連複:4,720円 3連単:24,250円",,,,,,,,,,,,"馬単:670円 3連複:1,600円 3連単:3,720円",,,,,,,,,,,,"馬単:4,020円 3連複:7,610円 3連単:33,270円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  ダ1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａホｰカｰテンペスト, 58,横山典,, 54,  -6,* -7, 1,  3.3,⑩⑩⑩, 1, 9,Ｃダイワモｰビル, 72,北村宏,, 75,* 11,   3, 2,  5.0, ②②, 1, 7,Ａキョウエイカルラ, 89,吉田豊,, 79,*  4,  13, 1,  3.2, ②②, 1, 4,Ｆダノンエクスプレス, 76,福永祐,, 87,  13,* 10, 3,  6.0, ⑧⑦
 2, 3,Ｊコスモフェリシタル, 39,柴田大, 0.7, 48,* -2, -27,11,144.1,②②④, 2,13,Ｂペガサスヒルズ, 72,安藤勝, 0.3, 72,   6,   6, 4,  6.6, ④④, 2, 4,Ｈリｰプオブフェイス, 72,三浦皇, 0.0, 82,   3,* 16, 6, 15.1, ⑤⑤, 2,12,Ｂエｰシンビｰトロン, 82,後藤浩, 0.3, 81,* 18,  -3, 1,  2.4, ①①
 3, 9,Ｅロｰリングストｰン, 46,高倉稜, 0.8, 48,  -8,*-14, 7, 29.7,⑪⑪⑪, 3, 7,Ｍセイウンオウサム, 61,嶋田純, 0.5, 70,   8,   2, 5,  8.9, ③③, 3,12,Ｅピュアチャプレット, 77,福永祐, 0.4, 78,   0,* 15, 4,  8.0, ⑩⑩, 3, 6,Ａヘリオス, 82,丸田恭, 1.2, 77,   9,*  5, 2,  3.5, ⑨⑨
 4, 8,Ｋコｰルミｰ, 38,三浦皇, 0.9, 47,*  0, -34, 8, 33.2,①①①, 4,14,Ｈカネトシリｰプイン, 67,ピンナ, 1.1, 66,* 11,  -6, 3,  6.5, ①①, 4, 8,Ｂテクニカルラン, 82,石橋脩, 0.7, 77,  -3,* 16, 7, 15.5, ⑬⑬, 4, 9,Ｅルロワ, 79,蛯名正, 1.3, 76,  14,  -3, 5, 13.0, ⑤⑤
 5, 6,Ｃマイネルカブト, 49,ピンナ, 1.1, 44,  -3, -31, 6, 10.7,⑦⑤⑤, 5, 6,Ａドンビザッツウェイ, 78,田中勝, 1.3, 65,  -2,   8, 1,  3.0, ⑩⑩, 5, 6,Ｊクリアザウェイ, 68,柴田善, 0.8, 74,   2,  10, 5, 11.8, ⑦⑥, 5,11,Ｉモエレジンダイコ, 75,北村宏, 1.4, 75,  14,  -6,10, 48.5, ④④
 6, 5,Ｇトｰセンオｰドリｰ, 45,武士沢, 1.1, 43,  -4, -28, 2,  3.9,⑥⑦⑦, 6, 8,Ｇリンドブルム, 71,吉田豊, 1.4, 64,  -7,* 13, 9, 17.7, ⑭⑭, 6,13,Ｃリュシオル, 80,安藤勝, 0.8, 74,   1,  11, 2,  3.5, ⑧⑧, 6, 1,Ｈロトスカイブルｰ, 76,田辺裕, 2.0, 70,* 17, -16, 4,  8.9, ②③
 7,10,Ｄアズマスタｰフィｰ, 48,北村宏, 1.3, 43,* -1, -36, 3,  4.0,④④③, 7, 5,Ｄダノンスズラン, 71,三浦皇, 1.4, 66,  -5,* 11, 8, 17.6, ⑬⑫, 7, 3,Ｆクレバｰクリス, 76,田辺裕, 1.0, 73,  -1,  11,11, 50.3, ⑪⑪, 7, 8,Ｇマスタｰコｰク, 76,ピンナ, 2.2, 69,* 17, -17, 7, 23.9, ③②
 8, 7,Ｂヒシダニエル, 49,丸山元, 2.0, 39,  -3, -39, 9, 60.4,⑧⑧⑧, 8, 3,Ｌダイゴロｰ, 62,高倉稜, 1.5, 64,   1,   2,13,110.5, ⑦⑦, 8, 1,Ｋマドモアゼルノン, 67,柴田大, 1.2, 73,   3,   4,13,309.5, ③③, 8, 7,Ｌヒロノキョウシュウ, 72,井上俊, 2.3, 69,   9,  -4,12,303.9, ⑫⑪
 9, 4,Ｈサトノロｰドリｰ, 42,福永祐, 2.4, 37,* -2, -52, 4,  6.8,③③②, 9, 1,Ｊダイヤヘルメス, 64,横山典, 1.7, 62,  -1,   3,10, 58.3, ⑨⑧, 9, 9,Ｇウッドシップ, 75,丸山元, 1.3, 70,*  3,   3, 8, 17.7, ④④, 9, 2,Ｃパｰプルスタｰ, 81,高倉稜, 2.4, 68,  12, -13, 6, 18.5, ⑥⑥
10, 2,Ｆマイネルテンクウ, 45,中谷雄, 2.7, 34,  -3, -52, 5,  9.2,⑤⑥⑥,10,10,Ｋマルタｰズブレｰヴ, 64,武士沢, 1.8, 62,  -3,   5,11, 98.2, ⑪⑪,10, 2,Ｉメジロマリアン, 72,横山典, 1.4, 69,   0,   6, 9, 36.1, ⑨⑨,10, 3,Ｊトｰセントゥルｰ, 75,田中勝, 2.6, 66,  12, -12, 9, 36.4, ⑦⑧
