11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 8,Ｃカシノウィンド, 61,赤木高, 1.0, 54,   0,   0, 1,  3.1,⑥⑤⑤, 7, 3,Ｆトｰホウリッチ, 70,川須栄, 0.6, 68,   3,   5, 5, 10.9,⑨⑩⑩, 7,14,Ｈアクアブルｰスカイ, 74,伊藤工, 0.7, 72,   9,   3,10, 34.9,⑥⑥⑫, 7,10,Ｇミキノバンジョｰ, 79,太宰啓, 0.9, 73,   5,   0, 3,  5.9,⑧⑧⑧
 8, 1,Ｉマイネルヴィゴｰレ, 53,丹内祐, 1.0, 56,  -1,   1, 8, 29.1,⑤⑥⑥, 8, 4,Ｈサンヴァンサン, 67,伊藤工, 0.7, 67,   6,   0, 8, 27.3,④④⑤, 8, 1,Ｇメイショウベｰネ, 74,上村洋, 0.7, 73,   8,   6,12, 63.0,⑤⑪⑦, 8, 5,Ｂワンダｰムシャ, 82,野元昭, 1.0, 71,   7,  -5, 6, 20.0,③④⑤
 9,14,Ｇフクラムサイフ, 56,北村友, 1.8, 48,*  1,  -8, 7, 28.7,④④③, 9, 6,Ｇカネトシマイコサン, 68,勝浦正, 1.4, 63,   2,   0,10, 48.1,⑬⑫⑫, 9, 2,Ｄサンライズウィル, 79,北村友, 0.8, 70,* 12,  -6, 5, 12.4,①①①, 9, 9,Ｆマルティンスタｰク, 79,松山弘, 1.0, 75,   1,   9,10, 61.3,⑨⑩⑪
10,16,Ｂゼニバコ, 61,川須栄, 1.9, 51,  -7,   4, 6, 18.3,⑮⑮⑭,10, 5,Ｌクリスマドンナ, 64,松山弘, 1.5, 63,   4,  -6, 9, 28.2,⑥⑤⑥,10, 6,Ｐマルヘイサッカｰ, 55,田辺裕, 0.9, 68,   9,   0,16,111.3,③⑤④,10, 3,Ｋメトロシュタイン, 74,中舘英, 1.3, 69,   7,  -8,11,134.3,⑤⑥⑥
11,12,Ｍマギｰメイ, 48,野元昭, 2.0, 50,  -3,  -1,16,244.1,⑪⑪⑩,11,14,Ｎデンコウワン, 56,黛弘人, 1.8, 60,   3,  -5,14,163.1,⑩⑨⑨,11,13,Ｆエルブｰルズ, 76,高倉稜, 0.9, 69,   7,   4,11, 37.8,⑯⑭⑬,11, 8,Ｈナリタトルネｰド, 78,古川吉, 1.3, 68,* 10, -15, 7, 20.3,①①①
12,15,Ｊハロｰザロック, 52,丸山元, 2.9, 41,  -2, -14, 5, 15.4,⑦⑦⑪,12,13,Ｉゴシップガｰル, 67,高倉稜, 2.1, 55,   2,  -5,12, 58.0,⑭⑭⑬,12, 5,Ａメジロジョン, 85,黛弘人, 0.9, 69,   9,  -2, 2,  5.3,⑮⑨⑥,,,,,,,,,,,,
13, 2,Ｋシゲルヤクイン, 51,藤岡康, 3.1, 43,  -9,   0,12, 76.5,⑭⑯⑯,13, 1,Ｋミラクルフラッグ, 66,田辺裕, 3.2, 47,*  7, -24, 4,  9.1,①②③,13,16,Ｍマイネルネオハｰト, 67,丹内祐, 0.9, 71,   9,   0,13, 67.3,⑧⑦⑨,,,,,,,,,,,,
14, 5,Ｅプレジデントペスカ, 58,石橋守, 3.4, 37,   0, -21,11, 63.8,③③④,14,10,Ｍエアワルツ, 60,小野寺, 6.4, 29,   5, -47,13, 84.0,⑤⑥⑭,14,15,Ｋグランドチャペル, 70,藤岡康, 1.1, 69,   8,   0, 9, 28.9,⑦⑬⑮,,,,,,,,,,,,
15, 6,Ｏヤングラッシュ, 39,高倉稜, 4.4, 29,  -4, -22,15,242.1,⑧⑩⑬,,,,,,,,,,,,,15,10,Ｎスマｰトファントム, 66,松山弘, 1.4, 64,   9,  -9,15, 85.4,⑬⑧⑤,,,,,,,,,,,,
16,10,Ｐスナｰクフルハウス, 28,太宰啓, 5.5, 23,  -5, -28,14,175.2,⑨⑭⑮,,,,,,,,,,,,,16, 7,Ｏアグネスハイヤｰ, 65,中舘英, 1.6, 65,* 11, -12,14, 84.8,②③⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
