11年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｑクイｰンズガｰデン, 51,伊藤工, 2.2, 44,* -3, -20, 9, 30.1, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
"単勝:450円 複勝:02=200円 13=750円 03=210円 枠連:7,850円",,,,,,,,,,,,"単勝:180円 複勝:04=110円 05=710円 07=410円 枠連:3,720円",,,,,,,,,,,,単勝:540円 複勝:15=210円 05=170円 17=710円 枠連:490円,,,,,,,,,,,,"単勝:430円 複勝:07=190円 01=320円 04=450円 枠連:2,260円",,,,,,,,,,,
"馬連:8,120円 ワイド:02-13=2,010円 02-03=470円 03-13=2,180円",,,,,,,,,,,,"馬連:3,000円 ワイド:04-05=820円 04-07=520円 05-07=5,040円",,,,,,,,,,,,"馬連:1,070円 ワイド:05-15=460円 15-17=2,430円 05-17=1,910円",,,,,,,,,,,,"馬連:3,030円 ワイド:01-07=1,040円 04-07=990円 01-04=1,440円",,,,,,,,,,,
"馬単:12,270円 3連複:8,000円 3連単:61,950円",,,,,,,,,,,,"馬単:4,760円 3連複:13,330円 3連単:48,880円",,,,,,,,,,,,"馬単:2,540円 3連複:9,590円 3連単:44,470円",,,,,,,,,,,,"馬単:4,840円 3連複:8,530円 3連単:41,290円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,唐戸特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａザルグｰン, 59,藤岡康,, 67,  -4,* 14, 1,  2.9,⑥⑦⑥, 1,14,Ｌリュンヌ, 60,酒井学,, 70,*  1,   4, 7, 34.7, ③③, 1,13,Ｃエタｰナルロブロイ, 75,和田竜,, 69,   8,   4, 2,  4.3,⑫⑧③, 1,16,Ａマイネルプリマス, 79,丹内祐,, 81,*  6,  12, 1,  5.3,④③②
