11年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:4,060円 3連複:3,470円 3連単:24,330円",,,,,,,,,,,,"馬単:900円 3連複:880円 3連単:3,020円",,,,,,,,,,,,"馬単:5,350円 3連複:5,110円 3連単:37,640円",,,,,,,,,,,,"馬単:640円 3連複:810円 3連単:3,940円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 6R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,美作特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｃサンレガｰロ, 66,後藤浩,, 88,  11,* 10, 2,  5.4, ⑩⑨, 1,14,Ｉシゲルジョウム, 64,北村友,, 77,   9,* -2,13,301.4, ⑭⑬, 1,12,Ｃシゲルリジチョウ, 78,武豊  ,, 79,  12,* -3, 3,  5.8,⑬⑫⑫, 1, 8,Ｂウインドミネｰタｰ, 76,岩田康,, 80,*  6,* 10, 1,  2.5,②①①
 2,18,Ｈラポｰル, 64,武豊  , 0.3, 85,   9,*  9, 4,  7.6, ⑭⑪, 2, 1,Ｇゴットマスタング, 71,国分恭, 0.2, 76,   9,* -3, 5, 12.0, ⑮⑫, 2, 8,Ａスｰパｰオｰビット, 80,太宰啓, 0.1, 77,  14,* -8, 6, 14.1,⑫⑪⑧, 2, 9,Ｆアンコｰルワット, 68,渡辺薫, 0.6, 77,   4,*  9, 2,  3.9,⑥⑤③
 3,10,Ａカガタイキ, 70,北村友, 0.5, 83,   6,* 11, 5,  8.4, ⑮⑯, 3, 7,Ａマコトヴォイジャｰ, 80,安藤勝, 0.2, 76,  10,* -7, 1,  1.8, ⑬⑩, 3, 2,Ｂハｰドダダンダン, 79,浜中俊, 0.1, 77,  16, -15, 2,  4.4,⑤⑤⑤, 3,11,Ｄサダルメリク, 71,藤懸貴, 1.4, 70,*  5,  -1, 7, 18.0,⑤④②
 4,12,Ｅライジングサン, 65,松山弘, 0.9, 77,   9,   0,10, 29.3, ⑦⑩, 4,11,Ｆエアワンピｰス, 71,福永祐, 0.3, 73,  14, -18, 3,  6.3, ⑥⑥, 4, 5,Ｌハｰマジェスティ, 67,小林慎, 0.3, 75,  16, -17,11,159.8,⑧⑥⑥, 4, 2,Ｋリバｰスタｰリング, 64,浜中俊, 2.2, 67,*  5,  -6,10, 40.7,④③④
 5, 4,Ｆナリタカサブランカ, 64,福永祐, 1.0, 77,  12,  -7, 8, 23.1, ④⑤, 5,12,Ｄカピオラニパレス, 72,小牧太, 0.6, 70,  12, -15, 2,  6.0, ⑫⑪, 5, 3,Ｍセンノカゼ, 66,小坂忠, 0.5, 72,* 19, -28,12,161.3,①①①, 5, 3,Ｃエクセルフラッグ, 72,酒井学, 2.3, 66,   0,   2, 8, 21.5,⑩⑨⑩
 6, 8,Ｄミラグロッサ, 65,岩田康, 1.0, 78,   6,*  6, 1,  2.9, ⑰⑰, 6,13,Ｂケイト, 74,幸英明, 0.7, 69,  14, -23, 6, 15.6, ⑦⑦, 6, 7,Ｊスｰサングレｰト, 73,幸英明, 0.8, 71,  13, -19, 4,  8.1,⑨⑨⑩, 6, 5,Ａライブリシｰラ, 77,小坂忠, 2.4, 65,   3,  -4, 4,  6.7,③⑥⑤
 7, 6,Ｎマリアンデｰル, 60,小牧太, 1.3, 72,* 13, -15, 6, 16.7, ②②, 7, 9,Ｈロｰズリパブリック, 67,赤木高, 0.9, 66,  12, -20,10, 94.8, ⑨⑧, 7, 1,Ｄファイブイｰグル, 77,田中勝, 0.9, 69,* 17, -30,10, 54.3,③③④, 7,12,Ｅエｰシンテュポｰン, 69,小牧太, 2.7, 62,   2,  -5, 6, 17.6,⑨⑦⑥
 8,13,Ｂラルゴ, 67,幸英明, 1.4, 71,* 13, -15, 3,  6.1, ⑪④, 8, 8,Ｍメイショウゴモン, 59,後藤浩, 0.9, 67,  13, -22, 9, 78.8, ⑩⑨, 8,11,Ｆサトノパンサｰ, 75,和田竜, 1.1, 70,  15, -27, 1,  2.2,⑦⑧⑦, 8,13,Ｉシャインストｰン, 65,幸英明, 2.8, 64,   1,  -4, 5, 16.3,⑦⑧⑦
 9, 9,Ｉアスクドラゴン, 63,小林慎, 1.4, 73,  12, -12,11, 36.9, ⑤⑥, 9, 3,Ｋシゲルチョウカン, 61,酒井学, 1.1, 65,  14, -29,11,110.9, ⑤⑤, 9, 9,Ｋウィズインライアン, 69,国分優, 1.1, 67,  12, -21, 9, 51.8,⑪⑩⑪, 9, 6,Ｊトウケイトニｰ, 65,森一馬, 3.9, 56,   0, -11,11,130.2,⑫⑪⑪
10,14,Ｇセルリアンディンゴ, 64,川須栄, 1.5, 71,* 13, -17,12, 55.1, ③③,10,16,Ｑデンコウハヤテ, 42,森一馬, 1.4, 63,   7, -18,17,596.7, ⑰⑭,10, 4,Ｉテイエムシバスキｰ, 75,赤木高, 1.4, 64,* 19, -39, 5, 13.5,②②②,10, 4,Ｇテｰオｰブユウデン, 66,福永祐, 3.9, 55,   1, -13, 3,  6.3,⑪⑩⑧
11, 2,Ｌメイショウスピｰド, 60,国分恭, 1.9, 68,   8, -10, 7, 21.4, ⑬⑫,11, 4,Ｏトｰワゴｰルド, 50,小坂忠, 1.4, 63,   6, -16,14,406.8, ⑯⑰,11,13,Ｇウォｰタｰセレネ, 75,酒井学, 2.3, 59,  11, -34,13,190.1,⑩⑬⑬,11,10,Ｍエリモロッソ, 40,高倉稜, 5.4, 46,  -5, -15,13,360.6,⑬⑬⑬
