11年 1月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,くすのき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｏノｰティカルスタｰ, 45,中舘英,, 67,  -4,* 14, 6, 18.7,⑮⑨⑥, 1,10,Ｍギガワット, 50,中舘英,, 63,*  6,   0, 7, 49.0, ①①, 1, 2,Ｋニシノツインクル, 61,中舘英,, 70,*  4,   7, 5, 12.0, ①①, 1,12,Ａエスピナアスｰル, 79,田辺裕,, 78,   2,* 18, 3,  6.1,⑨⑨⑤
 2, 7,Ａショウナンカミング, 64,渡辺薫, 0.0, 68,*  0,   8, 1,  2.3,⑥⑥④, 2, 9,Ｃキクノベリｰタ, 70,川須栄, 0.1, 62,  -4,*  5, 3,  6.5, ⑤⑤, 2, 4,Ｂベストブルｰム, 70,西村太, 0.0, 69,*  0,  11, 3,  5.6, ③②, 2,13,Ｂチャｰムポット, 75,中舘英, 0.5, 74,*  6,   4, 1,  2.6,④④②
 3, 3,Ｂレッドシェリフ, 63,上村洋, 0.1, 64,* -1,   5, 2,  3.8,③③②, 3,14,Ｉアポロパステル, 62,丹内祐, 0.2, 62,  -1,   3, 8, 64.8, ④④, 3,13,Ａタイセイフレイヤ, 74,勝浦正, 0.3, 64,*  1,   6, 1,  4.2, ②③, 3, 8,Ｃメルヴェイユドｰル, 73,藤岡康, 0.5, 75,   2,  11, 5, 10.3,⑦⑧⑥
 4,15,Ｆアクアブルｰコナｰ, 55,勝浦正, 0.3, 65,  -4,* 14,13, 56.1,⑭⑬⑦, 4,13,Ｅライムライトシチｰ, 67,小野寺, 0.5, 57,  -5,   3,12,100.0, ⑨⑦, 4, 9,Ｆシルクマタドｰル, 65,西田雄, 0.4, 65, -10,* 15, 9, 19.4, ⑨⑩, 4,14,Ｅクリスマスキャロル, 71,山口勲, 0.7, 74,  -1,* 14, 6, 12.6,⑬⑬⑨
 5, 5,Ｃデｰヴァロｰカ, 60,柴原央, 0.4, 59,*  1,  -2, 3,  8.6,②②①, 5, 3,Ａジョｰモカ, 74,藤岡康, 0.5, 58,  -9,*  6, 1,  2.0, ⑩⑩, 5,12,Ｉスギノブロッサム, 62,田中健, 0.4, 65,  -4,  10, 8, 16.9, ⑥⑦, 5,11,Ｈウインディｰリング, 69,丸田恭, 0.8, 71,   0,  11, 9, 28.3,⑫⑫⑩
 6,12,Ｊテラノイｰグル, 48,安藤光, 0.6, 61,  -5,   8,12, 44.7,⑫⑩⑧, 6, 5,Ｆスタｰリバイバル, 66,西田雄, 0.6, 55,  -7,   3, 4, 11.5, ⑥⑥, 6, 5,Ｑフィｰルドダンス, 44,田辺裕, 0.5, 63, -14,* 18,15, 91.7, ⑭⑨, 6, 7,Ｄマイネアロマ, 73,丹内祐, 0.9, 69,   3,   2, 2,  4.7,⑤⑤④
 7, 1,Ｌフェニックスソｰド, 47,鮫島良, 0.7, 60,*  0,   0,10, 35.9,⑧④⑤, 7,12,Ｄバリバリセレブ, 68,宮崎北, 0.6, 56,*  2,  -3,10, 67.1, ②②, 7, 3,Ｍシルクブリッツ, 56,武英智, 0.5, 63,  -3,   7,11, 33.2, ⑤⑤, 7, 4,Ｇヤサシイキモチ, 70,渡辺薫, 0.9, 70,*  4,   0, 7, 16.4,③③③
 8,14,Ｇエリモロワイヤル, 54,田辺裕, 1.0, 57,  -8,*  9,11, 44.4,⑰⑰⑬, 8, 7,Ｂグランデワイルド, 73,山口勲, 0.6, 57,   1,  -2, 2,  3.4, ③③, 8,17,Ｊメジロイングリッド, 62,黛弘人, 0.6, 62,*  0,   4,13, 43.4, ④④, 8,15,Ｎフェルミオン, 62,勝浦正, 1.0, 70,  -2,  13,11, 64.3,⑭⑭⑪
 9, 8,Ｈパラダイスポイント, 51,山口勲, 1.3, 52,  -2,  -6, 9, 34.8,⑩⑦⑩, 9, 4,Ｎクイｰンズガｰデン, 48,田辺裕, 0.9, 53,  -7,   0, 5, 12.1, ⑦⑧, 9,15,Ｃタフネスデジタル, 69,川須栄, 0.7, 60,  -7,   9, 2,  4.7, ⑦⑧, 9, 9,Ｉシｰキングフェイム, 67,太宰啓, 1.0, 66,*  6,  -5, 8, 22.5,②②①
10,18,Ｅロッセ, 56,藤岡康, 1.4, 55,  -6,   3, 7, 21.0,⑯⑯⑫,10, 8,Ｈテルザトゥルｰス, 64,大野拓, 1.5, 46,  -7,  -5,11, 71.8, ⑧⑨,10,10,Ｇシエラデルタ, 65,太宰啓, 0.7, 62, -16,* 18, 6, 13.9, ⑯⑰,10, 1,Ｐヤマニンミュゼット, 60,川島信, 1.2, 70,   0,   4,12, 75.2,⑩⑩⑬
