11年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾌﾟﾛｰｽﾞ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｏマウントビスティｰ, 40,石橋脩,, 72,* 10,* -2,14,158.2, ①①, 1, 1,Ｐヒｰルゼアハｰツ, 66,福永祐,, 81,  11,  10, 8, 24.2,④④④, 1, 1,Ｂアドマイヤセプタｰ, 83,メンデ,, 89,   5,* 19, 2,  4.9, ⑤⑤,,,,,,,,,,,,
 2,13,Ｆマスクオフ, 61,シュタ, 0.3, 66,  -1,* 11, 1,  3.3, ⑱⑱, 2,11,Ｃサトノアポロ, 75,後藤浩, 0.0, 81,   9,  17,10, 28.1,⑪⑩⑨, 2, 4,Ｋハングリｰジャック, 77,蛯名正, 0.2, 85,*  7,  10, 6,  9.0, ③③,,,,,,,,,,,,
 3, 8,Ｍデルマジュロウジン, 47,小野寺, 0.8, 60,   0,*  2,13,153.3, ⑭⑯, 3,12,Ｂアルマフロｰラ, 78,シュタ, 0.0, 83,   8,* 23, 1,  3.3,⑮⑮⑮, 3, 2,Ａフルアクセル, 84,ルメｰ, 0.4, 83,   3,  15, 1,  4.6, ⑦⑧,,,,,,,,,,,,
 4,14,Ａカフェコンセｰル, 70,蛯名正, 0.8, 61,   5,  -5, 3,  6.0, ⑩⑩, 4, 8,Ａスペｰスアｰク, 78,戸崎圭, 0.2, 79,   8,  17, 5, 14.9,⑬⑬⑫, 4,17,Ｅヒシカツジェｰムス, 82,武豊  , 0.4, 85,  -1,* 22, 9, 21.7, ⑭⑭,,,,,,,,,,,,
 5, 2,Ｄエムケｰジャック, 63,丸山元, 1.0, 59,*  7, -11, 6,  9.6, ③③, 5, 3,Ｅゼロｰソ, 74,岩田康, 0.2, 80,   9,  16, 7, 19.0,⑨⑧⑩, 5,12,Ｌアバウト, 76,福永祐, 0.4, 82,*  8,   4,11, 42.5, ①①,,,,,,,,,,,,
 6,10,Ｈクレバｰオｰロラ, 59,柴田善, 1.0, 60,   6,  -8, 7, 15.5, ⑧⑧, 6,15,Ｊマイネルシュライ, 70,三浦皇, 0.3, 78,  11,   3, 9, 26.5,③③③, 6, 7,Ｍサクラゴスペル, 76,三浦皇, 0.5, 82,   6,   7,10, 35.8, ④④,,,,,,,,,,,,
 7, 9,Ｂエクスプロｰラｰ, 66,ルメｰ, 1.1, 56,   2,  -5, 4,  8.3, ⑬⑬, 7, 7,Ｇネオブラックダイヤ, 72,デムｰ, 0.5, 77,   6,* 18, 2,  3.3,⑰⑰⑰, 7,13,Ｎエチゴイチエ, 76,デムｰ, 0.5, 80,* 10,   2, 5,  7.1, ②②,,,,,,,,,,,,
 8, 1,Ｉメテオレイン, 57,メンデ, 1.2, 57,   6, -11,11, 91.8, ⑦⑦, 8, 4,Ｆクリｰンメタボ, 72,中谷雄, 0.7, 74,  10,   3,13, 42.1,⑦⑦⑥, 8, 9,Ｄクラレットジャグ, 82,後藤浩, 0.6, 81,   3,  12,12, 89.4, ⑨⑨,,,,,,,,,,,,
