11年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,15,16,Ｐデラノｰチェ, 29,池添謙, 4.5, 32,  -5, -48,12, 90.9,⑯⑭⑮,15, 9,Ｏアンピトリｰテ, 56,小林徹, 3.6, 45,   2, -18,13, 98.4, ⑧⑫,,,,,,,,,,,,
,,,,,,,,,,,,16, 6,Ｃテイエムモｰション, 64,小牧太,21.9,21.9---,  -9, ---, 8, 29.7,⑪⑯⑯,16,10,Ｐウィズインカチドキ, 55,川田将,20.0,20.0---, -25, ---,11, 67.2, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:2),,,,,,,,,,,
単勝:380円 複勝:11=110円 02=110円 03=210円 枠連:220円,,,,,,,,,,,,"単勝:1,320円 複勝:05=460円 04=1,040円 13=170円 枠連:6,900円",,,,,,,,,,,,"単勝:2,590円 複勝:16=790円 14=330円 07=1,140円 枠連:1,310円",,,,,,,,,,,,単勝:530円 複勝:03=190円 13=130円 02=120円 枠連:850円,,,,,,,,,,,
馬連:230円 ワイド:02-11=120円 03-11=280円 02-03=350円,,,,,,,,,,,,"馬連:23,230円 ワイド:04-05=6,170円 05-13=1,040円 04-13=3,170円",,,,,,,,,,,,"馬連:10,250円 ワイド:14-16=3,620円 07-16=13,540円 07-14=6,060円",,,,,,,,,,,,"馬連:1,370円 ワイド:03-13=510円 02-03=340円 02-13=240円",,,,,,,,,,,
"馬単:650円 3連複:640円 3連単:3,130円",,,,,,,,,,,,"馬単:48,130円 3連複:35,940円 3連単:370,710円",,,,,,,,,,,,"馬単:25,610円 3連複:114,950円 3連単:726,390円",,,,,,,,,,,,"馬単:2,590円 3連複:1,260円 3連単:8,170円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1600m 3 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1900m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,花見小路特別,,,,,,,,,,,,,,,,,,,,,,
