11年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,本栖湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10, 4,Ｈブルジュハリファ, 26,伊藤直, 1.7, 34,*-12, -19,12,172.1, ②②,10,11, ロｰゼズガｰランド,---,嶋田純, 1.0, 56,  -5,  -8,12, 70.2, ⑥⑥,10,12,Ｌクロンドロｰリエ, 62,西田雄, 0.9, 72,   4,  10,14,342.4, ⑫⑫,10,15,Ｊマイプリティワン, 83,高倉稜, 1.6, 76,   6,  11,15,364.3, ⑭⑭
11, 8,Ｌクラウンロンギヌス,-20,吉田豊, 2.1, 29, -17, -20, 8, 50.6, ⑩⑩,11,17, コスモバルバラ,---,柴田大, 1.1, 57,  -6,  -6, 9, 29.6, ⑬⑬,11,15,Ｍメイウインド, 60,松岡正, 1.1, 68,* 12,  -8, 5, 10.7, ③④,11, 7,Ｋセイカアレグロ, 82,津村明, 1.8, 74,   8,   7,14,359.6, ⑬⑬
12,12,Ｉユメイチズ, 25,的場勇, 3.3, 16, -19, -31,10,101.7, ⑫⑫,12, 9, ナムラナデシコ,---,三浦皇, 1.2, 57,  -6,  -6, 5, 10.4, ⑨⑩,12,11,Ｇリアリｰラヴユｰ, 69,横山典, 1.2, 64,* 13, -12, 1,  2.3, ①①,12, 2,Ｌワｰルドハンタｰ, 80,中舘英, 2.1, 74,  15,  -5,13,189.6, ⑤⑥
,,,,,,,,,,,,13,12, フジマサアクティブ,---,勝浦正, 1.3, 53,  -4, -12,13, 81.9, ③⑤,13, 2,Ｎシルキｰフェスタ, 57,田辺裕, 1.2, 69,  -2,* 14,11,191.7, ⑮⑮,13,14,Ｎピュアオパｰル, 67,吉田隼, 2.2, 76,* 20, -11,10, 59.9, ①①
,,,,,,,,,,,,14,15, アｰスリリア,---,木幡初, 1.3, 54,  -5, -11,16,232.2, ⑦⑧,14,14,Ｅマイネクイｰン, 70,柴田大, 1.4, 62,* 12, -14, 6, 12.6, ②②,14,12,Ｉスリｰアリスト, 83,松岡正, 2.3, 71,   7,   3,12,136.0, ⑮⑮
,,,,,,,,,,,,15, 3, メイショウモｰレン,---,安藤勝, 1.4, 52,* -2, -18, 3,  7.1, ①①,15, 6,Ｏクリノビｰトイット, 49,丸田恭, 1.7, 63,   1,   5,15,362.4, ⑭⑭,15,13,Ｏサトノコクオｰ, 62,青木芳, 2.8, 68,  11,  -6,11, 84.3, ⑪⑪
,,,,,,,,,,,,16,18, エンゼルアｰチスト,---,田中勝, 1.5, 50,* -2, -18,14,162.1, ②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 2, テイエムアカキリ,---,高倉稜, 2.1, 47, -11, -10,18,344.4, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 4, セトブラボｰ,---,柴山雄,11.2,-53, -57, -66,17,332.7, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,
単勝:660円 複勝:05=170円 03=120円 10=190円 枠連:330円,,,,,,,,,,,,"単勝:6,030円 複勝:05=1,140円 08=710円 07=170円 枠連:3,080円",,,,,,,,,,,,"単勝:630円 複勝:09=210円 01=530円 08=250円 枠連:4,490円",,,,,,,,,,,,"単勝:3,870円 複勝:10=1,000円 06=280円 08=330円 枠連:1,840円",,,,,,,,,,,
馬連:790円 ワイド:03-05=330円 05-10=380円 03-10=360円,,,,,,,,,,,,"馬連:44,470円 ワイド:05-08=10,580円 05-07=3,730円 07-08=1,570円",,,,,,,,,,,,"馬連:6,290円 ワイド:01-09=1,730円 08-09=670円 01-08=2,230円",,,,,,,,,,,,"馬連:13,670円 ワイド:06-10=3,500円 08-10=3,900円 06-08=1,310円",,,,,,,,,,,
"馬単:2,070円 3連複:1,140円 3連単:7,690円",,,,,,,,,,,,"馬単:80,390円 3連複:92,150円 3連単:700,570円",,,,,,,,,,,,"馬単:12,370円 3連複:14,680円 3連単:99,780円",,,,,,,,,,,,"馬単:35,170円 3連複:41,270円 3連単:378,160円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 6R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,多摩川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
