09年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 9,Ｆマイネルダウザｰ, 51,デムｰ, 2.2, 49,  -1, -16, 3,  6.7,⑨⑥⑤, 7,15,Ｈノアプレミアム, 69,クラス, 1.0, 70,  -1,  11,12, 65.8,⑨⑪⑫, 7,11,Ｄトランスワｰプ, 80,武豊  , 1.1, 75,   4,  10, 3,  5.4,⑬⑫⑪, 7, 7,Ｆサラトガティプトン, 78,木幡初, 0.5, 76, -10,* 19,13, 41.0, ⑭⑭
 8,16,Ｃフラメンコスケッチ, 53,五十嵐, 2.6, 49,  -5, -10,15,272.8,⑧⑬⑮, 8, 6,Ｋケイバズキ, 68,北村宏, 1.0, 70,  -2,  14, 3, 11.7,⑮⑮⑭, 8,14,Ｐレイトスプリング, 66,武士沢, 1.1, 70,*  9,  -8,15,151.0,③③④, 8, 1,Ｄカレンナサクラ, 81,吉田隼, 0.5, 76, -18,* 27, 5,  8.8, ⑮⑮
 9,10,Ｅラビットラヴソング, 52,横山典, 2.9, 45,  -4, -14, 5,  9.2,⑭⑫⑩, 9, 7,Ｌアンブロｰクン, 66,三浦皇, 1.1, 69,*  1,   5,14,135.0,⑦④④, 9,13,Ｂハｰマジェスティ, 82,小林慎, 1.2, 77,   3,  15, 9, 19.8,⑮⑮⑮, 9, 4,Ｅマイネルオｰクベイ, 81,武士沢, 0.5, 76,   3,   6,15,113.3, ⑦⑥
10, 3,Ｌネコキック, 47,伊藤工, 3.2, 42,  -2, -22,11,112.0,⑦⑧⑧,10,14,Ｅアッシュアッパｰ, 70,木幡初, 1.2, 67,*  1,   5,11, 40.6,②②②,10,15,Ｍタカラサンデｰ, 74,蛯名正, 1.2, 69,* 13, -19, 8, 17.1,①①①,10, 3,Ｂリトルディッパｰ, 83,北村宏, 0.6, 75,   0,   7, 4,  7.9, ⑧⑧
11, 7,Ｄホッカイマナウス, 52,小野次, 3.3, 43,  -1, -25,14,173.1,⑤⑤④,11, 4,Ｃシルクアルバス, 74,藤田伸, 1.2, 70,  -3,  13, 8, 28.9,⑩⑭⑮,11, 6,Ｌヒカルマンテンボシ, 75,後藤浩, 1.4, 71,   7,  -1, 7, 13.2,⑤⑥⑧,11, 9,Ｉオリオンザブラック, 75,熊沢重, 0.6, 76,  -2,  10,12, 40.9, ⑪⑪
12,12,Ｋキタサンオトコミチ, 48,熊沢重, 3.4, 46,  -5, -16,13,125.8,⑮⑮⑭,12,16,Ｇサトノバロン, 70,横山典, 2.5, 59,  -2,  -1, 2,  8.1,⑫⑫⑬,12, 7,Ｃドリｰムライナｰ, 81,池添謙, 1.5, 68,* 11, -15, 6, 11.2,②②③,12,14,Ｇティムガッド, 78,蛯名正, 0.6, 75,   4,   3, 9, 21.5, ⑥⑦
13, 2,Ｎクロヒョウ, 45,中谷雄, 3.5, 42,*  2, -29,12,123.3,②②②,13, 3,Ｆオルトリンデ, 70,デムｰ, 2.6, 58,   0,  -4, 4, 13.7,⑥⑦⑩,13, 8,Ｎマルタカタキオン, 74,伊藤工, 1.6, 73,   3,   9,13, 87.0,⑫⑭⑭,13,15,Ｏエｰシンシｰクルｰ, 64,池添謙, 0.6, 76,* 10,  -2, 7, 15.4, ②③
14,11,Ｊゴｰルドパンチ, 48,木幡初, 4.1, 37,  -1, -29, 8, 51.7,⑬⑨⑨,14,10,Ｍメジロベンハｰ, 64,勝浦正, 2.6, 57,*  1,  -7, 9, 34.6,④③③,14,16,Ｏマスラタケヲ, 74,伊藤直, 2.1, 67,   4,  -2,14,149.3,⑩⑪⑫,14, 6,Ａレイザｰバック, 85,三浦皇, 0.7, 74,   8,  -2, 3,  6.1, ④④
15, 6,Ｏスｰパｰドリｰマｰ, 36,高山太, 5.5, 31,  -4, -37,16,328.0,⑪⑪⑬,15, 8,Ｎメジロアリス, 63,岩部純, 2.6, 61,  -4,   4,15,153.3,⑯⑯⑯,15,12,Ｈピンクバンサｰ, 79,浜中俊, 2.7, 61,   5, -15,16,168.8,⑧⑩⑬,15, 5,Ｎキュｰバンエイト, 68,吉田豊, 0.8, 72,  -6,  11,14, 48.2, ⑫⑩
16,15,Ｐファｰベルハフト, 30,三浦皇, 9.2,  3,  -9, -57, 9, 74.0,⑩⑯⑯,16, 1,Ｐゴｰストライタｰ, 58,熊沢重, 3.4, 55,   0, -12,13,124.6,③⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
"単勝:340円 複勝:08=150円 01=120円 04=1,760円 枠連:440円",,,,,,,,,,,,単勝:160円 複勝:12=110円 09=240円 11=490円 枠連:650円,,,,,,,,,,,,"単勝:630円 複勝:03=220円 04=170円 05=270円 枠連:1,210円",,,,,,,,,,,,"単勝:410円 複勝:11=200円 02=340円 13=460円 枠連:1,350円",,,,,,,,,,,
"馬連:450円 ワイド:01-08=190円 04-08=4,470円 01-04=3,700円",,,,,,,,,,,,"馬連:740円 ワイド:09-12=370円 11-12=820円 09-11=3,190円",,,,,,,,,,,,"馬連:1,130円 ワイド:03-04=480円 03-05=1,450円 04-05=750円",,,,,,,,,,,,"馬連:4,360円 ワイド:02-11=1,560円 11-13=1,680円 02-13=3,520円",,,,,,,,,,,
"馬単:870円 3連複:12,730円 3連単:45,480円",,,,,,,,,,,,"馬単:1,080円 3連複:5,400円 3連単:16,100円",,,,,,,,,,,,"馬単:2,320円 3連複:3,280円 3連単:14,650円",,,,,,,,,,,,"馬単:7,170円 3連複:21,530円 3連単:103,500円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2009ﾌｪｱｳｪﾙｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄロｰグランド, 59,内田博,, 66, -19,* 13, 3,  4.7,⑦⑥⑥, 1,16,Ｄトｰホウカラブラン, 80,小野次,, 83,*  4,  15, 5, 12.4, ①①, 1,14,Ｆインバルコ, 85,デムｰ,, 83,   4,* 29, 1,  2.5,⑥⑨⑩,,,,,,,,,,,,
 2,11,Ｇドリｰムバスケット, 54,ルメｰ, 0.0, 64,*-17,* 10, 4,  5.6,④④⑤, 2, 5,Ｂマッドマックス, 80,北村宏, 0.3, 79,  -1,  16, 2,  5.7, ⑦⑤, 2,11,Ａフリソ, 88,ルメｰ, 0.0, 82,   3,* 31, 2,  4.1,⑨⑩⑦,,,,,,,,,,,,
 3, 4,Ｆブｰケドロゼブルｰ, 58,後藤浩, 0.1, 64, -19,* 12, 8, 24.9,⑤⑤④, 3, 9,Ｍコリコパット, 74,デムｰ, 0.4, 80,  -1,  17, 6, 12.8, ⑤⑦, 3, 4,Ｊコロナグラフ, 84,内田博, 0.4, 80,*  6,  22, 7, 15.1,③②②,,,,,,,,,,,,
 4, 9,Ｃメジロジェラルド, 60,吉田豊, 0.1, 60,*-16,   6, 1,  4.4,③①①, 4,13,Ｈチャｰムキャップ, 76,勝浦正, 0.4, 79,  -5,* 20,10, 29.8, ⑭⑫, 4,13,Ｈアルトップラン, 84,吉田豊, 0.4, 82,   3,* 28, 6, 12.7,⑩⑪⑪,,,,,,,,,,,,
 5, 7,Ｂウエスタンブラボｰ, 62,田中勝, 0.5, 56,*-17,   2, 2,  4.6,②③③, 5,15,Ｊコスモオｰ, 75,内田博, 0.6, 77,   0,  13, 3,  8.9, ④③, 5,10,Ｃゴｰビハインド, 86,後藤浩, 0.5, 78,*  7,  19, 8, 19.2,①①①,,,,,,,,,,,,
 6, 6,Ａナモンミライ, 65,柴田善, 0.6, 53,*-16,  -3, 5,  6.0,①②②, 6, 1,Ｌゴｰルドエンデバｰ, 74,三浦皇, 0.6, 78,  -4,  16, 8, 25.7, ⑨⑪, 6,12,Ｎキングバンブｰ, 82,北村宏, 0.5, 78,   4,  24, 3, 10.9,⑪⑥⑤,,,,,,,,,,,,
