09年 7月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 4,Ｈアドマイヤパンチ, 52,福永祐, 2.6, 56,*  4, -17, 5, 19.9,③③⑤, 7,15,Ｆオｰトキュイジｰヌ, 64,藤岡康, 1.5, 56, -10,   1, 5, 13.9, ⑫⑩, 7, 6,Ｉブラックポイント, 52,浜口楠, 2.7, 68,   1,   4, 9,201.6,⑦⑧⑧, 7, 9,Ｊサムワントゥラブ, 57,武豊  , 0.5, 67, -10,   9, 4,  9.1,⑧⑧⑧
 8, 2,Ｌエリモメトロポリス, 46,熊沢重, 3.6, 49,   0, -19,10, 95.5,⑦⑨⑧, 8,16,Ｃエリモフリｰダム, 67,渡辺薫, 2.0, 53,  -3,  -9, 4,  9.7, ⑤⑥, 8, 4,Ｆシュルヴィｰヴル, 76,太宰啓, 3.2, 65,  -1,   5, 7, 58.2,⑨⑨⑨, 8, 8,Ｇラフアップ, 69,中村将, 0.7, 62,* -8,   0,10, 97.0,③④③
 9, 7,Ｊアウロｰラ, 50,鮫島良, 3.6, 48,   2, -23, 8, 71.4,⑨⑦⑦, 9,10, オｰセロワ,---,武豊  , 2.4, 48, -12,  -5, 1,  1.8, ⑪⑪, 9, 8,Ｇジョウショｰリズム, 57,木村健, 3.5, 61,   3,  -7, 8,140.9,⑧⑦⑦, 9, 1,Ｉホクトスワン, 59,浜中俊, 1.0, 61, -11,   1, 7, 57.0,⑨⑨⑨
10,11,Ｋシゲルフゲンダケ, 47,松山弘, 3.6, 48,   0, -19,13,203.5,⑤⑧⑨,10, 5,Ｌメメミルキッシュ, 36,木村健, 2.9, 45,  -8, -11,12,216.4, ⑨⑨,,,,,,,,,,,,,10, 3,Ｋオｰミメリッサ, 47,国分恭, 1.0, 59,  -9,  -1,11,169.9,⑤⑤⑥
11,12,Ｇロイヤルライン, 55,角田晃, 4.1, 47,  -2, -18,11,141.5,⑬⑬⑫,11,14,Ｉグルナッシュ, 50,国分恭, 3.1, 41,* -1, -22,14,322.9, ④④,,,,,,,,,,,,,11, 7,Ｈメイシｰズパレｰド, 61,酒井学, 1.3, 58, -11,   0, 8, 74.9,⑩⑩⑩
12, 8,Ｉシゲルメガミヤマ, 50,酒井学, 5.7, 37,  -1, -35,12,179.1,⑧⑩⑬,12,11,Ｈサンレイクエスト, 54,難波剛, 3.1, 41, -11, -12,13,298.7, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,
13, 5, エリモディｰバ,---,藤岡康, 5.7, 36,  -1, -37, 9, 87.1,⑫⑪⑪,13, 7,Ｋゴｰルドキｰパｰ, 41,角田晃, 3.5, 38, -17, -10, 9, 78.4, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,13, ケイティロｰレル,---,野元昭, 3.6, 37, -22,  -6,15,489.4, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 9, サンマルミッシェル,---,幸英明, 3.7, 36, -15, -12,11,189.1, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 3, ウォｰタｰサムデイ,---,芹沢純, 3.9, 33, -18, -13,16,499.6, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,
単勝:220円 複勝:13=110円 09=120円 06=120円 枠連:290円,,,,,,,,,,,,"単勝:1,520円 複勝:06=320円 02=250円 04=900円 枠連:3,110円",,,,,,,,,,,,単勝:180円 複勝:01=110円 03=160円 05=210円 枠連:390円,,,,,,,,,,,,"単勝:170円 複勝:10=110円 04=270円 05=140円 枠連:1,280円",,,,,,,,,,,
馬連:280円 ワイド:09-13=150円 06-13=200円 06-09=230円,,,,,,,,,,,,"馬連:3,360円 ワイド:02-06=1,070円 04-06=3,190円 02-04=2,300円",,,,,,,,,,,,馬連:410円 ワイド:01-03=190円 01-05=270円 03-05=460円,,,,,,,,,,,,"馬連:1,100円 ワイド:04-10=440円 05-10=180円 04-05=650円",,,,,,,,,,,
"馬単:480円 3連複:350円 3連単:1,190円",,,,,,,,,,,,"馬単:9,460円 3連複:16,120円 3連単:110,830円",,,,,,,,,,,,"馬単:600円 3連複:850円 3連単:2,200円",,,,,,,,,,,,"馬単:1,560円 3連複:1,370円 3連単:5,680円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝2200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三田特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｇファｰレサルティ, 60,浜中俊,, 67,* -3,   2, 4, 14.8, ③④, 1,16,Ｈレインボｰマリｰン, 57,佐藤哲,, 60,  -8,*  7, 9, 88.1, ⑬⑬, 1, 2,Ｃアドマイヤメジャｰ, 81,川田将,, 91,   4,* 23, 2,  3.0,③③③, 1, 3,Ｄペプチドアトム, 79,田中健,, 82,* 14,   1, 4,  7.1, ①①
 2, 1,Ｃフロｰズンダイキリ, 63,福永祐, 0.0, 68,  -6,*  9, 2,  3.7, ⑫⑪, 2, 9,Ｂディアエンデバｰ, 69,武豊  , 0.2, 60,  -5,*  3, 1,  1.7, ⑫⑩, 2, 1,Ｇドリｰムキュｰブ, 78,藤岡康, 0.4, 83,*  7,  10, 7, 28.5,①①①, 2,13,Ｂメイショウボンハオ, 80,武豊  , 0.1, 78,   3,* 14, 1,  2.9, ⑫⑪
 3,14,Ａタクティクス, 69,川田将, 0.1, 69,  -8,* 13, 1,  2.5, ⑭⑮, 3,14,Ａキンショｰノボス, 69,浜中俊, 0.4, 59,  -2,  -3, 4,  6.8, ⑤⑤, 3, 9,Ｆカネトシソレイユ, 78,小牧太, 0.6, 85,   3,  17, 5, 16.2,⑨⑨⑥, 3, 1,Ａエｰシンビｰトロン, 82,福永祐, 0.3, 79,* 13,   0, 2,  3.4, ②②
 4, 9,Ｅジャグラｰキング, 61,小牧太, 0.2, 65,* -1,  -2, 3,  4.7, ②②, 4,13,Ｆホッコｰフクヒメ, 57,石橋守, 0.5, 59,  -9,*  5, 6, 52.2, ⑮⑭, 4,12,Ｂクレスコワｰルド, 82,福永祐, 0.6, 86,   2,* 20, 1,  2.9,⑪⑫⑩, 4, 8,Ｅチャｰムキャップ, 77,幸英明, 0.5, 77,* 12,   1, 6, 20.4, ③③
 5,11,Ｈキクノアキレス, 57,幸英明, 0.3, 65,  -4,   2, 8, 24.6, ⑪⑨, 5, 2,Ｃサウンドアクシス, 65,生野賢, 0.9, 55,  -1,  -8, 3,  6.7, ③③, 5, 8,Ａエタｰナルクラウン, 83,浜中俊, 0.7, 85,   1,* 20, 9, 44.9,⑩⑩⑪, 5,10,Ｈラッシュストリｰト, 71,赤木高, 0.7, 74,  10,   0,10, 47.7, ⑤⑤
 6, 8,Ｆフェリキタｰス, 61,国分恭, 0.5, 61,  -5,  -2,12,124.6, ⑥⑥, 6, 3,Ｇカリズマクレスト, 57,松山弘, 0.9, 54,  -2,  -8, 5, 22.8, ⑥⑥, 6,11,Ｉウインヴェロシティ, 77,武豊  , 0.8, 81,   4,  13, 3,  4.0,⑤⑤④, 6,11,Ｃマルブツサクラオｰ, 80,浜中俊, 0.8, 75,* 12,  -2, 3,  4.8, ④④
 7,17,Ｌメイショウホオズキ, 44,高橋亮, 0.5, 61,* -3,  -4,10, 55.3, ⑤⑤, 7,10,Ｅリュクスｰル, 58,福永祐, 1.2, 54,*  1, -12, 7, 64.8, ①①, 7, 7,Ｊライオングラス, 75,鮫島良, 0.8, 82,   3,  15,11, 57.8,⑦⑧⑨, 7,12,Ｆエンシャントアｰツ, 75,松山弘, 1.1, 71,  10,  -3, 8, 35.1, ⑥⑥
