09年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-22 馬場:不良(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:不良(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:9),,,,,,,,,,,
"単勝:480円 複勝:03=230円 13=250円 01=300円 枠連:1,390円",,,,,,,,,,,,"単勝:550円 複勝:10=250円 06=1,240円 02=920円 枠連:2,980円",,,,,,,,,,,,"単勝:1,710円 複勝:04=370円 08=470円 11=140円 枠連:2,140円",,,,,,,,,,,,"単勝:1,980円 複勝:06=450円 02=130円 08=590円 枠連:2,160円",,,,,,,,,,,
"馬連:1,540円 ワイド:03-13=480円 01-03=640円 01-13=910円",,,,,,,,,,,,"馬連:13,680円 ワイド:06-10=2,450円 02-10=1,970円 02-06=7,440円",,,,,,,,,,,,"馬連:9,720円 ワイド:04-08=2,290円 04-11=880円 08-11=930円",,,,,,,,,,,,"馬連:2,180円 ワイド:02-06=900円 06-08=5,370円 02-08=990円",,,,,,,,,,,
"馬単:3,010円 3連複:3,400円 3連単:16,800円",,,,,,,,,,,,"馬単:23,870円 3連複:63,380円 3連単:374,930円",,,,,,,,,,,,"馬単:18,820円 3連複:8,810円 3連単:103,170円",,,,,,,,,,,,"馬単:6,700円 3連複:13,660円 3連単:105,830円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,西日本ｽﾎﾟｰﾂ杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, エｰシンサｰフィン,,横山義,,,,, 1,  3.2,⑥②②, 1, 6,Ａラインドリｰム, 74,幸英明,, 56,   1,*-15, 2,  4.0,⑫⑥④, 1, 1,Ｂオｰルタイムベスト, 77,武豊  ,, 86,  10,* 12, 1,  4.1, ⑦③, 1, 8,Ａキングバンブｰ, 81,松山弘,, 78,   8,*  8, 2,  5.4,⑭⑨⑦
 2, 7, ゴｰルデンカイザｰ,,北沢伸,199.4,,,, 2,  3.6,①①①, 2,14,Ｂロｰズリパブリック, 70,武豊  , 0.4, 51,*  4,*-28, 1,  2.3,⑤③②, 2,10,Ｃエｰシンビｰエル, 75,浜中俊, 0.1, 82,   2,* 18,12, 26.8, ⑮⑮, 2,10,Ｇインバルコ, 75,川田将, 0.2, 76,   9,   5, 1,  2.7,⑦⑥②
 3, 5, スナｰクマイハｰト,,高野容,199.4,,,, 6, 13.2,④③③, 3,10,Ｋテイエムドルフィン, 54,佐久間, 1.6, 41,  -2,*-32, 8, 27.6,⑱⑦⑥, 3,14,Ｄビンチェロ, 74,福永祐, 0.1, 87,  12,   9, 3,  4.7, ⑥⑥, 3, 7,Ｅフラッグラッシュ, 75,鮫島良, 0.3, 77,   5,* 12, 7, 19.6,⑯⑭⑨
