09年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-9),,,,,,,,,,,
単勝:180円 複勝:09=110円 05=260円 02=250円 枠連:590円,,,,,,,,,,,,"単勝:2,290円 複勝:06=360円 10=220円 08=150円 枠連:2,160円",,,,,,,,,,,,単勝:320円 複勝:02=110円 07=110円 06=120円 枠連:260円,,,,,,,,,,,,単勝:380円 複勝:12=160円 03=200円 11=180円 枠連:380円,,,,,,,,,,,
"馬連:820円 ワイド:05-09=440円 02-09=320円 02-05=1,310円",,,,,,,,,,,,"馬連:3,280円 ワイド:06-10=970円 06-08=690円 08-10=390円",,,,,,,,,,,,馬連:280円 ワイド:02-07=130円 02-06=170円 06-07=130円,,,,,,,,,,,,"馬連:1,140円 ワイド:03-12=460円 11-12=460円 03-11=780円",,,,,,,,,,,
"馬単:1,420円 3連複:2,280円 3連単:7,680円",,,,,,,,,,,,"馬単:9,410円 3連複:3,340円 3連単:33,220円",,,,,,,,,,,,"馬単:680円 3連複:220円 3連単:1,130円",,,,,,,,,,,,"馬単:2,210円 3連複:2,410円 3連単:11,860円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,久留米特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, メルシｰモンサン,,高野容,,,,, 3,  8.5,⑦⑤④, 1,17,Ｄリッピアピンク, 59,松山弘,, 58,  -4,* -1, 4,  6.6, ⑰⑯, 1, 3,Ｄタマモクリエイト, 74,幸英明,, 73,   2,* 11, 4,  7.7,⑩⑩⑦, 1, 7,Ｃタマモランニング, 75,和田竜,, 76,*  8,   1, 4,  8.3,⑤②②
 2, 2, ニシオハンセル,,仲田雅,192.6,,,, 8, 49.6,⑤③②, 2,11,Ｍドリｰムバンブｰ, 50,太宰啓, 0.2, 60,   6, -13,12, 71.6, ④⑤, 2, 9,Ｃトウショウクエスト, 74,小牧太, 0.2, 71,*  6,   4, 1,  2.7,①①①, 2, 2,Ｆサワノパンサｰ, 69,福永祐, 0.0, 76,*  7,   2, 2,  3.8,②①①
