09年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,鳴海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-2),,,,,,,,,,,
単勝:190円 複勝:05=110円 08=170円 01=190円 枠連:620円,,,,,,,,,,,,単勝:210円 複勝:03=130円 06=360円 10=360円 枠連:600円,,,,,,,,,,,,"単勝:1,030円 複勝:05=280円 10=150円 02=1,730円 枠連:700円",,,,,,,,,,,,"単勝:300円 複勝:07=160円 01=470円 05=730円 枠連:2,420円",,,,,,,,,,,
馬連:730円 ワイド:05-08=290円 01-05=280円 01-08=750円,,,,,,,,,,,,"馬連:1,450円 ワイド:03-06=720円 03-10=540円 06-10=3,140円",,,,,,,,,,,,"馬連:1,160円 ワイド:05-10=460円 02-05=5,670円 02-10=3,380円",,,,,,,,,,,,"馬連:2,420円 ワイド:01-07=980円 05-07=1,860円 01-05=5,030円",,,,,,,,,,,
"馬単:1,200円 3連複:1,700円 3連単:6,170円",,,,,,,,,,,,"馬単:2,310円 3連複:6,810円 3連単:22,360円",,,,,,,,,,,,"馬単:2,850円 3連複:27,780円 3連単:116,610円",,,,,,,,,,,,"馬単:4,360円 3連複:20,790円 3連単:86,370円",,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,揖斐川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａトｰセンバスケット, 79,蛯名正,, 75,  -1,* 16, 1,  2.5,④⑥⑥, 1, 6,Ｄアラマサスクワｰト, 66,的場勇,, 67,   1,*  3, 6, 15.0, ⑥⑥, 1,15,Ｄユメイッポ, 70,スミヨ,, 79,   2,* 10, 1,  3.3, ⑧⑧, 1, 6,Ａヴィｰヴァミラコロ, 82,蛯名正,, 76,   5,   2, 3,  4.8,⑤⑤⑦
 2, 8,Ｃエルメスグリｰン, 74,秋山真, 0.4, 70,  -1,* 13, 3,  4.8,⑧⑧⑧, 2, 5,Ｏサマｰラグｰン, 57,丸田恭, 0.2, 66,*  5,  -1, 4, 10.0, ③②, 2,13,Ｌタニノスバル, 64,上村洋, 0.3, 76,   5,   4, 4,  7.5, ⑤⑤, 2,18,Ｄネオレボルｰション, 77,中舘英, 0.1, 78,   0,* 11, 2,  4.1,⑮⑮⑭
 3,12,Ｂパルクエスト, 76,福永祐, 0.4, 71,*  0,  10, 2,  3.3,②②②, 3, 4,Ｂタピルｰジュ, 69,佐藤哲, 0.3, 65,*  4,  -1, 1,  2.6, ②③, 3,10,Ｅアスタｰエンペラｰ, 70,中舘英, 0.3, 75,*  9,  -1, 2,  5.0, ①①, 3, 4,Ｂリアルプリンス, 80,佐藤哲, 0.2, 72,   3,   3, 1,  3.6,⑦⑨⑧
 4, 1,Ｈメジロフロｰラ, 70,石橋脩, 0.6, 73,  -2,* 13, 6, 21.3,⑦⑨⑨, 4, 3,Ｌチャｰミングオｰラ, 60,中舘英, 0.4, 63,   2,  -1, 7, 20.4, ⑤⑤, 4, 8,Ａダイメイザバリヤル, 78,松田大, 0.5, 73,  -5,* 11, 3,  7.2, ⑭⑬, 4,10,Ｈインテンスブルｰ, 73,秋山真, 0.2, 73,*  7,  -6, 5, 14.1,①①①
 5,10,Ｅビクトリアスバイオ, 71,丸田恭, 0.7, 69,*  0,   9, 4,  9.8,⑥⑤④, 5,10,Ｎグレンチェック, 59,松田大, 0.4, 66,*  4,  -2,12, 96.7, ④④, 5, 2,Ｇコアレスカポｰテ, 67,秋山真, 0.5, 73,   2,   3, 7, 15.1, ⑦⑥, 5,16,Ｊハギノバロンドｰル, 72,宮崎北, 0.2, 74,   3,   4, 8, 21.9,⑬⑪⑨
