09年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2400m 3 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,神戸新聞杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,15,Ｎテイエムタフネス, 38,藤岡佑, 0.7, 50, -17,* -2,13,251.1, ⑬⑬, 7, 5,Ｇパｰプルパッピｰ, 56,秋山真, 1.9, 57,   0,  -7,11,126.6, ⑤⑤, 7, 5,Ｊロｰザレｰヌ, 65,藤岡康, 0.9, 71,   6,  -4, 6, 31.5,⑨⑨⑨, 7, 9,Ｈナムラソワン, 67,秋山真, 0.9, 64,* -1,   2, 9, 45.4,①②②
 8, 5,Ｅコｰリンブラッサム, 57,松山弘, 1.0, 44, -14, -10,10, 56.1, ⑧⑩, 8,11,Ｊエｰシンカハナモク, 51,福永祐, 2.0, 58,  -8,   3, 7, 18.6, ⑯⑬, 8, 3,Ｄマドンナブラボｰ, 76,角田晃, 1.0, 70,  10, -15, 9,104.3,④④④, 8, 3,Ｅマルブツファイン, 76,松山弘, 1.2, 61,  -5,   6, 8, 21.0,⑧⑧⑩
 9,10,Ｍスマｰトアｰサイト, 45,武豊  , 1.0, 45, -17,  -6, 3,  6.4, ⑮⑭, 9,12,Ｅペルシステンテ, 64,内田博, 2.0, 58,  -6,  -1, 4, 10.4, ⑬⑪, 9, 2,Ｆスズカルビｰ, 74,幸英明, 1.2, 68,* 15, -25, 8, 38.4,①①①, 9,10,Ｆエイシンダッシュ, 69,幸英明, 1.3, 63,  -4,   7, 7, 19.1,⑫⑪⑪
10, 8,Ｊサックアクロア, 48,藤岡康, 1.1, 42, -13, -13, 4,  7.2, ⑨⑦,10,15,Ｐラブアダブダブ,-31,藤岡佑, 2.2, 54,*  1, -11,10,117.6, ③③,10, 4,Ｇリコリス, 72,川田将, 1.4, 65,* 13, -26, 5,  9.1,②②②,10, 7,Ｋメルシｰレインボｰ, 51,小林徹, 2.7, 55,  -5,  -4,12,127.7,⑪⑫⑫
11, 3,Ｇヤマニンガｰゴイル, 55,和田竜, 1.2, 42,*-10, -17, 9, 43.3, ③③,11,16,Ｈキャンディｰムｰン, 53,岩田康, 2.9, 49,  -1, -14, 9, 41.1, ⑦⑧,11, 9,Ｋジョイフルスマイル, 63,藤岡佑, 2.7, 54,* 13, -44,11,316.8,③③③,11, 6,Ｌドンペリゴｰル, 43,石橋守, 3.0, 54,  -2, -12,10, 84.3,③⑥⑥
12, 1,Ｋキョウワマグナム, 47,武幸四, 1.3, 43, -18,  -8, 6, 39.3, ⑭⑮,12, 3,Ｏサンマルリｰフ, 22,赤木高, 2.9, 49,  -4, -11,14,294.1, ⑩⑩,,,,,,,,,,,,,11, 1,Ｊシゲルキボウ, 51,浜中俊, 3.0, 52,  -4,  -9,11,113.5,⑦⑩⑨
13,11,Ｄクニサキロンチｰ, 60,幸英明, 1.6, 38, -14, -17, 7, 39.5, ⑩⑫,13, 2,Ｋスズカアパッシュ, 43,田島裕, 3.0, 50,  -4, -11,12,285.7, ⑨⑫,,,,,,,,,,,,,,,,,,,,,,,,
14,13,Ｏメイショウシェリｰ, 37,高橋亮, 1.6, 39, -19, -11,15,422.1, ⑯⑯,14, 1,Ｎエバｰメモリｰ, 24,小林徹, 4.2, 41,  -9, -16,15,435.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
15, 6,Ｌエンカレッジング, 46,四位洋, 2.2, 30,* -8, -34,11,119.8, ①①,15,13,Ｌツルハチオジョｰ, 43,橋本美, 4.2, 40,  -8, -17,16,483.3, ⑫⑯,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Ｈチキリパンドラ, 51,石橋守, 2.6, 27, -11, -34,14,263.2, ⑥⑧,16, 7,Ｍシゲルオオミネサン, 35,酒井学, 4.4, 39, -10, -17,13,288.2, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,
単勝:220円 複勝:02=120円 09=140円 14=170円 枠連:240円,,,,,,,,,,,,"単勝:1,310円 複勝:10=490円 14=340円 06=230円 枠連:3,480円",,,,,,,,,,,,単勝:240円 複勝:01=130円 06=150円 07=180円 枠連:320円,,,,,,,,,,,,"単勝:1,360円 複勝:08=400円 04=610円 12=230円 枠連:13,130円",,,,,,,,,,,
馬連:490円 ワイド:02-09=230円 02-14=380円 09-14=560円,,,,,,,,,,,,"馬連:7,060円 ワイド:10-14=2,070円 06-10=1,130円 06-14=750円",,,,,,,,,,,,馬連:540円 ワイド:01-06=260円 01-07=340円 06-07=400円,,,,,,,,,,,,"馬連:13,900円 ワイド:04-08=4,240円 08-12=1,370円 04-12=2,460円",,,,,,,,,,,
"馬単:720円 3連複:1,040円 3連単:3,070円",,,,,,,,,,,,"馬単:15,250円 3連複:9,860円 3連単:92,000円",,,,,,,,,,,,"馬単:930円 3連複:1,040円 3連単:3,110円",,,,,,,,,,,,"馬単:24,770円 3連複:30,280円 3連単:240,670円",,,,,,,,,,,
■ 3R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,新涼特別,,,,,,,,,,,,,,,,,,,,,,
