09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 5,Ｄナリタテイオｰ, 58,渡辺薫, 1.0, 63,   3, -10, 6, 25.6,⑩⑫⑩, 8, 4,Ｊサンレイクエスト, 49,難波剛, 2.1, 46,*  3, -18,10,123.8, ②②, 8, 2,Ｍシゲルハスラット, 58,中村将, 0.9, 68, -18,  17,10,119.4, ⑩⑪, 8, 2,Ｆスマｰトレディｰ, 71,川田将, 1.2, 69,  -8,  10, 8, 21.6,⑩⑫⑪
 9,11,Ｅトレノソルｰテ, 56,大下智, 1.0, 61,   3, -10, 5, 16.7,⑮⑬⑪, 9,14,Ｉツカサ, 53,大下智, 2.2, 43, -14,  -6,11,199.5, ⑪⑩, 9, 8,Ｈジョウショｰアロｰ, 68,浜中俊, 1.0, 64, -10,   7, 9, 36.1, ④③, 9, 4,Ｉドリｰムガｰルズ, 65,小坂忠, 1.2, 64,  -4,   1,14,165.3,④④④
10,13,Ｊヒミノリュウオウ, 54,田中克, 1.2, 59,   3, -14, 1,  3.1,⑥⑨⑧,10, 6,Ｍシゲルセンガミネ, 30,太宰啓, 2.4, 40, -18,  -7,12,264.6, ⑫⑫,10, 3,Ｎパブリッシャｰ, 56,松山弘, 1.1, 65, -17,  13,12,219.0, ⑪⑫,10, 8,Ｎビビッドビビアン, 58,石橋守, 1.2, 68,  -9,  11,13,155.3,⑪⑬⑬
11,14,Ｃウィズインウエク, 60,藤岡康, 1.3, 59,   1,  -8, 7, 29.4,⑬⑮⑮,11,13,Ｄキンシスタｰ, 60,田中健, 2.4, 41,  -6, -14, 6, 24.0, ⑦⑨,11, 1,Ｄノｰブルストｰン, 73,武豊  , 1.1, 63, -14,  10, 4,  9.0, ⑥⑧,11,11,Ｇドナフュｰジョン, 67,国分恭, 1.4, 63,  -7,   3,12, 93.7,⑥⑧⑧
12,12,Ｂレッドファング, 65,川田将, 1.5, 57,   3, -19, 2,  3.7,⑫⑩⑫,12, 2,Ｋメモリｰバンダ, 43,和田竜, 2.6, 38, -16,  -9, 9,100.6, ⑩⑪,12,13,Ｊラブイズモネ, 63,大下智, 1.3, 62, -19,  13,11,199.3, ⑬⑬,12, 3,Ｊカネトシレジアス, 65,藤岡康, 1.4, 63,  -6,   3, 9, 38.5,⑦⑦⑦
13, 9,Ｍドゥボンヌｰル, 49,松山弘, 1.5, 57,   4, -21,14, 96.7,⑨⑧⑨,13, 8,Ｌロイヤルワルツ, 36,国分恭, 2.8, 37, -23,  -7,13,278.7, ⑬⑬,13, 7,Ｋカシノヘラクレス, 62,小坂忠, 1.5, 57, -14,   5,15,420.3, ⑦⑦,13, 1,Ｈトｰセンウｰノ, 66,幸英明, 1.6, 59,  -4,  -5, 5, 17.1,③③③
14, 8,Ｈマサゴｰルド, 55,幸英明, 2.2, 53,   4, -32,12, 73.3,③⑤⑭,14, 1, シゲルイヨフジ,---,藤岡康, 3.4, 29, -29,  -8,14,344.6, ⑭⑭,14,15,Ｌエアパパガト, 61,上村洋, 2.6, 43, -21,  -3,14,356.3, ⑭⑭,14, 7,Ｌニシノアンクレット, 62,松山弘, 1.7, 55,* -1, -12, 6, 17.3,①①②
15, 2,Ｋレナプリンセス, 52,酒井学, 2.5, 50,*  5, -40,10, 50.3,②②④,,,,,,,,,,,,,15, 9,Ｏバｰドダムｰル, 50,野元昭, 2.7, 43, -26,   1,16,656.2, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 5, ケンブリッジロス,---,田嶋翔, 3.2, 37, -32,   0,13,290.2, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,
"単勝:400円 複勝:10=170円 06=1,080円 04=720円 枠連:1,020円",,,,,,,,,,,,"単勝:450円 複勝:05=150円 11=150円 03=110円 枠連:1,590円",,,,,,,,,,,,単勝:240円 複勝:12=130円 10=190円 11=430円 枠連:620円,,,,,,,,,,,,単勝:410円 複勝:12=140円 14=160円 13=120円 枠連:370円,,,,,,,,,,,
"馬連:8,630円 ワイド:06-10=2,640円 04-10=1,800円 04-06=8,400円",,,,,,,,,,,,"馬連:1,900円 ワイド:05-11=510円 03-05=190円 03-11=270円",,,,,,,,,,,,"馬連:640円 ワイド:10-12=350円 11-12=580円 10-11=1,730円",,,,,,,,,,,,"馬連:1,530円 ワイド:12-14=440円 12-13=220円 13-14=280円",,,,,,,,,,,
"馬単:11,150円 3連複:37,170円 3連単:196,410円",,,,,,,,,,,,"馬単:3,270円 3連複:900円 3連単:7,780円",,,,,,,,,,,,"馬単:1,020円 3連複:3,400円 3連単:9,950円",,,,,,,,,,,,"馬単:2,420円 3連複:840円 3連単:5,590円",,,,,,,,,,,
■ 3R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 9R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,玄海特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8, マヤノスタｰダム,,植野貴,,,,, 3,  3.8,⑦⑥⑥, 1,10,Ａリッカコウユウ, 69,安藤光,, 65,* -3,*  1, 3,  5.7, ③③, 1, 6,Ｄカネトシソレイユ, 80,小牧太,, 85,  -2,* 21, 2,  3.9,⑥⑥⑤, 1, 4,Ａメイショウオニカゲ, 75,川田将,, 76,   4,* 12, 2,  4.3,⑧⑦⑦
 2, 5, エｰシンディｰエス,,白浜雄,188.8,,,, 4,  5.8,⑤④④, 2, 1,Ｅラガｰキセキ, 57,上村洋, 0.2, 63,*  1,  -5, 6,  8.0, ①①, 2, 1,Ｅパッションレッド, 78,藤岡康, 0.0, 83,  -2,* 20, 1,  3.7,③④④, 2, 6,Ｄテｰオｰマグナム, 73,浜中俊, 0.0, 75,   4,* 10, 9, 18.5,⑦⑤⑤
 3,12, トｰワベガ,,北沢伸,188.8,,,, 7, 37.3,⑥⑤⑤, 3, 8,Ｆエアガルニエ, 57,浜中俊, 0.3, 61,* -2,  -4, 4,  6.0, ②②, 3,10,Ｆロｰドアルファｰド, 77,川田将, 0.0, 81,*  1,  14, 3,  4.9,①①①, 3, 8,Ｈウインステルス, 69,和田竜, 0.2, 74,*  5,   6, 3,  6.4,⑤③③
 4, 9, ニホンピロファイブ,,林満明,189.0,,,, 2,  3.7,②②①, 4,17,Ｉトシザレイクブルｰ, 55,藤岡康, 0.4, 59,  -6,  -2, 1,  4.4, ⑤⑥, 4, 9,Ａタマモランニング, 81,和田竜, 0.0, 83,*  0,  19, 6, 10.5,④③③, 4, 2,Ｍファイナルパンチ, 62,渡辺薫, 0.4, 75,   2,* 12,14, 81.2,⑪⑪⑨
