09年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,赤富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 3,Ｍゴｰルドホｰス, 24,内田博, 0.9, 55, -18,   8, 6, 30.1, ④④, 7, 2, リネンタキシｰド,---,柴山雄, 2.6, 47,  -5, -12,16,226.5, ⑧⑦, 7,14,Ｆリアルディｰル, 71,後藤浩, 0.7, 67,  -1,   7, 9, 35.2, ⑥⑥, 7, 5,Ｉモンテクリスエス, 88,柴田善, 0.6, 88,  11,  25, 6, 16.3,⑤⑤⑤
 8, 4,Ｈギンザアパッチ, 42,北村宏, 1.1, 54, -24,  13, 8, 38.9, ⑩⑩, 8,11, ゴｰトゥザミラノ,---,勝浦正, 2.6, 49, -11,  -3,11, 80.1, ⑬⑬, 8,12,Ａツクバタイヨウ, 78,内田博, 0.8, 70,  -3,   9, 2,  3.3, ⑨⑨, 8, 4,Ａハイアｰゲｰム, 98,田中勝, 0.7, 85,* 13,  16, 9, 24.6,③③③
 9, 7,Ｊリｰサムカイト, 39,勝浦正, 1.1, 55, -24,  13,12,153.9, ⑪⑪, 9, 3, ギャンビット,---,鷹野宏, 2.8, 46,  -8,  -9,12,110.5, ⑫⑫, 9, 3,Ｊベイビｰロｰズ, 65,吉田豊, 0.9, 67,  -1,   6,10, 36.6, ④④, 9, 7,Ｈトｰホウアラン, 88,鮫島良, 0.8, 88,   9,  26, 8, 22.1,⑦⑧⑨
10, 2,Ｉカシノカルミア, 41,鮫島良, 1.1, 55, -22,  11, 9, 93.1, ⑧⑧,10,13, インタｰラｰケン,---,北村宏, 3.0, 45, -14,  -4, 6, 32.7, ⑭⑭,10, 7,Ｅクラッカｰジャック, 71,三浦皇, 1.0, 67,  -3,   8,11, 38.6, ⑧⑧,10,12,Ｅトウショウウェイヴ, 91,吉田豊, 1.0, 86,   9,  25, 3,  7.8,⑭⑬⑫
11, 8,Ｌリスキｰタイム, 27,スミヨ, 1.2, 51, -19,   5, 7, 35.1, ⑥⑥,11, 8, アメリゴ,---,池添謙, 3.0, 46,  -2, -17, 8, 48.1, ②②,11, 8,Ｉエイダイハリケｰン, 66,蛯名正, 1.1, 67,  -5,  10,12, 64.4, ⑪⑪,11, 1,Ｃダンスアジョイ, 94,角田晃, 1.2, 88,   7,  30,12, 45.8,⑱⑱⑱
12, 9,Ｇタイキデイブレイク, 44,菊沢隆, 1.4, 48, -20,   4,11,126.9, ⑦⑦,12,14, ホッカイアラカティ,---,三浦皇, 3.2, 44,  -5, -15, 7, 41.5, ⑨⑨,12, 2,Ｎロｰドクリムゾン, 63,伊藤工, 1.7, 61,  -5,   5,13, 89.6, ⑫⑫,12, 9,Ｄスマｰトギア, 93,内田博, 1.2, 82,  11,  17, 2,  4.1,⑧⑦⑦
13,13,Ｋスズノベティ, 33,郷原洋, 2.7, 33, -24,  -7,13,525.4, ⑫⑫,13,16, ハロｰハピネス,---,吉田豊, 4.3, 36, -13, -15,13,130.6, ⑮⑮,13,15, セトウチモモタロｰ,---,勝浦正, 2.1, 59,  -6,   1,14,128.6, ⑬⑬,13,11,Ｎエアジパング, 85,池添謙, 1.2, 83,  11,  17,16, 54.2,⑥⑥⑥
,,,,,,,,,,,,14, 4, サｰストンムｰン,---,角田晃, 5.1, 30,  -8, -29,15,184.5, ⑩⑪,14, 9,Ｋレオパレｰド, 65,ルメｰ, 2.2, 55,  -1,  -5, 5, 20.4, ⑤⑤,14,16,Ｒヴィｰヴァヴォドカ, 73,後藤浩, 1.2, 80,* 13,   9,13, 46.7,④④④
,,,,,,,,,,,,15, 9, レオミラｰジュ,---,吉田隼, 5.8, 24,  -2, -42,14,137.1, ④④,15, 4,Ｍダイショウサンダｰ, 63,加藤士, 3.7, 48,  -7,  -9,16,401.3, ⑭⑮,15,18,Ｆハギノジョイフル, 89,三浦皇, 1.3, 84,   9,  22,14, 50.8,⑬⑭⑭
,,,,,,,,,,,,16, 1, シンボリボルドｰ,---,田中勝, 6.1, 22, -23, -18,10, 62.2, ⑯⑯,16, 6,Ｏスルｰザグリｰン, 56,南田雅, 3.8, 47,  -8,  -9,15,389.9, ⑯⑯,16, 2,Ｑエフティマイア, 80,北村宏, 1.3, 83,  10,  22,18,126.5,⑫⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｊトｰセンキャプテン, 88,ルメｰ, 1.3, 86,   8,  26, 7, 19.3,⑰⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,Ｍブレｰヴハｰト, 85,小野次, 1.5, 82,   9,  18,17,124.0,⑪⑫⑬
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:1),,,,,,,,,,,
単勝:220円 複勝:01=140円 05=320円 10=550円 枠連:720円,,,,,,,,,,,,単勝:200円 複勝:06=110円 05=140円 12=130円 枠連:570円,,,,,,,,,,,,"単勝:2,420円 複勝:13=630円 16=520円 01=170円 枠連:9,720円",,,,,,,,,,,,"単勝:2,510円 複勝:06=920円 08=410円 13=800円 枠連:3,060円",,,,,,,,,,,
"馬連:870円 ワイド:01-05=340円 01-10=740円 05-10=1,390円",,,,,,,,,,,,馬連:570円 ワイド:05-06=230円 06-12=190円 05-12=310円,,,,,,,,,,,,"馬連:24,160円 ワイド:13-16=6,600円 01-13=1,860円 01-16=1,030円",,,,,,,,,,,,"馬連:13,520円 ワイド:06-08=4,690円 06-13=7,410円 08-13=4,460円",,,,,,,,,,,
