09年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬連:66,380円 ワイド:01-12=23,670円 01-02=3,600円 02-12=38,290円",,,,,,,,,,,,"馬連:12,220円 ワイド:07-08=3,460円 08-11=1,690円 07-11=910円",,,,,,,,,,,,"馬連:1,750円 ワイド:01-02=290円 02-03=190円 01-03=130円",,,,,,,,,,,,"馬連:670円 ワイド:03-04=270円 04-07=360円 03-07=1,090円",,,,,,,,,,,
"馬単:115,340円 3連複:523,890円 3連単:3,039,000円",,,,,,,,,,,,"馬単:29,230円 3連複:21,000円 3連単:165,060円",,,,,,,,,,,,"馬単:4,750円 3連複:340円 3連単:6,270円",,,,,,,,,,,,"馬単:810円 3連複:1,750円 3連単:4,860円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,京橋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, ペガサスファイト,,熊沢重,,,,, 2,  3.7,④③②, 1, 9,Ａミルフィアタッチ, 69,佐藤哲,, 66,   5,* -2, 1,  1.6,④③④, 1, 9,Ｆアグネススタｰチ, 74,赤木高,, 83,*  7,* 10, 3,  4.7,①①①, 1, 3,Ｇカシノブレイヴリ, 75,松山弘,, 79,*  8,   6, 9, 61.0,①①①
 2,11, マイサンシャイン,,植野貴,199.8,,,, 6, 13.7,⑤⑤④, 2,12,Ｂレッドファング, 65,岩田康, 0.2, 66,   4,* -4, 2,  2.7,⑤⑤③, 2, 4,Ａフィニステｰル, 85,岩田康, 0.9, 74,   3,   4, 1,  2.5,④④③, 2,15,Ｂサンデｰヒストリｰ, 78,鮫島良, 0.0, 80,*  9,   7, 1,  1.5,④④③
 3, 4, ファンドリゲット,,出津孝,200.1,,,, 3,  5.9,②①①, 3, 1,Ｄヤマイチコマンド, 61,佐久間, 0.3, 65,*  6,  -8, 6, 32.3,①①①, 3, 8,Ｅカネトシソレイユ, 75,岡部誠, 0.9, 77,   2,* 10, 6, 16.9,⑧⑧⑧, 3, 6,Ａトｰセンスタｰン, 81,岩田康, 0.2, 80,   6,* 13, 3,  7.1,⑬⑬⑩
 4, 9, メイショウセレット,,菊地昇,201.0,,,, 4, 12.9,⑥⑥⑥, 4, 6,Ｅデアモント, 56,吉田稔, 0.9, 61,   4,  -8, 4, 17.4,⑥⑦⑦, 4,11,Ｋシゲルエスペレ, 63,小牧太, 1.1, 76,  -1,* 11, 9, 34.9,⑨⑨⑨, 4, 9,Ｃピエナエイム, 77,川田将, 0.3, 78,   8,   7, 7, 23.7,⑧⑥④
 9, 1, メルシｰモンサン,,高野容,201.6,,,, 5, 13.1,⑦⑦⑦, 5,10,Ｃアウラスタｰ, 62,岡部誠, 0.9, 61,   3,  -6, 7, 59.5,⑫⑧⑥, 5, 7,Ｇライオングラス, 74,川田将, 1.2, 73,   3,   2, 7, 24.4,⑤⑤⑦, 5, 7,Ｈホワイトショウフク, 74,小牧太, 0.6, 78,   4,* 12, 5, 19.3,⑮⑭⑬
