09年 2月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
14, 5,Ｐカシノノｰマｰシｰ, 41,二本柳, 1.5, 42, -12,  -6,18,385.0, ⑭⑭,14,14,Ｏホクセツエコｰ, 61,荻野琢, 2.1, 54,*  7, -13,13,145.3,①①①,14,13,Ｎイｰグルホｰラｰ, 54,飯田祐, 5.4, 37,   3, -33,14,170.1,⑤⑪⑭,14,11,Ｋシルクヒｰロｰ, 81,二本柳, 1.3, 79,  -1,* 22,16,104.7,⑯⑯⑯
15,17,Ｏマイアイホルス, 44,田辺裕, 1.6, 40, -13,  -7,14,155.2, ⑮⑮,15,13,Ａテイエムクロカミ, 77,浜中俊, 2.4, 52,   2,  -9, 2,  4.1,⑭⑧⑩,,,,,,,,,,,,,15, 8,Ｅナムラスピｰド, 84,藤岡康, 1.4, 75,   5,  11, 3,  5.9,⑩⑩⑫
16, 7,Ｑマルマツビュｰティ, 37,宮崎北, 1.6, 39,  -2, -18,15,177.1, ④⑤,16,12,Ｍハッピｰドロップ, 63,佐藤哲, 2.7, 50,   2,  -9, 6, 19.3,⑨⑩⑨,,,,,,,,,,,,,16,14,Ｈフォグキャスケｰド, 83,田中健, 2.5, 69,   4,   4,15, 83.1,⑪⑬⑮
17, 3,Ｉマレンゴ, 50,佐藤哲, 1.6, 40,  -5, -15, 8, 37.4, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 6,Ｍシゲルエナサン, 45,田中健, 1.7, 38, -28,*  5,17,360.2, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,
単勝:860円 複勝:02=190円 12=110円 09=430円 枠連:540円,,,,,,,,,,,,"単勝:250円 複勝:04=120円 02=400円 16=170円 枠連:2,010円",,,,,,,,,,,,単勝:280円 複勝:07=120円 14=160円 10=200円 枠連:480円,,,,,,,,,,,,"単勝:420円 複勝:10=160円 06=430円 05=830円 枠連:3,020円",,,,,,,,,,,
"馬連:520円 ワイド:02-12=300円 02-09=1,760円 09-12=740円",,,,,,,,,,,,"馬連:2,340円 ワイド:02-04=650円 04-16=280円 02-16=1,430円",,,,,,,,,,,,馬連:620円 ワイド:07-14=240円 07-10=340円 10-14=620円,,,,,,,,,,,,"馬連:5,330円 ワイド:06-10=1,900円 05-10=3,210円 05-06=8,260円",,,,,,,,,,,
"馬単:2,160円 3連複:3,380円 3連単:20,930円",,,,,,,,,,,,"馬単:3,390円 3連複:3,740円 3連単:19,250円",,,,,,,,,,,,"馬単:1,100円 3連複:1,360円 3連単:5,500円",,,,,,,,,,,,"馬単:8,430円 3連複:57,840円 3連単:303,180円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 9R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■12R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
