09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1400m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,初夢ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,15,Ｅマスタｰチアフル, 54,飯田祐, 1.2, 56,   2,  -4, 5, 26.4, ④④, 7,13,Ｉメイショウアンカｰ, 46,幸英明, 0.8, 50, -19,  -5,10,141.1, ⑪⑪, 7, 1,Ｄホｰマンラフィット, 78,金折知, 1.0, 74,   1,  16, 8, 40.8,⑩⑩⑨, 7,10,Ａアドマイヤスバル, 96,川田将, 0.7, 83,  15,   0, 4,  9.3, ⑦⑧
 8,12,Ｍプレストスペル, 43,田村太, 1.3, 54,  -3,  -1,16,403.2, ⑦⑧, 8,15,Ｃホッコｰセルベッサ, 63,飯田祐, 0.8, 56, -24,*  7,11,157.1, ⑮⑮, 8, 5,Ｉオｰスミマコ, 74,和田竜, 1.2, 72,   1,  14, 9, 52.4,⑪⑪⑩, 8, 3,Ｍヤマニンエマイユ, 85,田中勝, 0.7, 86,   9,  11,13, 56.8, ⑬⑭
 9, 9,Ｊワイドヒリュウ, 50,田中克, 1.3, 55,  -9,   6, 9,122.5, ⑮⑫, 9,12,Ｎリｰニッドスタｰ, 38,武英智, 0.9, 51, -19,  -2,15,515.9, ⑫⑫, 9,12,Ｈシゲルアラムシャ, 74,田村太, 1.3, 70,   1,  12,12,203.4,⑤⑧⑦, 9, 7,Ｅショウナンアルバ, 90,武豊  , 0.7, 84,  16,  -1, 5,  9.6, ⑤⑤
10, 5,Ｃトキノヤマトボシ, 63,藤田伸, 1.9, 49,  -7,  -1, 4, 12.3, ⑩⑪,10,10,Ｅジャコスキｰ, 58,藤田伸, 1.0, 40,*-14, -19, 3,  7.9, ②②,10, 6,Ｇセンタｰザゴｰルド, 76,藤田伸, 1.5, 67,*  3,   7, 7, 19.7,⑨⑥⑤,10,14,Ｋホッコｰソレソレｰ, 86,渡辺薫, 0.7, 85,   9,  11,15, 87.5, ⑮⑮
11, 4,Ｎハッピｰトｰク, 41,柴原央, 2.2, 47,  -8,  -3,11,176.1, ⑫⑬,11, 2,Ｌエｰシンウィンマン, 41,武幸四, 1.1, 50, -22,  -3,12,165.6, ⑭⑭,11, 2,Ｆウィッシュビｰワン, 76,田中勝, 2.8, 59,   2,  -1, 5, 10.5,⑥⑨⑫,11, 6,Ｆシンボリグラン, 89,藤岡佑, 0.9, 80,* 19, -10,11, 40.6, ②②
12, 2,Ｈサチノユニヴァｰス, 50,石橋守, 2.7, 44,  -9,  -6,13,188.5, ⑬⑭,12, 9,Ｍセトステイ, 39,和田竜, 1.2, 44, -18, -11,14,240.2, ⑧⑨,12, 9,Ｋキングオブウィナｰ, 68,福永祐, 5.2, 44,   3, -23,10, 69.0,④⑤⑪,12,15,Ｏエｰシンフォワｰド, 80,秋山真, 0.9, 83,  18,  -5,12, 51.1, ④④
13,16,Ｏマルタカデピュティ, 36,橋本美, 3.1, 39, -16,  -4,10,122.6, ⑯⑯,13, 3,Ｄロングプレジデント, 62,渡辺薫, 1.2, 40,*-15, -19, 7, 33.4, ③③,,,,,,,,,,,,,13, 4,Ｎコンゴウリキシオｰ, 84,藤田伸, 1.2, 77,* 22, -17, 9, 27.6, ①①
14,13,Ｉホワイトスパｰク, 50,太宰啓, 3.2, 36,  -5, -15,12,186.9, ⑨⑩,14, 7,Ｋヒシジェントリｰ, 43,小牧太, 1.4, 41, -19, -13, 8, 69.5, ⑩⑩,,,,,,,,,,,,,14, 9,Ｌシゲルフセルト, 86,和田竜, 1.4, 76,  15,  -9, 8, 22.4, ⑥⑦
15, 8,Ｐジツリキイチバン, 33,大江原, 3.3, 36,  -1, -20,15,237.9, ⑤⑦,15, 8,Ｏクイｰンマルサ, 38,上村洋, 3.9,  7, -16, -55,13,187.0, ⑥⑥,,,,,,,,,,,,,15,16,Ｐヴィクトリｰ, 75,浜中俊, 2.3, 69,  11, -15,10, 35.1, ⑫⑬
16, 6,Ｆマコトバンクウ, 53,上村洋, 4.0, 31, -10, -17, 8,100.2, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｇブライトトゥモロｰ, 88,後藤浩, 2.7, 61,  13, -24,14, 75.0, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,
