09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,内外ﾀｲﾑｽ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,11,Ｄジャンジャン, 53,柴田大, 2.5, 49, -17,   8,10,194.3,⑪⑪⑩, 7, 6,Ａカフェアラジン, 68,柴田善, 1.5, 53,* -1, -15, 4,  7.7,④④④, 7, 9,Ｅティアップアライブ, 73,横山典, 0.6, 68,  -1,   0, 8, 22.2,⑨⑨⑪, 7, 4,Ｈスウィフトカレント, 83,田中勝, 0.9, 89,   5,  14, 8, 60.1,⑥⑥⑦
 8, 6,Ｈテイエムクロヒョｰ, 43,武士沢, 3.2, 43, -17,   3,11,256.9,⑩⑨⑨, 8, 4,Ｏロｰレルリラ, 31,丸山元, 1.6, 52,  -6,  -8,13,207.6,⑨⑨⑪, 8,15,Ｌステラポラリス, 64,江田照, 0.7, 66,*  0,  -7,15,287.9,①①①, 8, 1,Ｉトップガンジョｰ, 77,柴山雄, 1.1, 84,   6,   8, 9, 69.8,④④⑤
 9, 8,Ｋテラモマルゼン, 40,柴田善, 3.9, 38, -14,  -8, 7, 65.5,⑤⑥⑥, 9,14,Ｃスマイルトゥゲザｰ, 61,吉田豊, 1.7, 52,  -3, -12, 2,  4.2,⑥⑦⑦, 9, 7,Ｂエイシンフレンチ, 77,吉田豊, 0.7, 70,  -2,   1, 3,  4.8,⑫⑬⑬, 9, 8,Ｅトウショウシロッコ, 88,吉田豊, 1.1, 85,   5,  11, 6,  9.0,⑧⑦⑥
10,12,Ｊガリレオシチｰ, 42,大庭和, 4.2, 37, -20,   0, 9,162.7,⑫⑫⑫,10,11,Ｅレオタイムリｰ, 55,大野拓, 1.8, 49,  -3, -15, 8, 49.3,⑧⑥⑥,10,16,Ｋマイネルブリアｰ, 65,柴田善, 0.8, 66,  -1,  -6, 6, 18.5,⑥⑦⑤,10, 9,Ｊドリｰミｰオペラ, 73,蛯名正, 2.0, 77,   3,   5,10, 75.9,⑨⑩⑩
11, 3,Ｇラッセラｰ, 44,池崎祐, 4.5, 34, -15, -12,12,384.2,⑥⑦⑦,11, 2,Ｍオンワｰドラフィネ, 37,武士沢, 1.9, 49,  -6, -12,12,185.1,⑪⑩⑩,11,12,Ｈナムラビスマルク, 70,柴山雄, 0.9, 69,  -3,   1,12,136.5,⑭⑭⑭,,,,,,,,,,,,
12, 9,Ｆコナンビクトリｰ, 45,小野次, 4.6, 33, -17,  -8, 6, 50.1,⑨⑩⑪,12, 8,Ｈスタｰリットラヴ, 51,柴山雄, 2.2, 47, -10,  -7, 6, 17.6,⑩⑮⑮,12,13,Ｇコスモタクミ, 70,大野拓, 1.1, 63,  -1,  -7,13,145.3,⑧⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,13,13,Ｌハｰトオブウインク, 48,南田雅, 2.5, 45,  -7, -15,15,410.7,⑫⑬⑭,13, 3,Ｄエイデンダンス, 76,吉田隼, 1.2, 66,  -5,   0, 9, 33.8,⑯⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,14,16,Ｐマキシムカラス,  6,石橋脩, 3.4, 34,  -6, -31,16,503.5,⑯⑫⑫,14,10,Ｊミヤコノカｰン, 68,木幡初, 1.4, 61,  -1, -11,11, 54.6,⑬⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,15,12,Ｊオリオンザブルｰ, 49,勝浦正, 3.8, 30,  -3, -42,11, 94.5,⑤⑧⑧,15, 4,Ｎタケショウダンデｰ, 56,伊藤工, 2.0, 59,  -6,  -6,16,413.3,⑮⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,16,10,Ｎミカミラクル, 34,小野次, 4.9, 20, -14, -39,14,367.6,⑮⑯⑯,16, 5,Ｏレッドルンバ, 52,川田将, 2.3, 51,*  1, -29,14,156.9,③③⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:92 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:7),,,,,,,,,,,
