09年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 9, レディブルｰム,---,国分恭, 0.8, 52, -14,   2, 5, 10.7, ⑩⑩, 8, 9,Ｂインバラトゥｰラ, 62,飯田祐, 2.5, 52,  -5,  -5, 5, 22.5,⑧⑧⑧, 8, 8,Ｂゲイリｰライアン, 73,武豊  , 2.4, 43, -12, -10, 4, 10.2,①④④, 8, 6,Ｌビッグロｰズ, 62,太宰啓, 1.9, 66,   5,  -2,10, 55.2,⑩⑪⑩
 9,14,Ａヴォｰグ, 64,浜中俊, 0.8, 55,   1,  -8, 3,  5.9, ⑤⑦, 9, 8,Ｆゴｰルドピアｰス, 57,柄崎将, 2.6, 51,  -7,  -3,10,201.3,⑩⑩⑩,,,,,,,,,,,,, 9, 2,Ｏクリノソｰニャ, 54,福永祐, 1.9, 65,*  8,  -7,11, 57.0,⑤④③
10, 1,Ｇエリモリｰガル, 38,熊沢重, 1.1, 48, -27,*  8, 9, 40.1, ⑭⑬,10,10,Ｉシゲルマヤサン, 49,国分恭, 2.9, 47,  -6,  -9, 9,153.7,⑤⑦⑨,,,,,,,,,,,,,10, 1,Ｆオｰスミマコ, 73,和田竜, 2.1, 64,*  7,  -8, 6, 15.9,④③⑥
11, 7, メイショウストルケ,---,高野容, 1.3, 47, -22,*  3,10,113.0, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,11, 4,Ｄテイエムセッペトベ, 75,田嶋翔, 2.2, 64,   4,  -3, 5, 15.4,⑪⑬⑫
12, 2,Ｆメモリｰバンダ, 42,太宰啓, 2.1, 41,  -2, -18, 4,  9.6, ⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,,12,10,Ｍマコトエレンシア, 60,幸英明, 3.0, 55,*  8, -18, 8, 25.5,①①②
13, 4, ホクザンフリｰダム,---,野元昭, 3.0, 29, -24, -11,12,135.2, ⑬⑪,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｋアヤナベル, 63,安藤光, 3.3, 54,   5, -14,13, 89.3,⑦⑨⑭
14,12, スナｰクアカデミｰ,---,高橋亮, 3.0, 29, -23, -12,14,280.6, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｈラフアップ, 68,中村将, 3.7, 52,   2, -12,14,115.2,⑮⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｊマルノリｰサ, 63,大下智, 4.7, 46,   7, -29,12, 76.4,②⑥⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,450円 複勝:08=320円 10=620円 13=170円 枠連:3,810円",,,,,,,,,,,,単勝:130円 複勝:05=110円 06=190円 02=730円 枠連:320円,,,,,,,,,,,,単勝:160円 複勝:04=110円 02=140円 07=190円 枠連:0円,,,,,,,,,,,,"単勝:330円 複勝:14=140円 15=230円 05=150円 枠連:1,520円",,,,,,,,,,,
"馬連:12,030円 ワイド:08-10=2,320円 08-13=820円 10-13=2,040円",,,,,,,,,,,,"馬連:380円 ワイド:05-06=200円 02-05=780円 02-06=2,060円",,,,,,,,,,,,馬連:270円 ワイド:02-04=140円 04-07=220円 02-07=430円,,,,,,,,,,,,"馬連:1,650円 ワイド:14-15=580円 05-14=220円 05-15=690円",,,,,,,,,,,
"馬単:21,250円 3連複:12,540円 3連単:115,350円",,,,,,,,,,,,"馬単:460円 3連複:3,260円 3連単:6,460円",,,,,,,,,,,,"馬単:390円 3連複:550円 3連単:1,320円",,,,,,,,,,,,"馬単:2,610円 3連複:1,750円 3連単:10,830円",,,,,,,,,,,
