09年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,朝日ﾁｬﾚﾝｼﾞｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,10,Ａタケカジョウオｰ, 66,浜中俊, 0.8, 63,   1,  -8, 1,  1.6, ⑦⑨, 7, 6,Ｆサンダｰセブン, 49,藤岡康, 2.9, 48,   0, -19, 5, 32.5,④③③, 7, 1,Ｆケンブリッジエル, 71,岩田康, 2.0, 55,  -4, -12, 5, 28.5, ④⑤, 7, 1,Ｊヤマニンファンシｰ, 64,藤岡康, 0.9, 61,   3, -12, 8, 27.7, ④④
 8, 5,Ｂナナイロカメン, 60,太宰啓, 1.0, 59,   2, -14, 5, 16.2, ④③, 8, 3,Ｈオｰミリュミエｰル, 34,小坂忠, 3.6, 43,  -4, -18, 8,226.0,⑦⑧⑧, 8, 6,Ｈエｰシンビッグシｰ, 42,川田将, 2.0, 54,*  2, -22, 8, 88.9, ①①, 8, 6,Ｋドリｰムロｰズ, 62,川田将, 0.9, 59,  -4,  -1, 6, 17.6, ⑫⑬
 9, 2,Ｅシｰガｰディアン, 56,熊沢重, 1.3, 55,  -1, -13, 7, 37.4, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,, 9,12,Ｇパラダイスイズヒア, 66,浜中俊, 1.2, 58,*  5, -17, 9, 36.6, ③③
10, 9,Ｉネオランジュ, 47,池添謙, 1.4, 56,   3, -22, 9, 45.2, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,10, 2,Ｉタニノスバル, 66,藤岡佑, 1.3, 57,*  6, -21, 2,  5.4, ①①
11, 4,Ｋシェムリアップ, 34,岩田康, 3.4, 34,*  5, -53, 8, 42.8, ①①,,,,,,,,,,,,,,,,,,,,,,,,,11,11,Ｍホクザンヴィアンド, 55,石橋守, 1.5, 55,   1, -15,15,241.5, ⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,Ｌカンファｰピュア, 57,幸英明, 1.9, 50,   2, -23,14,165.0, ⑦⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 8,Ｈユｰセイヤマトオｰ, 66,和田竜, 1.9, 47,  -6, -13,11, 55.7, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｏブライティアパｰル, 54,渡辺薫, 2.2, 46,   0, -23,13,135.1, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｎサイレントビｰト, 54,橋本美, 2.9, 39,   3, -36,12,113.5, ⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-2),,,,,,,,,,,
"単勝:440円 複勝:06=270円 08=500円 07=860円 枠連:1,450円",,,,,,,,,,,,単勝:690円 複勝:04=120円 02=100円 05=100円 枠連:0円,,,,,,,,,,,,単勝:180円 複勝:02=110円 04=110円 07=140円 枠連:0円,,,,,,,,,,,,"単勝:1,740円 複勝:05=240円 10=180円 03=120円 枠連:4,500円",,,,,,,,,,,
"馬連:2,170円 ワイド:06-08=620円 06-07=1,120円 07-08=2,440円",,,,,,,,,,,,"馬連:1,170円 ワイド:02-04=150円 04-05=140円 02-05=110円",,,,,,,,,,,,馬連:170円 ワイド:02-04=120円 02-07=190円 04-07=240円,,,,,,,,,,,,"馬連:4,830円 ワイド:05-10=1,170円 03-05=590円 03-10=300円",,,,,,,,,,,
"馬単:3,680円 3連複:10,650円 3連単:40,460円",,,,,,,,,,,,"馬単:2,650円 3連複:180円 3連単:4,000円",,,,,,,,,,,,馬単:270円 3連複:320円 3連単:740円,,,,,,,,,,,,"馬単:9,420円 3連複:2,710円 3連単:34,830円",,,,,,,,,,,
