09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,山国川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 2,Ｄヤマカツゴｰルド, 59,松山弘, 1.1, 44, -17,  -7, 4,  8.6, ⑭⑮, 8,16,Ｌフジファレノプシス, 65,小島太, 1.4, 61,   7, -10,11, 99.8,⑧⑦⑤, 8, 3,Ｋマコトヴェロニカ, 60,西田雄, 0.8, 61, -14,   7,14,143.2, ⑫⑪, 8, 8,Ｏコンゴウリュウオｰ, 63,太宰啓, 0.5, 70,  -2,   5, 6, 11.8, ⑤⑥
 9,11,Ｂハｰトランドフェロ, 60,丸田恭, 1.2, 41, -16, -10, 8, 63.2, ⑪⑪, 9,13,Ｉストロングジョイス, 66,二本柳, 1.7, 60,   6, -10,16,139.8,⑩⑫⑭, 9,11,Ｍハギノアスラン, 60,鮫島良, 0.8, 62, -19,  11,12, 61.6, ⑰⑯, 9,17,Ａニュｰホｰプ, 78,赤木高, 0.6, 70, -17,* 20, 4,  8.9, ⑱⑰
10,14,Ｏハリウッドナニｰ, 37,中村将, 1.2, 43, -24,  -2,17,452.2, ⑰⑰,10, 2,Ｋレインボｰアｰチ, 65,田中博, 2.0, 58,   2,  -6, 9, 55.5,⑯⑯⑮,10,16,Ｐシュウザンゴｰルド, 56,菊沢隆, 0.9, 58,  -9,   0,13, 91.2, ④⑨,10, 2,Ｌレイクエルフ, 69,岩部純, 0.6, 71, -17,* 20, 7, 15.9, ⑰⑯
11, 9,Ｎエンクｰ, 39,赤木高, 1.2, 42,*-11, -15,13,198.3, ④④,11, 9,Ｎリバｰキャッスル, 61,荻野琢, 2.1, 57,   5, -14,10, 60.4,⑨⑪⑧,11, 6,Ｆダイメイザバリヤル, 67,赤木高, 1.1, 56, -16,   5, 4,  9.3, ⑬⑫,11, 9,Ｆフラワｰタキシｰド, 72,松田大, 0.6, 68,  -5,   8, 9, 17.1, ⑧⑦
12,17,Ｑプラチナムブルｰ, 30,田中博, 1.3, 43, -30,*  2,18,550.0, ⑱⑱,12,12,Ｈルビウス, 66,中舘英, 2.4, 53,   7, -20, 4,  9.9,⑥⑥⑥,12,13,Ｉライフロングラバｰ, 65,長谷川, 1.2, 55, -16,   3, 8, 16.0, ⑮⑰,12,13,Ｐシゲルハスラット, 63,安藤光, 0.6, 68,  -8,  11,17, 68.6, ⑨⑫
13,18,Ｒランテイジョ, 25,宮崎北, 1.4, 40, -16, -12,11,111.9, ⑬⑬,13, 6,Ｂクリノスペシャル, 76,丸田恭, 2.5, 52,   3, -15, 6, 12.5,⑭⑮⑯,13, 1,Ｌカシマゼロワン, 60,宮崎北, 1.3, 54, -12,  -2,15,143.8, ⑦④,13, 1,Ｑマザｰズウィッシュ, 59,中舘英, 0.7, 68,*  0,   2,11, 29.1, ②③
14,13,Ｋミカエフェクト, 46,岩部純, 1.4, 41, -18,  -9,15,318.7, ⑮⑯,14,11,Ｍシャインジュエリｰ, 62,長谷川, 3.0, 53,*  9, -27,15,129.2,①①④,14,12,Ｊトシザコジｰン, 62,中舘英, 1.4, 53, -16,   0, 7, 15.7, ⑭⑭,14, 7,Ｍメラトニン, 68,川島信, 0.9, 65,*  1,  -2,10, 22.9, ③②
15,15,Ｊアグネスジェｰド, 46,川島信, 1.5, 40, -18, -11,10, 95.7, ⑯⑫,15, 7,Ｆヨイチイｰスト, 67,梶晃啓, 3.2, 48,   7, -27,14,114.6,③⑤⑬,15, 2,Ｑウォｰタｰギブン, 56,高橋亮, 1.6, 49, -12,  -6,17,290.5, ⑧⑤,15,18,Ｇオレンジシュプｰル, 72,鮫島良, 1.0, 63,  -9,   7, 3,  8.0, ⑪⑭
16, 3,Ｐウィンディアン, 30,田中健, 1.6, 37, -16, -15,16,325.0, ⑩⑭,16, 5,Ｏホクセツエコｰ, 56,田中健, 4.3, 43,*  8, -36,13,110.6,②④⑫,16,17,Ｏナスザン, 58,田中博, 1.7, 49,* -8, -11,11, 36.4, ③⑧,16,16,Ｃフジヤマロマン, 73,荻野琢, 1.1, 61,  -2,  -2,15, 56.4, ⑥⑤
17, 8,Ｌシルクパサｰジュ, 46,北村友, 2.0, 32,* -9, -26,12,114.8, ②③,,,,,,,,,,,,,17,18,Ｄオンワｰドカルマ, 67,的場勇, 2.0, 42, -13, -10,16,252.4, ⑪⑮,17,14,Ｄサウスサプライズ, 73,宮崎北, 1.2, 60,  -3,  -2,14, 37.4, ⑦⑪
