09年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9,11,Ｏケンブリッジナイト, 41,太宰啓, 2.0, 46, -16,  -2,10,112.3, ⑭⑬, 9, 5,Ｊカネトシポインタｰ, 53,国分恭, 1.5, 55, -11,*  3, 9,100.8, ⑮⑭,,,,,,,,,,,,, 9,13,Ｌジョウショｰアロｰ, 56,安藤光, 1.0, 65,  -3,  -4,10, 83.2, ⑥⑥
10, 2,Ｋデンコウヨシキ, 44,中村将, 2.1, 45, -13,  -6, 7, 37.3, ⑩⑦,10,12,Ｉメイショウソウコウ, 53,幸英明, 2.0, 49,  -5,  -9,13,249.4, ⑩⑧,,,,,,,,,,,,,10, 3,Ｋツカサラッキｰ, 60,酒井学, 1.3, 61,* -1, -11,12,195.1, ②②
11,16,Ｃサンライズゴｰルド, 49,大下智, 2.2, 44, -15,  -6, 4, 24.7, ⑫⑩,11,16,Ｎメイショウマムｰト, 33,田中健, 2.2, 51, -13,   0, 8, 87.8, ⑯⑯,,,,,,,,,,,,,11, 4,Ｂナムラフュｰチャｰ, 72,幸英明, 1.3, 61,* -1, -12, 2,  6.4, ③③
12,13,Ｌインペリオｰソ, 44,小林慎, 2.3, 43, -20,  -1, 5, 25.7, ⑮⑮,12, 2,Ｏサンレイクエスト, 27,難波剛, 2.7, 44,  -8, -12,15,279.1, ⑭⑬,,,,,,,,,,,,,12, 2,Ｇキシュウグラシア, 64,角田晃, 1.4, 59,*  0, -15, 3,  7.7, ①①
13, 6,Ｄランドエクスプレス, 48,黒岩悠, 2.4, 45, -15,  -4,15,262.9, ⑪⑫,13, 1, ツルマルダイヤ,---,小林慎, 2.9, 42,  -6, -16,14,263.8, ⑨⑩,,,,,,,,,,,,,13,11,Ｎエイユｰルｰジュ, 53,野元昭, 4.2, 34, -15, -24,13,332.2, ⑬⑬
14, 1,Ｍスズカアパッシュ, 43,佐藤哲, 2.5, 42, -14,  -8,14,228.7, ⑨⑪,14, 6,Ｋチョウゴｰルド, 47,太宰啓, 3.0, 42,  -8, -14,12,228.9, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｎオリオンザクエスト, 41,国分恭, 2.9, 38, -15, -12, 9, 73.0, ⑧⑨,15,11,Ｌダグラスバロｰズ, 40,福永祐, 3.4, 39,  -5, -22,11,139.5, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｐスピｰドジャンボ, 26,和田竜, 3.4, 34, -27,  -4,12,154.2, ⑯⑯,16, 3,Ｍアウト, 34,高橋亮, 3.4, 39,  -9, -17,16,291.3, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,
単勝:240円 複勝:03=110円 09=160円 15=110円 枠連:780円,,,,,,,,,,,,単勝:130円 複勝:10=110円 14=160円 15=220円 枠連:290円,,,,,,,,,,,,単勝:190円 複勝:08=110円 02=110円 01=130円 枠連:340円,,,,,,,,,,,,単勝:160円 複勝:07=110円 09=560円 12=240円 枠連:780円,,,,,,,,,,,
"馬連:1,130円 ワイド:03-09=280円 03-15=130円 09-15=300円",,,,,,,,,,,,馬連:320円 ワイド:10-14=150円 10-15=260円 14-15=610円,,,,,,,,,,,,馬連:340円 ワイド:02-08=160円 01-08=180円 01-02=190円,,,,,,,,,,,,"馬連:2,240円 ワイド:07-09=750円 07-12=340円 09-12=2,530円",,,,,,,,,,,
"馬単:1,760円 3連複:500円 3連単:4,260円",,,,,,,,,,,,"馬単:390円 3連複:910円 3連単:1,750円",,,,,,,,,,,,"馬単:530円 3連複:350円 3連単:1,090円",,,,,,,,,,,,"馬単:2,980円 3連複:4,060円 3連単:15,820円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,出石特別,,,,,,,,,,,,,,,,,,,,,,
