09年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-18,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, トウカイポリシｰ,,北沢伸,,,,, 2,  7.8,⑥⑤⑤, 1, 2,Ｆワンダｰスル, 58,野元昭,, 69,*  2,*  7, 7, 19.9,⑪⑤④, 1, 1,Ｇキングバンブｰ, 79,藤岡康,, 82,   6,* 16, 4,  7.9,⑫⑪⑩, 1,10,Ｈメイショウタカチホ, 64,田中克,, 71,*  0,*  6, 8, 21.6, ②②
 2, 7, ワンダｰルストラｰ,,林満明,191.9,,,, 5, 30.8,⑤④②, 2, 4,Ｂシャア, 66,太宰啓, 0.0, 70,   1,*  9, 1,  3.1,⑬⑧⑤, 2, 2,Ｂメイショウアサガオ, 81,上村洋, 0.0, 82,   5,* 18, 3,  5.9,⑬⑬⑪, 2, 2,Ｂタマモトワイライト, 74,松山弘, 0.0, 67,*  0,*  6, 5,  7.8, ①①
 3, 2, マッキｰケインズ,,佐久間,193.1,,,, 7, 49.1,④⑥⑥, 3, 7,Ｃタガノバロナｰク, 66,松山弘, 0.4, 62,*  1,   3, 3,  3.7,③③③, 3, 6,Ａチャｰムナデシコ, 85,幸英明, 0.1, 79,   8,  11, 1,  3.5,③⑤⑤, 3, 4,Ｄシゲルスペランツァ, 70,国分恭, 0.2, 67,  -2,*  6, 1,  3.5, ⑤⑤
 4, 1, ニコラシカ,,今村康,193.4,,,, 9, 59.5,②②①, 4,16,Ａヤマイチコマンド, 70,佐久間, 0.5, 65,*  3,   0, 2,  3.7,①①①, 4, 7,Ｃケｰジｰムサシ, 81,野元昭, 0.3, 79,   8,  11, 9, 32.0,⑧⑥⑥, 4, 9,Ｃダイシンサｰベル, 73,金折知, 0.5, 63,  -8,*  7, 3,  5.1, ⑩⑩
 5, 3, カシノダンク,,高野容,193.7,,,, 8, 56.8,⑨⑨⑨, 5,12,Ｋシルクフェイブル, 54,鮫島克, 0.8, 63,*  3,  -3, 5, 13.2,②②②, 5,16,Ｏディアプリンシパル, 71,太宰啓, 0.3, 79,   7,  12,12, 46.2,⑨⑧⑦, 5,13,Ａニチドウダイヤ, 75,田嶋翔, 0.5, 64,  -2,   3, 2,  4.4, ⑥⑥
 6, 9, テイエムミステリｰ,,高井彰,195.3,,,,10,179.7,⑩⑩⑩, 6, 3,Ｊクｰルヴァンクル, 55,国分恭, 1.0, 62,   1,   0, 9, 35.4,⑥⑥⑥, 6, 8,Ｅスプリングサンテ, 80,山口勲, 0.8, 76,   6,   9,11, 42.7,⑪⑩⑨, 6, 7,Ｆスニｰカｰブルｰス, 67,鮫島良, 0.7, 62,  -7,   5, 4,  7.1, ⑧⑧
 7,10, メイショウバキラ,,黒岩悠,195.4,,,, 6, 39.9,⑧⑧⑧, 7, 6,Ｄヒシピラルクｰ, 62,田中克, 1.3, 61,  -2,   0, 8, 26.0,⑫⑩⑨, 7,14,Ｄホｰマンラフィット, 80,金折知, 0.8, 76,   3,  13, 6, 12.7,⑭⑮⑮, 7,14,Ｅファンドリカップ, 70,幸英明, 0.7, 61,  -4,   2, 6, 12.4, ⑦⑦
 8, 8, チャｰルストン,,小坂忠,195.4,,,, 3,  8.1,⑦⑦⑦, 8, 5,Ｅメイショウダイクン, 58,幸英明, 1.8, 55,   0,  -7,10, 41.0,⑩⑦⑧, 8,13,Ｊトップコマチ, 78,和田竜, 0.9, 75,*  9,   2, 5, 11.9,⑤④④, 8, 6,Ｉアサケボｰイ, 63,赤木高, 1.0, 57, -10,   3,13, 89.3, ⑪⑪
 9, 5, マキハタサｰメット,,出津孝,195.5,,,, 4, 21.0,①①③, 9,13,Ｈサインオブブラフ, 56,小坂忠, 1.9, 56,  -3,  -1,16,397.1,⑮⑬⑫, 9, 3,Ｈジョｰモルデュｰ, 79,赤木高, 0.9, 76,   3,  12, 7, 14.3,⑮⑭⑭, 9, 1,Ｋミヤジニキｰタ, 60,太宰啓, 1.1, 58,  -2,  -2, 9, 36.6, ④④
