09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8,11,Ｎサンレイフレンド, 43,渡辺薫, 1.3, 59,*  5, -14, 5, 14.6, ②④, 8, 9, カシノグロｰブ,---,小坂忠, 1.7, 10, -58,  -9,12,136.7, ⑪⑪, 8,14,Ｍミキノクレシェンド, 61,熊沢重, 0.8, 70,  -7,  10,15,157.7, ⑬⑬, 8, 1,Ａコウエイアンズ, 74,田嶋翔, 1.6, 57,   0,  -2, 6, 11.6, ⑧⑧
 9,17,Ｑアクイタニア, 39,鮫島良, 1.5, 53,  -8,  -3, 8, 41.1, ⑭⑪, 9, 5, カシノセバスチャン,---,国分恭, 1.8, 10, -42, -21,11,124.8, ⑨⑩, 9, 4,Ｉリトルビスケット, 64,鮫島良, 0.8, 71,   0,   4, 4, 10.1, ⑦⑥, 9,12,Ｌプリティマリ, 59,渡辺薫, 1.7, 60,   7,  -7,14,189.7, ⑤⑤
10, 3,Ｋトリプルチャンス, 49,飯田祐, 1.7, 50,  -5,  -9,11, 67.5, ⑩⑫,10, 2, アイラインハヤブサ,---,柄崎将, 2.1,  5, -30, -31,10,113.0, ⑤⑨,10,16,Ｎムｰヴ, 61,金折知, 0.8, 71,  -4,   8,17,323.8, ⑫⑫,10,11,Ｂミキノセレナｰデ, 72,幸英明, 1.7, 55,  -5,   2, 3,  6.9, ⑫⑪
11, 5,Ｇサマニレディｰ, 53,荻野要, 1.8, 47, -12,  -4,16,421.5, ⑯⑰,11,13, コウユｰヒｰロｰ,---,安藤光, 2.3,  1,*-25, -39, 7, 37.6, ③⑥,11,12,Ｑユウアｰルシｰ, 55,中村将, 0.8, 71,  -8,* 12,16,322.2, ⑮⑮,11, 6,Ｃテイエムハヤテオｰ, 71,角田晃, 1.8, 56,  -3,  -1, 4,  8.1, ⑪⑩
12,14,Ｆフジノプリンス, 54,柄崎将, 2.1, 44,  -8, -12,15,292.5, ⑬⑭,12, 4, ピカピカジョオｰ,---,福永祐, 4.6,-37, -67, -41, 9, 60.5, ⑫⑫,12, 1,Ｐキングアレキサンダ, 58,石橋守, 0.9, 68,  -9,  10,10, 44.4, ⑭⑭,12, 3,Ｉピエナマックス, 67,小牧太, 2.3, 48,  -8,  -4,11, 44.5, ⑬⑬
13,16,Ｊアラタマデジタル, 49,高井彰, 2.1, 47,   3, -22,18,518.8, ⑤⑥,,,,,,,,,,,,,13, 6,Ｊシロキタカｰニバル, 63,渡辺薫, 1.0, 69,  -3,   4, 7, 26.4, ⑪⑪,13,10,Ｍシャンパンフルｰト, 59,上村洋, 2.3, 51,  -2,  -5,12, 65.7, ⑩⑫
14, 2,Ｐリバｰポンキｰ, 40,熊沢重, 2.1, 46,  -1, -18,14,175.9, ⑧⑧,,,,,,,,,,,,,14,10,Ｋゼットファｰスト, 63,安藤光, 1.1, 66, -13,* 12,14,152.7, ⑰⑯,14, 4, スマｰトパラダイス,---,和田竜, 4.2, 30,  -9, -20,13,166.2, ⑭⑭
15, 4,Ｏアウト, 40,高橋亮, 2.2, 42, -13,  -9,17,460.5, ⑮⑯,,,,,,,,,,,,,15,11,Ａニュｰホｰプ, 73,赤木高, 1.2, 65,  -1,   0, 5, 11.8, ⑧⑨,,,,,,,,,,,,
16,10,Ｄメイショウイｰガｰ, 56,松山弘, 2.3, 41, -23,   0,12,132.0, ⑱⑱,,,,,,,,,,,,,16, 8,Ｏカシノブシドｰ, 59,鈴来直, 2.2, 51, -11,  -4,13,146.6, ⑯⑰,,,,,,,,,,,,
17,15,Ｍアグネスミラｰジュ, 48,福永祐, 2.3, 43,  -4, -18, 7, 22.3, ⑨⑨,,,,,,,,,,,,,17, 7,Ｈメヌエットシチｰ, 64,佐藤哲, 2.3, 50,* 10, -25,12,104.3, ①①,,,,,,,,,,,,
