09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 4,Ｉロングワイズ, 55,安藤光, 1.2, 53,  -2,  -6,10, 87.5, ⑨⑩, 8, 9,Ｊアスカノラムセス, 48,松山弘, 3.1, 54,  -7,  -1,10,110.8,⑩⑪⑪, 8, 9,Ｅシゲルアンビシャス, 74,角田晃, 0.8, 76,   6,   1, 8, 29.5,⑫⑫⑫, 8, 9,Ｂカノヤトップレディ, 74,上村洋, 0.5, 68,  -1,   1, 5, 11.5, ⑪⑩
 9, 9,Ｌダンツクオリティ, 50,松山弘, 1.2, 53,  -5,  -4,11,149.5, ⑭⑮, 9, 5,Ａガイアボルケｰノ, 67,浜中俊, 3.7, 48,* -1, -18, 4,  6.7,④③④, 9, 2,Ｈヒカリアスティル, 69,小牧太, 1.1, 71,*  8, -11, 5, 11.2,②②②, 9, 6,Ｈエリモラフィｰネ, 67,浜中俊, 0.5, 68,   3,  -4,11, 28.4, ⑤⑥
10,11,Ｋトシザナナミ, 50,赤木高, 1.3, 52,  -7,* -2,14,398.4, ⑮⑭,10, 2,Ｉテイエムナイスガイ, 49,田中健, 4.0, 47,  -5, -15,11,123.1,⑧⑦⑦,10, 1,Ｄサムズアップ, 74,鮫島良, 1.3, 70,   7, -11, 4,  8.2,⑦⑦⑤,10,10,Ｇハイフィｰルド, 68,安藤光, 0.7, 66,  -2,   1,13, 52.0, ⑩⑮
11, 1,Ｍサンマルエミネム, 49,野元昭, 1.3, 53,  -3,  -6,15,467.2, ⑪⑫,11,11,Ｋサムシングフォｰ, 36,藤岡康, 6.0, 35,  -4, -32, 8, 85.3,⑤⑥⑧,11, 3,Ｇエｰシングレｰソロ, 70,太宰啓, 1.5, 68,   6, -11,10, 67.7,⑨⑨⑨,11, 7,Ｏブリオｰサ, 57,酒井学, 0.8, 64,  -2,   0,14,147.3, ⑭⑪
12, 7,Ｃドンフェルテ, 65,和田竜, 1.4, 55,   2, -11, 4, 12.1, ⑦⑦,,,,,,,,,,,,,12,10,Ｌタマモシンボル, 61,浜中俊, 2.6, 59,   6, -26,11, 93.1,⑪⑪⑪,12, 4,Ｅゴｰルドサクセス, 71,鮫島良, 1.2, 60,  -6,   0, 3,  6.5, ⑯⑯
13, 5,Ｊコウセイグレイト, 51,小牧太, 1.5, 53,   2, -12, 7, 55.2, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｉドリｰムロｰズ, 67,福永祐, 1.6, 55,   1, -15, 6, 12.2, ⑨⑧
14,10,Ｏサンレイクエスト, 46,難波剛, 1.8, 51,*  6, -20,13,328.2, ②②,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｍチャｰムペンダント, 62,武豊  , 1.7, 54,*  7, -25, 7, 12.2, ①①
15, 6,Ｈオウドウリｰチ, 60,高橋亮, 2.3, 44,  -3, -15, 9, 68.5, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｐナリタコンコルド, 57,太宰啓, 2.0, 50, -13,  -3,17,249.6, ⑰⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｑライフチェンジ, 57,赤木高, 2.1, 50, -12,  -2,16,226.3, ⑱⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｒポｰルシャトル, 55,田中健, 2.2, 48,*  4, -28,18,279.7, ⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｎフォｰシｰズンゴｰ, 58,和田竜, 2.5, 45,  -1, -25,15,200.6, ⑫⑬
