09年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 2,Ｐラブニュｰイン, 30,伊藤工, 2.2, 48, -14,   2,15,409.9, ⑩⑨,,,,,,,,,,,,,13, 1,Ｊブチカマシ, 78,宮崎北, 1.5, 70,  -4,  18,11,107.9, ⑮⑭,13,13,Ｎショウナンアクロス, 73,吉田豊, 0.9, 78, -11,  18,12, 38.3, ⑮⑮
14,10,Ｊリリｰマルレｰン, 49,草野太, 2.4, 47, -14,   0,13,215.9, ⑫⑪,,,,,,,,,,,,,14, 8,Ｐミウラリチャｰド, 64,鷹野宏, 1.7, 70,  -5,  18,16,220.3, ⑯⑯,14,10,Ｏサクラバレット, 73,岩田康, 1.4, 63,*  1,  -9,10, 27.8, ①①
15,11,Ｏケイビイスペンサｰ, 33,岩部純, 2.4, 48, -20,   6,16,413.6, ⑯⑯,,,,,,,,,,,,,15,10,Ｎテイエムゲンキボ, 74,武士沢, 1.7, 67,  -4,  16,13,131.7, ⑭⑮,15,15,Ｊトｰセンオｰパス, 75,田中勝, 3.0, 47,  -9, -16,13, 52.1, ⑪⑬
16, 1,Ｍメイショウグレイト, 40,田中勝, 3.5, 37, -12, -13, 8, 27.9, ⑦⑦,,,,,,,,,,,,,16, 2,Ｏヤマニンプレアデス, 71,伊藤工, 2.5, 61,  -2,   7,15,210.0, ⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,
単勝:350円 複勝:15=130円 16=140円 03=430円 枠連:470円,,,,,,,,,,,,単勝:250円 複勝:03=110円 11=120円 01=140円 枠連:380円,,,,,,,,,,,,単勝:320円 複勝:15=130円 06=170円 16=240円 枠連:470円,,,,,,,,,,,,"単勝:2,180円 複勝:05=690円 08=240円 01=620円 枠連:2,810円",,,,,,,,,,,
"馬連:500円 ワイド:15-16=220円 03-15=1,170円 03-16=1,230円",,,,,,,,,,,,馬連:390円 ワイド:03-11=180円 01-03=180円 01-11=260円,,,,,,,,,,,,馬連:470円 ワイド:06-15=310円 15-16=500円 06-16=830円,,,,,,,,,,,,"馬連:7,340円 ワイド:05-08=2,510円 01-05=6,090円 01-08=2,440円",,,,,,,,,,,
"馬単:980円 3連複:3,160円 3連単:12,740円",,,,,,,,,,,,"馬単:700円 3連複:380円 3連単:1,480円",,,,,,,,,,,,"馬単:1,100円 3連複:1,530円 3連単:6,590円",,,,,,,,,,,,"馬単:17,470円 3連複:42,200円 3連単:274,640円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｳｪﾙｶﾑｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃミカエルビスティｰ, 59,勝浦正,, 73,  -1,* 15, 3,  6.0,⑬⑬⑭, 1,18,Ｋジェイケイラン, 67,江田照,, 84,  -1,* 17, 6, 10.3,⑱⑱⑰, 1, 1,Ｂアスクデピュティ, 89,武士沢,, 88,   4,* 21, 7, 21.1,⑫⑫⑫,,,,,,,,,,,,
 2,14,Ａフェイルノｰト, 66,スミヨ, 0.4, 65,   3,  -1, 2,  3.8,⑦⑥⑥, 2, 7,Ｇネオレボルｰション, 69,ルメｰ, 0.0, 82,   0,* 13, 1,  3.1,⑩⑪⑪, 2,12,Ｅトップカミング, 84,蛯名正, 0.0, 89,   6,  17, 2,  3.8,⑩⑨⑩,,,,,,,,,,,,
 3, 6,Ｇサトノジュｰオｰ, 53,内田博, 0.7, 62,*  6, -10, 4,  8.2,③③②, 3, 2,Ｄニシノルｰファス, 72,内田博, 0.1, 76,*  3,   1, 2,  5.1,①①①, 3,10,Ｃレッドシュｰタｰ, 88,武豊  , 0.0, 87,   6,  15, 3,  3.8,⑧⑧⑨,,,,,,,,,,,,
 4,13,Ｋゴｰトゥザミラノ, 49,柴山雄, 0.9, 62,   1,  -1,12,298.6,⑭⑭⑪, 3, 3,Ｃウォｰボネット, 72,松岡正, 0.1, 79,*  2,   6, 5,  9.5,③⑤③, 4, 7,Ｌスズジュピタｰ, 80,内田博, 0.1, 86,   7,  11, 5, 11.0,⑥⑥⑤,,,,,,,,,,,,
 5,11,Ｅデアケｰニヒ, 54,福永祐, 1.1, 58,   5, -13, 1,  2.5,⑥⑤⑤, 5,17,Ｎシルクタイタン, 66,クラス, 0.2, 78,   0,   7,12, 50.0,⑨⑧⑨, 5, 3,Ｇアドマイヤスペｰス, 83,的場勇, 0.3, 83,   6,  11, 9, 66.8,⑦⑦⑦,,,,,,,,,,,,
 6,10,Ｉトｰセンユニコｰン, 50,丸山元, 1.1, 60,  -2,*  2,17,655.6,⑰⑰⑰, 6, 4,Ｌリワｰドモンシェリ, 66,的場勇, 0.4, 73,*  1,   1,13, 82.9,④⑥④, 6, 5,Ｈリバｰスモｰド, 82,戸崎圭, 0.3, 86,   4,  15,14,115.6,⑪⑩⑪,,,,,,,,,,,,
 7, 9,Ｎマイネルダウザｰ, 41,戸崎圭, 1.4, 55,   5, -19, 8, 32.7,⑤④④, 7,13,Ａメイショウパルマ, 78,武豊  , 0.5, 75,   0,   5, 3,  5.8,⑪⑫⑫, 7, 6,Ｏベルモントルパン, 77,福永祐, 0.4, 81,* 10,  -1,13,107.3,①①①,,,,,,,,,,,,
 8, 8,Ｈスペシャルマン, 51,北村宏, 1.5, 51,*  8, -24, 7, 21.6,②①①, 8, 8,Ｑジャイアントラック, 59,宮崎北, 0.6, 72,   0,   1,18,306.9,⑧⑨⑧, 8, 4,Ａドリｰムゼニス, 89,松岡正, 0.4, 82,* 10,   2, 1,  3.5,②②②,,,,,,,,,,,,
 9,15,Ｆザピエｰル, 53,デムｰ, 1.7, 51,   2, -15, 5, 13.0,⑨⑨⑨, 9,14,Ｂサクラルｰラｰ, 74,村田一, 0.6, 76,  -1,   7, 4,  9.4,⑮⑯⑯, 9, 2,Ｋハシッテホシｰノ, 82,三浦皇, 0.5, 82,   7,   5, 4,  7.8,④⑤④,,,,,,,,,,,,
