09年 9月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,11,Ｎジンリッキｰ, 30,川島信, 2.1, 44,  -1, -24,14,413.8,④⑥⑥,13,10,Ｊキングパレｰド, 56,小野寺, 7.8, 23,   4, -62, 8, 73.5,②⑥⑬,13,15,Ｊステイトリｰデイズ, 76,吉田稔, 2.4, 64,  14, -29, 9, 24.2,②③④,13, 8,Ｋスズカフェロｰ, 74,五十嵐, 3.9, 62,   5,  -8,13,163.7,④⑤⑦
14, 3,Ｌライジングタイド, 37,田中勝, 2.2, 43,*  0, -27, 7, 23.8,③③⑤,,,,,,,,,,,,,14,11,Ｎマチカネフクノカミ, 71,津村明, 3.0, 59,  14, -37,15, 56.6,③④⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｐアイアムドラマ, 64,池添謙, 3.6, 56,* 16, -50,13, 32.7,⑩②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｅスギノブレイド, 81,横山典, 7.9, -1,  11, -98, 3,  6.2,⑦⑩⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,040円 複勝:04=230円 01=110円 12=170円 枠連:590円",,,,,,,,,,,,単勝:460円 複勝:04=170円 08=110円 05=440円 枠連:360円,,,,,,,,,,,,"単勝:1,590円 複勝:08=530円 02=370円 07=210円 枠連:1,490円",,,,,,,,,,,,"単勝:190円 複勝:11=110円 13=270円 06=160円 枠連:1,000円",,,,,,,,,,,
馬連:760円 ワイド:01-04=370円 04-12=740円 01-12=220円,,,,,,,,,,,,"馬連:380円 ワイド:04-08=190円 04-05=1,310円 05-08=670円",,,,,,,,,,,,"馬連:9,760円 ワイド:02-08=2,400円 07-08=1,750円 02-07=1,290円",,,,,,,,,,,,"馬連:1,280円 ワイド:11-13=530円 06-11=240円 06-13=950円",,,,,,,,,,,
"馬単:2,200円 3連複:1,270円 3連単:10,390円",,,,,,,,,,,,"馬単:1,180円 3連複:2,410円 3連単:10,900円",,,,,,,,,,,,"馬単:17,630円 3連複:18,370円 3連単:129,800円",,,,,,,,,,,,"馬単:1,770円 3連複:2,480円 3連単:9,800円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,札幌2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,,,,,,,,,,,,,
