09年11月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,錦秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 3,Ｆヴィｰヴァロブロイ, 53,蛯名正, 0.6, 49,*  0,   0, 4, 13.4,②②②, 7, 8,Ｎプラグマティック, 65,北村宏, 0.9, 65,   5,  -1,15,132.3, ⑤⑥, 7, 4,Ｆトレモロ, 60,内田博, 0.9, 61,  -6,   5, 6, 20.9, ⑨⑨, 7, 5,Ｏヤマニンキングリｰ, 90,柴山雄, 1.0, 91,  19,  16,10, 46.4,⑥⑦⑦
 8, 4,Ｈパラダイムシフト, 42,スミヨ, 1.0, 46,  -2,   0, 6, 16.3,⑤⑤⑥, 8, 9,Ｂマイネルエルドラド, 75,三浦皇, 0.9, 66,   2,   4, 2,  4.2, ⑩⑩, 8,11,Ｅスワット, 64,横山典, 1.2, 56,*  2,  -8, 4,  8.5, ④③, 8,18,Ｅエアシェイディ, 97,後藤浩, 1.0, 92,  16,  22,12, 67.4,⑭⑬⑬
 9, 7,Ｇミネノタカオｰ, 50,大庭和, 1.8, 37,  -4,  -8, 9,256.1,⑨⑨⑧, 9, 6,Ｌチェリｰクラウン, 67,内田博, 1.0, 67,  -2,   7, 8, 15.2, ⑪⑬, 9, 7, シシノテイオｰ,---,柴山雄, 1.2, 59, -11,   9, 9, 61.3, ⑪⑪, 9,17,Ｑエイシンデピュティ, 84,戸崎圭, 1.1, 87,* 21,   7,14, 84.6,①①①
,,,,,,,,,,,,10,12,Ｋシンクロナイザｰ, 68,後藤浩, 1.0, 65,   3,   1, 7, 15.1, ⑧⑧,10, 3, フラットリア,---,村松学, 1.9, 49,  -6,  -8,11,218.1, ⑦⑧,10, 4,Ｉアドマイヤフジ, 95,スミヨ, 1.2, 88,  19,  13,15, 94.4,⑦⑥⑥
,,,,,,,,,,,,11,15,Ｊマイネルポンピオン, 70,戸崎圭, 1.3, 63,   0,   2,14,132.0, ⑫⑫,11, 8, フルサト,---,戸崎圭, 3.9, 27, -11, -27,10, 88.1, ⑩⑩,11,11,Ｌスマイルジャック, 92,三浦皇, 1.2, 91,  15,  23,13, 69.7,⑯⑮⑱
,,,,,,,,,,,,12, 1,Ｄトムアウトランダｰ, 74,吉田豊, 1.4, 62,   5,  -5, 1,  3.4, ⑥⑤,,,,,,,,,,,,,12, 8,Ｆキャプテントゥｰレ, 96,川田将, 1.3, 87,* 22,   6, 6, 16.0,③②②
,,,,,,,,,,,,13, 3,Ｃダブルフレｰバｰ, 75,武豊  , 1.7, 60,*  7,  -9, 5,  9.8, ③③,,,,,,,,,,,,,13,14,Ｊサクラメガワンダｰ, 93,福永祐, 1.3, 88,  19,  13, 9, 39.6,⑧⑧⑧
,,,,,,,,,,,,14, 7,Ｈサクラサクラサクラ, 71,丸田恭, 2.1, 57,   1,  -6, 9, 31.6, ⑨⑨,,,,,,,,,,,,,14, 1,Ｒコスモバルク, 83,松岡正, 1.3, 87,  19,  10,18,131.5,⑤⑤⑤
,,,,,,,,,,,,15,11,Ｐクリノアツヒメ, 43,武士沢, 2.9, 50,  -9,  -2,16,291.2, ⑯⑯,,,,,,,,,,,,,15, 9,Ｎサクラオリオン, 90,秋山真, 1.5, 89,  15,  20,16,105.3,⑰⑱⑰
,,,,,,,,,,,,16,16,Ｏエクストラシチｰ, 61,スミヨ, 4.0, 42,* 10, -31,13, 97.1, ①①,,,,,,,,,,,,,16,16,Ｋホッコｰパドゥシャ, 93,岩田康, 1.5, 85,  16,  15,17,115.2,⑪⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｇマツリダゴッホ, 95,蛯名正, 1.7, 82,* 22,   0, 8, 33.2,④③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｐアサクサキングス, 89,四位洋, 2.1, 82,  15,  11,11, 47.5,⑮⑰⑯
