09年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,13,Ｋカシノスフィンクス, 58,大下智, 1.9, 52,   1, -18,14,315.4,⑥⑧⑪,13, 7,Ｏシゲルオトワヤマ, 42,赤木高, 1.5, 55,  -4,  -6,13,145.9,⑯⑯⑭,13,15,Ｉシゲルカイノセ, 69,田中健, 3.3, 60,   5,  -9,11,133.3,⑫⑪⑫,13,13,Ｂメラトニン, 77,藤岡康, 2.8, 39,  -9, -14, 6, 18.5, ⑩⑫
14,12,Ｏファニｰベル, 51,角田晃, 2.6, 49,  -5, -15,15,368.8,⑯⑮⑮,14,15,Ｍアウロｰラ, 47,熊沢重, 2.2, 45,*  5, -36,11, 91.4,⑦③⑥,14,10,Ｊコウヨウドリｰム, 69,藤岡康, 3.9, 56,   4, -12, 8, 58.7,⑩⑭⑮,14, 2,Ｎエプソムラヴソング, 28,柄崎将, 3.6, 30, -21, -13,14,385.0, ⑬⑬
15, 8,Ｉジュメイラ, 58,幸英明, 3.6, 39,*  3, -46,10, 90.9,③③⑧,15, 3,Ｌスカイボｰイング, 48,安藤光, 2.6, 42,  -4, -22,15,258.8,⑭⑮⑯,15, 4,Ｋデイブレイクスベル, 65,佐藤哲, 5.0, 47,   5, -21, 7, 27.5,⑪⑬⑭,,,,,,,,,,,,
16, 9,Ｑシルクジャスパｰ, 44,渡辺薫, 5.3, 29,  -6, -51,16,497.5,⑭⑯⑯,16, 6,Ｐオリオンザトップ, 40,浜中俊, 4.9, 12,   3, -70,14,160.8,①⑤⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,
"単勝:560円 複勝:16=400円 06=1,210円 14=1,750円 枠連:1,080円",,,,,,,,,,,,単勝:240円 複勝:11=120円 02=270円 04=330円 枠連:820円,,,,,,,,,,,,"単勝:470円 複勝:08=230円 11=370円 06=580円 枠連:2,140円",,,,,,,,,,,,"単勝:1,370円 複勝:07=320円 03=140円 06=360円 枠連:800円",,,,,,,,,,,
"馬連:4,930円 ワイド:06-16=1,540円 14-16=2,290円 06-14=4,320円",,,,,,,,,,,,"馬連:1,240円 ワイド:02-11=490円 04-11=780円 02-04=1,220円",,,,,,,,,,,,"馬連:2,170円 ワイド:08-11=670円 06-08=930円 06-11=1,190円",,,,,,,,,,,,"馬連:1,380円 ワイド:03-07=640円 06-07=2,000円 03-06=730円",,,,,,,,,,,
"馬単:7,970円 3連複:30,760円 3連単:123,320円",,,,,,,,,,,,"馬単:1,920円 3連複:3,540円 3連単:13,030円",,,,,,,,,,,,"馬単:4,370円 3連複:7,340円 3連単:31,300円",,,,,,,,,,,,"馬単:4,710円 3連複:7,870円 3連単:51,720円",,,,,,,,,,,
