09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 1,Ｎブラストスイフト, 35,田中博, 1.1, 40,*-12, -17,16,361.5,①①①, 9, 8,Ｆイコｰルパｰトナｰ, 70,赤木高, 1.0, 58,  -5,   6, 3,  6.2,⑤⑦⑦, 9, 3,Ｐセイカジｰベック, 57,幸英明, 1.9, 60,   2,   3,16,193.1,⑥⑦⑥, 9,16,Ｎフサイチアウステル, 83,浜中俊, 0.3, 82,* 17,   6,11, 32.8,①①①
10,16,Ｋウインドロｰザ, 44,生野賢, 1.1, 43, -16,  -8,13,249.1,⑨⑪⑪,10, 2,Ｅワキノキルシェ, 71,北村友, 1.0, 61,  -5,  10, 4,  7.5,⑪⑫⑩,10,10,Ｇアイノカゼ, 69,土谷智, 2.1, 60,   1,   2,10, 38.2,⑫⑨⑫,10, 6,Ｉホッコｰソレソレｰ, 84,藤岡康, 0.5, 84,   3,* 31,13, 37.9,⑮⑮⑭
11, 6,Ｐエｰシンマイスタｰ, 31,浜中俊, 1.3, 47, -22,  -1, 6, 23.5,⑭⑮⑮,11,11,Ｃアルコイリス, 71,丸田恭, 1.3, 56,  -5,   2, 6, 13.2,④⑤⑪,11, 7,Ｌキャプテンマジン, 65,福永祐, 2.3, 61,  -4,  11, 7, 30.9,⑯⑯⑯,11,14,Ｐシゲルフセルト, 79,赤木高, 0.7, 78,   9,  16,16, 66.4,⑦⑦⑨
12, 5,Ｈサマｰパレンケ, 48,丸田恭, 1.5, 36, -18, -12, 7, 32.2,⑪⑨⑧,12,12,Ｊエタｰナルロマンス, 61,菊沢隆, 1.4, 58,  -7,   5, 9, 48.8,⑬⑬⑬,12, 5,Ｍコアグリｰン, 64,荻野琢, 2.4, 61,  -1,   3,15,191.0,⑧⑪⑩,12,12,Ｆフィｰルドベアｰ, 86,秋山真, 0.8, 79,   9,  16, 4,  9.2,⑧⑨⑪
13,14,Ｍアグネスビジン, 38,太宰啓, 1.6, 43, -18,  -8,12,218.6,⑮⑭⑭,13,10,Ｋカシノアマゾネス, 60,西田雄, 1.7, 54,  -5,   1,14,307.3,⑭⑩⑫,13,11,Ｋエカテリｰナ, 65,太宰啓, 2.7, 56,   0,   1,13,120.9,⑬⑬⑮,13, 1,Ｏダイシングロウ, 81,安藤勝, 0.8, 75,* 13,   8, 3,  8.3,②③②
14, 9,Ｌクリノステップ, 38,古川吉, 1.8, 39, -22,  -7,15,347.1,⑯⑯⑯,14,13,Ｉフジビヨリ, 62,田中博, 1.9, 55,  -7,   1,13,210.1,⑨⑭⑭,14, 1,Ａトシザカイモン, 81,安藤勝, 2.7, 54,   1,  -3, 2,  3.0,⑦⑧⑨,14,13,Ｋライブコンサｰト, 84,佐藤哲, 0.8, 78,   6,  21, 8, 23.1,⑫⑫⑬
15, 3,Ｉヤマニンドレｰプ, 46,田辺裕, 1.8, 32, -13, -25,11,187.5,⑤⑤⑤,,,,,,,,,,,,,15, 8,Ｎミスタｰオリオン, 63,中舘英, 2.7, 54,*  4,  -7, 6, 28.5,②②③,15,15,Ｍカネトシツヨシオｰ, 83,太宰啓, 1.0, 78,   4,  21,14, 38.7,⑭⑭⑮
16,11,Ｏジュテミルフｰ, 33,宮崎北, 2.2, 28,*-12, -32,14,302.4,③③⑥,,,,,,,,,,,,,16,15,Ｉスナｰクハｰバｰ, 67,田中健, 4.5, 44,   2, -20,11, 97.1,③⑤⑪,16, 3,Ｌアサカディフィｰト, 83,鮫島良, 1.2, 77,   3,  22,10, 28.6,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
