09年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾄﾞﾝｶｽﾀｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,11,Ｍタガノキャプテン, 40,福永祐, 1.1, 51,  -4,   0,11, 50.6,⑪⑨⑨, 7, 9, セトノジャｰニｰ,---,秋山真, 0.6, 49,*-18,  -4, 2,  4.1,②②②, 7, 4,Ｆアイファｰハイカラ, 55,浜中俊, 1.7, 57,  -5,  -3, 6, 32.3, ④④, 7, 5,Ｅリトルアマポｰラ, 86,スミヨ, 1.3, 91,   4,  22, 4, 12.4,③③③
 8,14,Ｈボストンサプライズ, 48,川島信, 1.4, 48,  -4,  -1,16,282.5,⑮⑩⑩, 8, 7, クロカミノマイ,---,石橋守, 0.6, 54, -22,   6,10, 74.7,⑨⑨⑨, 8, 1,Ｅブラックイレブン, 58,岩田康, 2.9, 42,* -2, -26, 8, 52.7, ①①, 8, 1,Ｎウェディングフジコ, 79,菊沢隆, 1.6, 93,  -1,  30,17,217.9,⑮⑱⑰
 9, 5,Ｇキョウワマグナム, 49,武幸四, 1.5, 52,  -4,  -4,12, 60.2,⑦⑧⑧, 9, 8, ブラックボクサｰ,---,藤岡佑, 0.6, 47,*-18,  -5, 9, 40.2,⑧①①,,,,,,,,,,,,, 9, 8,Ｆカワカミプリンセス, 85,横山典, 1.6, 86,   4,  17, 5, 15.1,⑭⑤⑤
10, 1,Ｄニホンピロワルタｰ, 52,藤岡佑, 1.7, 49,  -7,   2, 5,  9.8,⑬⑮⑫,10,10, メイショウワダツミ,---,角田晃, 1.1, 51, -23,   4,11,175.3,⑩⑪⑪,,,,,,,,,,,,,10,14,Ｋニシノブルｰムｰン, 81,北村宏, 1.6, 89,   2,  23,10, 66.6,⑩⑫⑪
11, 3,Ｌヒシボｰルドウィン, 41,国分恭, 1.7, 49,  -2,  -8,13,152.0,⑨⑥⑤,11, 5, エニシ,---,松山弘, 1.2, 42, -20,  -8, 8, 37.0,①④④,,,,,,,,,,,,,11, 3,Ｌチェレブリタ, 80,岩田康, 1.7, 87,   3,  19,13,119.8,④⑥⑧
12,16,Ｎアズマクロシオ, 37,松山弘, 2.2, 43,  -3, -12, 8, 23.2,⑥⑦⑥,,,,,,,,,,,,,,,,,,,,,,,,,12,17,Ａムｰドインディゴ, 89,田中勝, 1.7, 93,   1,  27, 8, 23.6,⑰⑰⑱
13, 2,Ｋネオペンドラゴン, 43,ルメｰ, 4.0, 29,  -6, -20, 9, 44.5,⑫⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｊジェルミナル, 82,福永祐, 1.7, 88,   3,  19, 7, 21.7,⑥⑦⑨
14,15,Ｊスノｰピｰパッド, 45,和田竜, 4.1, 30,  -2, -29,14,235.7,④⑤⑬,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｈミクロコスモス, 84,武豊  , 1.8, 89,   0,  24, 9, 24.2,⑱⑮⑭
15, 4,Ｉシャイニｰサンデｰ, 45,武豊  , 4.3, 31,  -7, -20, 7, 16.3,⑩⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｉサンレイジャスパｰ, 82,難波剛, 1.8, 88,   2,  21,18,236.7,⑬⑭⑬
16, 6,Ｐパイザ, 29,川田将, 5.4, 25,  -6, -31,15,261.0,⑧⑫⑮,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｐブラボｰデイジｰ, 74,生野賢, 2.0, 82,   4,  11,14,125.9,⑤④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｏレインダンス, 77,藤岡康, 2.0, 82,   3,  13,16,204.9,⑪⑧⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｄピエナビｰナス, 87,古川吉, 2.1, 87,   1,  19,15,130.0,⑨⑬⑮
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:94 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,
単勝:950円 複勝:09=410円 07=510円 10=300円 枠連:870円,,,,,,,,,,,,"単勝:270円 複勝:04=130円 02=270円 06=170円 枠連:1,890円",,,,,,,,,,,,単勝:160円 複勝:02=110円 03=330円 05=340円 枠連:0円,,,,,,,,,,,,"単勝:7,710円 複勝:07=1,410円 11=2,150円 16=110円 枠連:4,590円",,,,,,,,,,,
"馬連:6,030円 ワイド:07-09=2,060円 09-10=1,340円 07-10=1,410円",,,,,,,,,,,,"馬連:1,740円 ワイド:02-04=660円 04-06=310円 02-06=1,230円",,,,,,,,,,,,"馬連:900円 ワイド:02-03=330円 02-05=420円 03-05=1,930円",,,,,,,,,,,,"馬連:102,030円 ワイド:07-11=23,310円 07-16=2,730円 11-16=4,910円",,,,,,,,,,,
"馬単:13,730円 3連複:16,940円 3連単:108,050円",,,,,,,,,,,,"馬単:2,820円 3連複:2,790円 3連単:13,390円",,,,,,,,,,,,"馬単:1,130円 3連複:2,540円 3連単:7,730円",,,,,,,,,,,,"馬単:250,910円 3連複:157,480円 3連単:1,545,760円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,嵯峨野特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
