09年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ西日本賞北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 5,Ｅトミケンパルテイ, 53,松山弘, 1.3, 44,  -9, -11, 5, 11.2, ⑮⑮, 8, 5,Ｆスイｰトメロン, 60,橋本美, 2.9, 55,  -1,  -7,12, 76.6,⑪⑪⑪, 8,10,Ｇマイネルレギメント, 68,太宰啓, 0.8, 67,   3,  -2,10, 46.3,⑩⑩⑨, 8,15,Ｃプリンセスペスカ, 76,熊沢重, 1.4, 64,   1,   1, 3,  5.8,⑪⑦⑩
 9, 2,Ｏミゲｰル, 28,石橋守, 1.5, 42,  -9, -13,15,278.6, ⑭⑩, 9, 2,Ｌアキノビギニング, 47,太宰啓, 2.9, 58,  -1,  -2,14,188.6,⑭⑭⑫, 9,12,Ｃエｰシンサンスタｰ, 73,川田将, 0.9, 66,   8, -11, 9, 43.2,⑨⑤⑤, 9, 3,Ｊメイショウシオギリ, 65,武豊  , 1.4, 63,*  1,   0, 5, 14.3,③③⑤
10, 1,Ｍマウンテンサムオｰ, 32,和田竜, 1.5, 43,  -9, -13,14,215.7, ⑬⑭,10,12,Ｃホクセツテンシ, 61,藤岡康, 3.3, 51,   3, -18, 4,  7.5,⑥⑥⑦,10, 8,Ｂハンタｰキリシマ, 77,野元昭, 0.9, 68,   1,   0, 3,  6.4,⑫⑬⑬,10, 7,Ｆオｰスミマコ, 70,幸英明, 1.6, 61,  -2,   4, 6, 27.3,⑮⑯⑬
11,16,Ｊシゲルタカウジ, 45,飯田祐, 1.5, 43,  -8, -14, 8, 24.2, ⑫⑫,11,14,Ｈウィズインウエク, 58,渡辺薫, 3.4, 51,   2, -15,10, 34.7,⑩⑩⑨,11, 2,Ｊファイナルパンチ, 65,渡辺薫, 0.9, 69,   1,*  1,14,305.0,⑬⑫⑫,11,12,Ｄキラメキパスワｰド, 71,川田将, 1.7, 62,  -1,   2, 8, 35.1,⑯⑭⑭
12,15,Ｇクニサキロンチｰ, 49,安藤光, 1.6, 41,  -6, -17, 7, 15.8, ⑩⑬,12, 4,Ｋヒカリレオ, 48,田中克, 3.6, 51,   2, -17, 8, 27.0,⑦⑧⑩,12,11,Ｆテンザンイカヅチ, 70,和田竜, 1.1, 64,   8, -14, 6, 22.1,④④④,12, 6,Ｈジョｰゲルダ, 68,和田竜, 1.9, 60,*  2,  -4, 4, 12.0,⑤⑤⑦
13,13,Ｐメイショウジハｰド, 14,田中克, 2.1, 35, -12, -18,16,598.7, ⑯⑯,13,15,Ｊツルマルダイヤ, 53,小林慎, 6.4, 31,  -2, -35,13,150.0,⑬⑫⑬,13, 5,Ｎスズカオペック, 47,松山弘, 1.5, 59,   4, -13,12,104.7,⑤⑨⑪,13, 2,Ｎグロｰスベルベット, 56,高井彰, 2.1, 59,  -2,   0,16,245.6,⑩⑮⑪
14,11,Ｄテイエムファイヤｰ, 53,田嶋翔, 2.3, 34,  -1, -31, 6, 13.6, ④⑥,14,10, マルブツスペシャル,---,田中健,10.3,  0,  -3, -67,15,315.6,⑤⑬⑭,14, 7,Ｌリョウガ, 57,上村洋,17.1,17.1---, -47, ---,13,143.4,⑭⑭⑭,14,13,Ｍラストダンス, 56,酒井学, 2.5, 56,   0,  -8,14,192.2,⑦⑨⑨
15,10,Ｈナンゴクトップガン, 49,小牧太, 2.3, 35,*  1, -32, 9, 52.3, ③④,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｌロケットガｰル, 57,松山弘, 3.6, 44,  -1, -15,13,171.7,⑭⑬⑮
16,12,Ｆエｰシンドットコム, 49,太宰啓, 2.3, 35,  -2, -29,10, 53.7, ⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｐボニｰアクション, 53,上村洋, 4.6, 41,  -1, -24,12,163.0,⑬⑫⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
