09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 2,Ｎコパノカチｰノ, 43,小牧太, 1.0, 53, -10,  -1,11, 80.9, ⑫⑫, 8, 4,Ｊホッコｰアネゴ, 50,赤木高, 1.7, 49,  -6, -11,16,398.3,⑫⑬⑪, 8, 7,Ｃアグネスフリｰダム, 69,石橋守, 1.4, 55,   5, -22, 6, 20.1,④④④, 8,16,Ｋコスモランゲル, 66,野元昭, 0.7, 67,   4,  -3, 4,  7.8, ⑧⑧
 9,13,Ｍセイザ, 43,幸英明, 1.2, 52,  -1,  -8, 8, 25.6, ⑦⑧, 9,15,Ｈインバラトゥｰラ, 52,飯田祐, 1.7, 51,  -5, -10,14,161.2,⑮⑮⑭, 9, 6,Ｊアピｰル, 49,高野容, 2.1, 51,  -1, -16, 9, 86.9,⑨⑨⑨, 9,13,Ｄドリｰムガｰルズ, 71,太宰啓, 0.9, 65,*  8, -10, 5,  9.7, ④④
10,11,Ｊナムラエリス, 48,生野賢, 1.3, 50,  -6,  -6,12,133.8, ⑩⑩,10, 3,Ｌヒミノダンス, 49,田中克, 1.8, 48,  -3, -18, 8, 32.0,⑦⑩⑨,10,10,Ｆメイシｰズパレｰド, 63,鈴来直, 2.2, 50,  -2, -16,10,150.7,⑩⑩⑩,10, 4,Ｉシアトルナカヤマ, 68,国分恭, 0.9, 65,*  9, -11,15, 57.0, ②②
11, 1,Ｂモア, 66,飯田祐, 1.4, 48, -14,  -2, 5, 10.4, ⑬⑬,11,10,Ｄエストレｰラ, 58,石橋守, 1.8, 47,   1, -25, 7, 22.5,⑪⑧⑦,,,,,,,,,,,,,11, 3,Ｏウスイ, 63,鈴来直, 0.9, 63,   3,  -5, 6, 14.4, ⑨⑦
12,10,Ｈキセキサイチャン, 53,安藤光, 1.5, 48,  -6,  -8,14,261.7, ⑨⑨,12,14,Ｏネオランジュ, 44,渡辺薫, 1.9, 48,   3, -30,10, 59.8,⑥④⑤,,,,,,,,,,,,,12,11,Ｎコウエイアンズ, 64,田嶋翔, 1.1, 62,*  9, -14,16, 67.4, ③③
13, 5,Ｆミラクルフェイマス, 58,和田竜, 1.5, 48, -15,  -1, 6, 14.4, ⑭⑭,13,11,Ｋサマｰメサイア, 49,安藤光, 2.2, 44,  -3, -23, 9, 49.9,⑩⑫⑬,,,,,,,,,,,,,13,17,Ｌナスザン, 65,和田竜, 1.1, 60,   1,  -6, 9, 28.9, ⑫⑫
14, 9,Ｌメモリｰバンダ, 44,太宰啓, 2.6, 39,   2, -22,10, 66.5, ⑤⑦,14,12,Ｇマルサンシンプル, 53,松山弘, 2.3, 44,  -5, -19,12, 83.9,⑬⑭⑮,,,,,,,,,,,,,14,14,Ｑアスカルディ, 57,大下智, 1.1, 58,  -6,   0,17,230.1, ⑰⑮
,,,,,,,,,,,,15, 8,Ｅフォルクスオｰパｰ, 56,和田竜, 2.3, 43,   2, -35, 3,  8.0,⑧⑥⑥,,,,,,,,,,,,,15,18,Ｃリバｰタウン, 72,田中健, 1.2, 63,* 11, -16, 7, 15.7, ①①
,,,,,,,,,,,,16, 7,Ｐラインパンサｰ, 41,佐久間, 3.2, 36,   0, -42,15,223.9,②⑦⑫,,,,,,,,,,,,,16, 9,Ｇアドマイヤランサム, 69,上村洋, 1.3, 56,  -8,   1,12, 38.3, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｒエスジｰステラ, 48,赤木高, 1.7, 53,   4, -16,18,321.8, ⑤⑨
