09年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
16, 6,Ｉシノギダンサｰ, 51,的場勇, 5.0, 30,  -5, -31,11,102.3,⑦⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｅハッピｰビｰチ, 80,田中博, 1.4, 68,  -3,   2, 6, 11.3, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:2),,,,,,,,,,,
"単勝:1,080円 複勝:12=280円 01=310円 04=140円 枠連:6,860円",,,,,,,,,,,,単勝:590円 複勝:10=180円 08=120円 07=290円 枠連:380円,,,,,,,,,,,,単勝:290円 複勝:11=130円 06=130円 07=230円 枠連:370円,,,,,,,,,,,,"単勝:850円 複勝:13=260円 10=300円 01=210円 枠連:1,680円",,,,,,,,,,,
"馬連:6,120円 ワイド:01-12=1,940円 04-12=710円 01-04=530円",,,,,,,,,,,,"馬連:810円 ワイド:08-10=370円 07-10=1,050円 07-08=660円",,,,,,,,,,,,馬連:470円 ワイド:06-11=230円 07-11=390円 06-07=510円,,,,,,,,,,,,"馬連:3,180円 ワイド:10-13=1,110円 01-13=1,080円 01-10=1,140円",,,,,,,,,,,
"馬単:13,670円 3連複:5,390円 3連単:54,200円",,,,,,,,,,,,"馬単:1,910円 3連複:2,690円 3連単:14,900円",,,,,,,,,,,,"馬単:890円 3連複:1,120円 3連単:3,330円",,,,,,,,,,,,"馬単:6,220円 3連複:6,470円 3連単:34,310円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝1600m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾆｱｶｯﾌﾟ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
