06年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.5,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
単勝:410円 複勝:06=170円 08=130円 10=420円 枠連:690円,,,,,,,,,,,,"単勝:160円 複勝:04=110円 15=1,260円 06=2,710円 枠連:2,080円",,,,,,,,,,,,単勝:220円 複勝:01=100円 03=100円 08=120円 枠連:0円,,,,,,,,,,,,単勝:190円 複勝:14=110円 05=170円 15=170円 枠連:460円,,,,,,,,,,,
"馬連:650円 ワイド:06-08=230円 06-10=1,310円 08-10=850円",,,,,,,,,,,,"馬連:5,570円 ワイド:04-15=2,090円 04-06=3,350円 06-15=74,600円",,,,,,,,,,,,馬連:190円 ワイド:01-03=120円 01-08=170円 03-08=180円,,,,,,,,,,,,馬連:640円 ワイド:05-14=240円 14-15=280円 05-15=630円,,,,,,,,,,,
"馬単:1,480円 3連複:3,490円",,,,,,,,,,,,"馬単:7,520円 3連複:83,390円",,,,,,,,,,,,馬単:440円 3連複:250円,,,,,,,,,,,,"馬単:880円 3連複:1,140円 3連単:3,680円",,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■ 6R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 9R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊吹山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｅトｰアセンヒメ, 61,幸英明,, 71,*  3,   8, 7, 20.2,③③②, 1, 4,Ｃアサクサアンデス, 66,柴山雄,, 74,*  7,   7, 1,  2.7, ②①, 1, 3,Ａパパラチア, 77,北村友,, 72,   0,* 11, 2,  4.2, ⑥⑥, 1,16,Ｆゴッドスマイルユｰ, 70,武豊  ,, 84,  -4,* 24, 2,  4.7, ⑦⑧
 2,10,Ａランタナ, 67,武豊  , 0.2, 69,   2,   8, 1,  1.8,⑧④④, 2,16,Ａエイシンバンワｰト, 69,小牧太, 0.4, 68,   0,   7, 2,  5.2, ④④, 2,16,Ｆサララ, 67,幸英明, 0.0, 75,   3,* 11, 3,  9.3, ⑥⑥, 2, 3,Ｄシルクドラグｰン, 77,藤田伸, 0.0, 86,  -7,* 28, 4,  8.1, ⑩⑩
 3,12,Ｇアイアイボタン, 59,鮫島良, 0.4, 67,   0,   7, 9, 89.1,⑩⑧⑤, 3,11,Ｋフェｰヴ, 54,中舘英, 0.5, 65,*  7,   1,13,173.2, ①②, 3, 1,Ｂオプティマルマザｰ, 75,武豊  , 0.1, 74,* 14,  -1, 1,  1.9, ②②, 3,10,Ａマルブツブリザｰド, 83,安藤勝, 0.2, 72,* 10,   7, 1,  1.9, ①①
 4, 3,Ｃホッカイラブリｰ, 65,和田竜, 0.5, 66,  -3,* 13, 4,  8.7,⑬⑫⑫, 4,12,Ｂキラｰスマイル, 67,田中克, 0.6, 61,*  4,   0, 5, 11.1, ②③, 4, 6,Ｈボムシェル, 64,田島裕, 0.1, 74,* 14,  -1, 4, 11.3, ①①, 4, 4,Ｇスｰパｰワシントン, 69,鮫島克, 0.3, 76,  -4,  20, 7, 27.8, ⑦⑦
 5, 9,Ｂイットｰフレンチ, 66,安藤勝, 0.7, 65,   1,   5, 2,  6.1,⑪⑧⑧, 5, 2,Ｈライトザファイアｰ, 58,嘉藤貴, 0.6, 65,  -3,   7, 8, 23.6, ⑥⑥, 5, 5,Ｅシルクストレイン, 68,鮫島良, 0.1, 73,   7,   4, 5, 13.1, ③③, 5,11,Ｋケイウンバクシン, 66,小牧太, 0.4, 68,*  9,   6, 8, 33.8, ②②
 6, 6,Ｈロジエｰル, 58,石橋脩, 1.1, 62,   1,   0,10, 93.3,⑥⑦⑧, 6, 3,Ｊリキアイワカノオｰ, 58,和田竜, 0.6, 66,  -4,*  8,10, 42.2, ⑧⑦, 6,11,Ｃアラマサフェアリｰ, 70,村田一, 0.5, 68,  -5,* 11,10, 62.5, ⑩⑩, 6, 8,Ｃマンテンハット, 78,菊地昇, 0.4, 70,   2,  12, 9, 36.2, ⑤⑤
 7, 5,Ｊサンゴノウミヲ, 56,小牧太, 1.3, 60,   1,  -1, 8, 29.4,⑥⑧⑩, 7,13,Ｅグランディバロｰズ, 64,佐藤哲, 1.0, 59,  -4,   3, 3,  5.7, ⑧⑦, 7, 4,Ｌエアラニア, 61,千田輝, 0.7, 65,   1,   2,12, 92.5, ⑥⑧, 7,15,Ｉパレスエベレスト, 68,西田雄, 0.5, 69,  -1,  14,13,117.6, ⑥⑥
 8,11,Ｍアミフジハナザカリ, 52,田辺裕, 1.4, 59,  -4,   7,14,513.7,⑭⑭⑭, 8, 8,Ｇアンクルストロング, 59,北村友, 1.0, 58, -12,*  6,11, 53.7, ⑫⑩, 8,10,Ｍリッカアリアラ, 60,中舘英, 0.8, 63,   6,  -4, 8, 47.4, ⑤⑤, 8, 2,Ｐコクシムソウ, 56,芹沢純, 0.6, 65,   5,   6,11, 88.4, ④④
