06年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,13,Ｊハｰベストタｰフ, 23,上村  , 1.4, 39,  -9, -12, 5,  8.9,④③③, 7, 7, プリマｰトビコｰ,---,田島裕, 3.9, 32, -12, -19,11, 82.6,⑥⑨⑨, 7, 1,Ａブイトｰル, 64,武豊  , 2.0, 55,   2,  -8, 1,  1.8,①②②, 7, 5,Ｂセトノシェｰバｰ, 81,高井  , 1.5, 70,  -2,   9,10, 31.0,⑨⑨⑧
 8, 6,Ｅダンスグランドゥ, 42,岩田  , 1.5, 39, -13,  -8, 7, 15.4,⑦⑥⑦, 8,13, クリノライアン,---,古川吉, 4.1, 30,  -7, -30,10, 40.7,⑤④⑤,,,,,,,,,,,,, 8,14,Ｋアドマイヤムサシ, 69,幸    , 1.7, 71,   4,   3,12, 45.1,④④④
 9,12,Ｇダイゴピリカ, 37,上野翔, 1.5, 38, -19,  -4,11,202.8,⑫⑪⑩, 9, 6, スペクタクル,---,内田浩, 4.5, 27,  -8, -33, 7, 29.6,①⑤⑤,,,,,,,,,,,,, 9,12,Ｈウインサウザｰ, 71,岩田  , 1.8, 70,  -2,   9, 7, 17.3,⑩⑩⑩
10, 3,Ｆカリスマハンタｰ, 38,幸    , 1.6, 42, -22,   2,10,144.4,⑬⑬⑫,10,10, トウカイスバル,---,長谷川, 4.7, 23, -13, -26,13,153.3,⑫⑨⑫,,,,,,,,,,,,,10, 6,Ｄブレッチングスキｰ, 76,ペリエ, 1.8, 69,  -4,  12, 1,  2.4,⑪⑫⑭
11, 5,Ｋヒシオｰシャン, 17,池添  , 2.5, 27, -13, -19, 8, 22.1,⑦⑥⑦,11,12, メジャｰタイトル,---,岩田  , 5.4, 19, -12, -33, 9, 34.0,⑩⑨⑪,,,,,,,,,,,,,11, 8,Ｌタマモガルチ, 67,岡部誠, 2.0, 68,   2,   2,11, 44.3,⑥⑥⑥
12, 2,Ｉラガｰトップテン, 28,大山真, 2.7, 23, -13, -20,13,319.4,④⑥⑩,12, 8, カネトシツヨシオｰ,---,幸    , 6.2, 14, -12, -41, 5, 14.9,⑪⑨⑨,,,,,,,,,,,,,12, 9,Ｎエクステンション, 56,熊沢  , 2.2, 65,  -3,   7,13,139.8,⑪⑫⑬
13, 9,Ｌオｰヨドヨシツネ, 15,金折  , 3.1, 22, -17, -19,12,214.1,⑩⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｅタケイチマサル, 75,石橋守, 2.3, 65,  -2,   5, 6, 16.2,⑪⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｇメイショウオブラ, 74,松永  , 2.6, 63,   1,  -3, 9, 28.7,⑧⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
