06年 7月 9日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月 9日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.2,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａオペラボイス, 64,塚田祥,, 58,* -1,  -5, 1,  1.3,②②①, 1,12,Ａロｰリｰポｰリｰ, 72,横山典,, 68,   4,*  4, 1,  1.7,⑥⑤②, 1, 4,Ａピサノパテック, 82,藤田伸,, 77,*  5,  11, 1,  1.7,②②①, 1, 5,Ｄセフティｰステｰジ, 73,横山典,, 80,   7,* 13, 1,  2.5,⑬⑨⑤
 2, 6,Ｄリックチョモランマ, 50,安藤勝, 0.2, 57,  -4,*  2, 2,  6.5,⑩⑧⑥, 2, 1,Ｄブルｰフェアプレｰ, 61,古川吉, 0.1, 65,   0,*  8, 3, 10.5,⑩⑩⑧, 2, 5,Ｄミヤコノカｰン, 73,木幡初, 0.0, 80,   3,* 17, 5, 15.7,⑦⑤③, 2, 4,Ｅカミノヤマボｰイ, 72,武幸四, 0.1, 76,   7,* 10, 4,  8.2,⑨⑦⑧
 3,12,Ｂレイジングザバｰ, 51,藤田伸, 0.5, 57,*  1,  -9, 3,  8.7,①①②, 3, 4,Ｆサムタイム, 60,藤田伸, 0.3, 65,   2,*  4, 2,  4.2,⑨⑧⑥, 3, 7,Ｂエキサイトラン, 79,松田大, 0.4, 70,*  6,   4, 3,  5.8,①①②, 3,10,Ｂグラスリアルパワｰ, 74,菊沢隆, 0.2, 75,   7,   7, 6, 12.6,⑩⑤③
 4, 2,Ｇグランドタイガｰ, 43,吉永護, 0.9, 53,*  0, -11, 7, 59.1,⑧③③, 4, 2,Ｇミンナシアワセ, 59,藤岡佑, 0.9, 61,   4,  -6, 5, 14.9,③③③, 4, 3,Ｃアドマイヤサンサン, 79,四位洋, 0.7, 69,   3,   5, 2,  5.1,③④⑤, 4, 9,Ｈピオｰネ, 70,藤岡佑, 0.2, 77,   8,* 10, 3,  6.1,⑫⑦⑧
 5, 3,Ｍウエスタンスナイプ, 36,木幡初, 1.3, 47,  -8,*  0,12,303.8,⑬⑬⑩, 5, 5,Ｃトｰアセンヒメ, 61,小林徹, 1.0, 61,*  6,  -9, 7, 19.5,②②①, 5, 6,Ｅエアサバス, 67,安藤勝, 0.8, 67,   4,   2, 4,  7.1,③③③, 5, 2,Ｊグロｰリｰサン, 68,長谷川, 0.7, 71,   7,   2, 5, 11.2,⑥⑤③
 6,11,Ｌアルスヴィド, 38,横山典, 1.5, 48,*  0, -16, 6, 29.3,②⑤③, 6,10,Ｍタケデンビリｰブ, 42,的場勇, 1.1, 56,  -1,  -1,13,322.5,⑪⑪⑧, 6, 1,Ｇロングヘラクレス, 62,武幸四, 1.1, 68,  -1,  10, 7, 58.4,⑨⑨⑦, 6, 1,Ｃシャイニングピアス, 74,塚田祥, 0.7, 69,   5,   6, 8, 20.3,⑥⑨⑩
 7,10,Ｅアグネスラッセル, 45,芹沢純, 1.5, 48,*  0, -17, 4, 15.2,④③③, 7, 9,Ｈキャンパスクイｰン, 57,安藤勝, 1.8, 54,   4, -13, 8, 23.8,④③③, 7, 9,Ｆマイネルマグナｰト, 67,小林徹, 1.1, 66,   1,   5, 6, 21.1,⑧⑧⑧, 7,12,Ｋグリシｰナ, 65,鈴来直, 1.2, 67,*  9,  -7,11, 41.5,②②②
 8, 9,Ｈマイティジャン, 41,津村明, 1.9, 43,  -4, -15,10,204.4,⑩⑧⑧, 8,11,Ｌキタノジャジャウマ, 46,郷原洋, 1.9, 53,   2, -12,11,133.5,⑧⑧⑧, 8, 8,Ｉストリア, 56,柴山雄, 1.7, 56,   3,  -8, 9,105.1,⑤⑤⑥, 8, 7,Ｉエドノドリｰム, 70,木幡初, 1.3, 67,   5,   2, 7, 18.8,⑩⑫⑩
 9,13,Ｃコスモハバネｰロ, 50,柴山雄, 2.1, 43,  -2, -19, 5, 25.1,⑤⑥⑥, 9, 3,Ｉブｰゲンビリア, 53,津村明, 1.9, 51,  -1,  -6,12,135.5,⑬⑫⑫, 9, 2,Ｈバトルハｰトオｰ, 60,津村明, 2.1, 53,   1, -11, 8, 84.0,⑤⑦⑨, 9, 8,Ａカネスベネフィット, 75,津村明, 1.8, 63,   9,  -9,10, 25.0,③③⑤
10, 4,Ｋケイエスヨシキ, 39,松田大, 2.3, 41,  -2, -20, 8, 65.5,⑤⑦⑧,10, 8,Ｋジラソｰレ, 52,木幡初, 2.2, 50,   3, -17,10,114.8,⑥⑤⑥,,,,,,,,,,,,,10, 6,Ｆレソナル, 71,四位洋, 1.8, 64,* 10, -12, 2,  5.6,①①①
11, 5,Ｆメイプルクイｰン, 45,黛弘人, 2.8, 35,  -6, -22,11,299.8,⑨⑪⑩,11, 7,Ｊデュｰクタイフｰン, 52,柴山雄, 2.5, 49,   3, -18, 9, 96.0,④⑤⑧,,,,,,,,,,,,,11,13,Ｌリキサンピュアティ, 64,黛弘人, 1.9, 59,   4,  -4,13,153.8,⑧⑫⑬
