06年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 別定,,,,,,,,,,,,■10R  芝2000m 4歳上500万 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 7,Ｐエプソムファルコン,  0,野元  , 1.6, 31, -25,   0,15,336.7,⑩⑮⑯,12, 8,Ｎレｰベン, 51,鈴来  , 2.7, 51,  -2,  -9,14,130.2,⑬⑪⑪,12,11,Ｏトウショウシュｰト, 53,岩部  , 1.3, 51,  -3,  -5,16,243.1,⑥⑥⑩,12,10,Ｏダンツクレバｰ, 55,川田  , 1.8, 62,   2,   2,13, 70.2,④⑤⑥
13, 4,Ｎコスモモルニ, 19,須貝  , 1.6, 32, -23,  -1,13,225.8,⑪⑬⑬,13,11,Ｍマルブツワｰルド, 55,生野  , 3.4, 44,  -3, -17, 9, 30.1,⑩⑪⑫,13,15,Ｂツキノオウジャ, 68,大西  , 1.4, 56,  -6,   4, 7, 17.4,⑬⑭⑭,13, 7,Ｌビッグオスカｰ, 64,芹沢  , 1.8, 61,*  4,  -4,10, 47.2,②②②
14, 6,Ｏカワカミイチロｰ, 10,飯田  , 1.6, 32, -23,  -1,14,330.9,⑪⑬⑮,14,10,Ｉケリｰズナカヤマ, 61,津村  , 3.4, 43,  -3, -16, 7, 24.6,⑬⑭⑮,14,14,Ｊスズノグランプリ, 65,佐久間, 1.5, 46,* -4, -14,14,108.4,⑤②②,14,14,Ｉトットコヒｰロｰ, 71,津村  , 1.9, 61,   1,   2,12, 49.5,⑦⑦⑨
15, 5,Ｌオオシマオジョｰ, 29,川田  , 1.8, 30, -25,  -3, 8, 23.1,⑯⑮⑪,15,12,Ｃメイショウハヤスミ, 67,小島一, 3.8, 39,  -2, -23,15,171.0,⑦⑨⑫,15,12,Ｋビンテｰジカフェ, 65,小島一, 1.6, 44,  -4, -14, 9, 38.5,③④⑥,15, 4,Ｍインデュライン, 59,太宰  , 2.4, 52,   1,  -6,14, 93.4,⑥⑦⑬
16,13,Ｍオオシマセイラｰ, 27,柄崎  , 2.0, 26, -20, -10,12,219.0,⑮⑪⑬,,,,,,,,,,,,,16, 9,Ｐカイザリッヒ, 39,生野  , 4.5, 21,  -9, -39,15,212.0,⑬⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-5),,,,,,,,,,,
"単勝:650円 複勝:14=200円 15=210円 01=140円 枠連:1,280円",,,,,,,,,,,,単勝:270円 複勝:05=140円 14=150円 06=720円 枠連:590円,,,,,,,,,,,,"単勝:420円 複勝:02=200円 01=530円 08=320円 枠連:4,340円",,,,,,,,,,,,単勝:450円 複勝:03=170円 06=160円 12=140円 枠連:670円,,,,,,,,,,,
"馬連:2,930円 ワイド:14-15=710円 01-14=470円 01-15=550円",,,,,,,,,,,,"馬連:780円 ワイド:05-14=340円 05-06=1,420円 06-14=2,220円",,,,,,,,,,,,"馬連:4,010円 ワイド:01-02=1,410円 02-08=980円 01-08=2,480円",,,,,,,,,,,,"馬連:1,170円 ワイド:03-06=440円 03-12=540円 06-12=350円",,,,,,,,,,,
"馬単:4,330円 3連複:3,090円",,,,,,,,,,,,"馬単:1,520円 3連複:7,420円",,,,,,,,,,,,"馬単:6,450円 3連複:12,550円",,,,,,,,,,,,"馬単:2,080円 3連複:1,430円 3連単:8,430円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利 馬齢,,,,,,,,,,,,■ 6R  ダ1000m 4歳上500万(混) 別定,,,,,,,,,,,,■ 9R  芝1800m 3 歳500万(混) 馬齢,,,,,,,,,,,,■12R  芝1200m 4歳上500万(牝) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,くすのき賞,,,,,,,,,,,,香春岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂコウエイグレｰト, 47,川田  ,, 67, -16,* 17, 7, 17.5,⑤④④, 1, 7,Ａフィｰルザビュウ, 69,ルメｰ,, 73,*  6,   4, 2,  4.0,①①①, 1, 4,Ｅセキサンフジ, 62,ルメｰ,, 68,*-15,  22, 3,  4.1,②②②, 1,13,Ｎサララ, 58,鹿戸  ,, 64, -15,* 19,18, 97.2,⑱⑱⑮
 2,14,Ｆスウィｰトネス, 45,武英  , 0.5, 53,*-13,   6, 6,  7.9,③③②, 2,12,Ｅブリｰジｰウッズ, 63,モンテ, 0.6, 65,   2,   1, 1,  2.4,②②②, 2, 8,Ｂヴィクトリｰラン, 68,川田  , 0.1, 71, -17,* 25, 1,  2.6,⑤③⑤, 2, 2,Ｄバブルファンタジｰ, 71,小牧太, 0.2, 63,  -4,   5, 1,  3.5,⑪⑩⑦
 3, 9,Ｈシゲルシンキガイ, 42,松永  , 0.6, 48,*-12,   3, 2,  5.4,①①①, 3,13,Ｂスウィｰトデジャヴ, 68,藤岡  , 0.6, 63,  -3,   4, 3,  5.2,⑤⑥⑥, 3, 1,Ａセタガヤフラッグ, 68,モンテ, 0.2, 66, -16,  22, 5, 11.1,③③③, 3,15,Ｏホワイトペッパｰ, 57,藤岡  , 0.2, 63,  -9,*  9,11, 23.8,⑯⑮⑪
 4, 4,Ｏトウカイストｰリｰ, 25,鮫島良, 0.9, 48, -19,*  7, 4,  6.7,⑦⑧⑦, 4,14,Ｄマンボカｰニバル, 67,塚田  , 0.6, 58, -12,*  8, 7, 17.9,⑪⑨⑨, 4, 9,Ｆヤマニンプレアデス, 26,中舘  , 0.3, 59,*-15,  17, 4,  7.2,①①①, 4,16,Ｆコウユｰルビｰ, 65,服部剛, 0.2, 62,  -1,   2, 8, 19.3,⑤④⑤
 5, 1,Ｐシロキタダンディｰ,  9,鮫島克, 1.0, 47, -16,   4,10, 49.8,④④④, 5, 3,Ｆマルハチリプリｰ, 62,中谷  , 0.9, 60,  -2,   0,10, 52.5,⑤⑤⑤, 5, 7,Ｃディｰプウイング, 64,藤岡  , 0.5, 58, -16,  17, 2,  3.7,⑥③③, 5, 8,Ｊパラダイスバｰド, 64,ルメｰ, 0.3, 62,*  3,  -3, 5, 12.2,②②②
 6,15,Ｌコスモヘルシャフト, 37,高橋智, 1.2, 44, -17,   3,14, 98.2,⑩⑥⑥, 6, 2,Ｈメイショウラシャ, 61,中舘  , 0.9, 61,   2,  -2, 8, 18.3,②②②, 6, 2,Ｄテンシノゴｰルド, 63,小牧太, 1.2, 46, -19,  13, 6, 11.2,⑥⑦⑥, 6, 1,Ｃオデット, 73,中舘  , 0.5, 59,   1,  -5, 3,  6.8,⑧④②
 7, 7,Ａエイシンテンライ, 47,藤岡  , 1.4, 40, -17,   1, 3,  6.7,⑦⑧⑨, 7, 6,Ｇビジョンシｰカｰ, 62,鮫島良, 1.0, 54,  -8,   1,11, 63.8,⑧⑦⑧, 7, 6, ブラックソフィア,---,松永  , 1.3, 49, -21,  16, 7, 45.0,⑨⑨⑧, 7,10,Ｂホｰプフルワｰルド, 73,小池  , 0.5, 57,  -4,   0, 6, 16.3,⑰⑩⑩
 8,12,Ｄオペラボイス, 46,津村  , 1.6, 34, -19,  -3, 8, 30.1,⑦⑧⑦, 8, 4,Ｉドリｰムシップ, 58,西田  , 1.2, 52, -14,   5, 6, 17.6,⑩⑪⑫, 8, 3, ヒロカミオｰ,---,中留  , 2.5, 24, -19,  -7, 9,136.5,⑥⑦⑧, 8, 3,Ａテイエムロマンス, 78,佐久間, 0.6, 58,*  8, -12, 2,  5.3,①①①
 9, 8,Ｇベルグヤワタ, 44,佐藤聖, 1.7, 33, -22,  -1,13, 73.5,⑬⑫⑭, 9,11,Ｃビｰアヘッド, 67,松田  , 1.2, 57,   2,  -5, 5, 17.1,②②④, 9, 5, リンデンブルｰム,---,鮫島克, 2.6, 22, -18, -10, 8, 87.1,③⑥⑦, 9,18,Ｋサンドティアラ, 63,田嶋翔, 0.6, 56,  -1,  -5,12, 30.9,⑥④⑤
