14年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,観月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 7,Ｇカシノサクセス, 44,小坂忠, 1.3, 43,  -9,  -2, 6, 26.0, ⑨⑦, 7,13, ダイメイチャンプ,---,藤岡佑, 0.8, 65,   2,  -5,12, 95.1, ④④, 7,15,Ｎモズワトウナイ, 59,松山弘, 1.1, 73,  -5,* 15,15,282.8, ⑯⑯, 7,15,Ｍサマリｰズ, 81,ペロヴ, 0.4, 84,* 17,   4, 7, 25.5, ③①
 8, 5,Ｃタピエス, 53,岩田康, 1.4, 43,  -8,  -3, 4,  9.0, ⑤⑤, 8, 3, ハｰツジュニア,---,太宰啓, 0.8, 67,  -3,   5,11, 82.6, ⑨⑨, 8, 2,Ｃマｰクスマン, 77,池添謙, 1.1, 71,  -1,   9, 6, 14.9, ⑨⑨, 7,14,Ｌドレッドノｰト, 82,太宰啓, 0.4, 82,   4,* 17,15,123.2, ⑯⑯
 9, 6,Ｋジンダバイン, 31,武幸四, 1.6, 42, -12,  -1, 3,  8.7, ⑪⑫, 9, 2, ユアインマイハｰト,---,藤田伸, 0.9, 65,*  4, -10, 8, 15.8, ②②, 9,14,Ｂディｰプミタカ, 77,松田大, 1.3, 70,  -1,   9, 7, 15.7, ⑪⑩, 9, 1,Ａナガラオリオン, 89,和田竜, 0.6, 81,  10,  10, 2,  5.3, ⑪⑩
10, 8,Ｉユウキファルコン, 38,秋山真, 1.9, 41, -11,  -2,10,135.2, ⑫⑪,10,15, バトルボンネビル,---,松田大, 1.4, 62,  -3,  -4,16,380.1, ⑩⑪,10, 1,Ｊシゲルアボカド, 67,川須栄, 1.3, 71,   0,   7,10,160.1, ⑦⑦,10,16,Ｉトｰホウチェイサｰ, 84,酒井学, 0.6, 80,  10,   9,16,167.6, ⑩⑪
11, 4,Ｆシゲルオキヨマツリ, 45,国分優, 2.2, 35,  -8, -11,11,154.7, ④⑧,11,11, オマケ,---,酒井学, 1.9, 55,  -5, -10,14,133.8, ⑪⑩,11, 8,Ｋスズカアルファ, 65,国分恭, 1.9, 64,*  2,  -1,12,224.1, ④⑤,11, 2,Ｄエイシンゴｰジャス, 85,松山弘, 0.9, 80,* 17,  -1, 1,  1.8, ①②
12, 1,Ｌハイイノベｰション, 28,太宰啓, 2.5, 35, -10, -11,12,285.2, ⑦⑩,12,16, カネトシバリアント,---,松山弘, 2.2, 52,  -2, -18, 7, 15.3, ⑦⑧,12,10,Ｌウォｰタｰフレアｰ, 62,武幸四, 2.1, 64,  -3,   3,13,257.6, ⑭⑭,12,10,Ｎサウンドリアｰナ, 81,秋山真, 0.9, 76,   6,  11,13, 67.5, ⑭⑭
,,,,,,,,,,,,13, 8, アｰスシンフォニｰ,---,和田竜, 2.5, 49,  -6, -16, 6, 14.8, ⑫⑬,13,12,Ｍトスカニｰニ, 61,ペロヴ, 2.4, 62,   0,  -2,11,184.2, ⑩⑪,13, 3,Ｂマルカバッケン, 87,池添謙, 1.1, 76,  13,   2,14, 67.7, ⑥⑥
,,,,,,,,,,,,14,12, テイエムテツジン,---,国分優, 3.2, 44, -17,  -6,13,122.5, ⑮⑯,14, 9,Ｏタイセイパラゴン, 59,藤田伸, 2.4, 61,   0,  -4,16,306.1, ⑥⑥,14,11,Ｃキズマ, 86,藤田伸, 1.1, 76,   7,   8, 6, 22.4, ⑬⑮
,,,,,,,,,,,,15, 5, ハクユウビクトリｰ,---,池添謙, 3.2, 39,  -8, -23,10, 52.3, ⑬⑭,15, 5,Ｐヤマノレガロ, 43,太宰啓, 3.0, 59,*  3, -10, 9, 97.4, ③③,15, 4,Ｊエｰシントップ, 84,武幸四, 2.3, 68,* 18, -13, 5, 16.3, ②③
,,,,,,,,,,,,16,14, デルマヤブラコウジ,---,秋山真, 3.2, 43, -17,  -5,15,142.6, ⑯⑮,16,16,Ｉトウショウタイド, 69,国分優, 3.1, 55,  -3,  -6,14,258.7, ⑮⑮,16,13,Ｈケビンドゥ, 84,藤岡佑, 2.4, 64,  12,  -9,12, 66.8, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
