14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,2014ﾌﾟﾛﾐﾈﾝﾄ ｼﾞｮｯｷｰｽﾞ ﾄﾛ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,ｷｬﾋﾟﾀﾙｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａブラックバゴ, 62,川田将,, 65, -12,*  6, 2,  4.5,⑧⑥⑦, 1, 9,Ｆウェイトアンドシｰ, 70,岩田康,, 75,*  8,   3, 4,  7.8, ①①, 1, 4,Ｏシェルビｰ, 76,武豊  ,, 81,   8,*  9, 5,  8.8, ⑩⑧,,,,,,,,,,,,
 2, 3,Ｈトｰセンカナロア, 53,武豊  , 0.1, 63,*-11,   2, 4, 10.5,②③③, 2, 2,Ｂクロムレック, 74,福永祐, 0.0, 75,   1,* 11, 2,  4.1, ⑪⑫, 2,10,Ｂロサギガンティア, 86,ブノワ, 0.1, 80,  10,*  6, 1,  3.5, ⑨⑨,,,,,,,,,,,,
 3, 4,Ｅエフティベス, 54,蛯名正, 0.4, 61, -12,   0, 5, 11.3,⑤⑦⑤, 3, 1,Ａアサクサスタｰズ, 79,スミヨ, 0.0, 76,*  6,   6, 1,  2.5, ④④, 3,16,Ｃエｰルブリｰズ, 85,北村宏, 0.1, 81,  11,   3, 7, 16.7, ⑦⑦,,,,,,,,,,,,
 4,10,Ｍグランシャリオ, 46,岩田康, 0.5, 61, -14,   2, 6, 13.1,⑦⑧⑧, 4,13,Ｌペリｰホワイト, 67,大野拓, 0.7, 70,*  6,  -2, 8, 40.8, ②②, 4,15,Ａシャイニｰプリンス, 86,柴田大, 0.2, 79,* 13,  -1, 2,  5.6, ④④,,,,,,,,,,,,
 5, 5,Ｉレトロクラシック, 52,戸崎圭, 0.5, 56,*-11,  -6, 3,  9.5,③②②, 5,10,Ｃポｰルシッタｰ, 73,田辺裕, 0.7, 70,   4,   1, 3,  7.4, ⑨⑦, 5, 5,Ｇマイネルメリエンダ, 82,丹内祐, 0.2, 79,* 13,  -1, 8, 18.6, ⑤③,,,,,,,,,,,,
 6, 7,Ｎコスモアルマク, 46,丹内祐, 0.6, 57, -12,  -4,15, 61.2,⑥⑤⑥, 6, 4,Ｉプレシャスムｰン, 68,木幡初, 0.7, 70,  -2,*  9, 9, 58.0, ⑮⑮, 6, 6,Ｆリアルインパクト, 83,ムｰア, 0.2, 76,* 14,  -4, 4,  8.4, ②②,,,,,,,,,,,,
 7, 1,Ｋダブルフラワｰ, 49,柴田大, 0.6, 60, -15,   2,12, 47.3,⑨⑩⑩, 7,16,Ｋドラゴンビュｰティ, 67,原田和, 0.8, 68,   3,   1,13, 93.2, ⑩⑨, 7, 8,Ｊコスモソｰンパｰク, 78,松岡正, 0.4, 78,  11,  -1,12, 35.5, ⑥⑥,,,,,,,,,,,,
 8, 2,Ｑキングデュナミス, 30,浜中俊, 0.7, 53,* -9, -11,16, 62.6,①①①, 8, 6,Ｊヴェルフェン, 67,江田照, 1.0, 66,   1,   2,10, 59.8, ⑫⑪, 8,11,Ｄアｰデント, 83,岩田康, 0.4, 77,   6,*  8,11, 33.0, ⑪⑫,,,,,,,,,,,,
