14年 9月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,寺泊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
18,12,Ｐメリケンガｰル,  7,松岡正, 2.4, 22, -36,  -8,18,284.3,   ,,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｎマイネルメダリスト, 84,蛯名正, 1.0, 81,  11,   9, 8, 19.3,⑬⑪⑪
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-36 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:3),,,,,,,,,,,
"単勝:1,160円 複勝:14=290円 16=190円 10=140円 枠連:700円",,,,,,,,,,,,単勝:380円 複勝:08=110円 03=110円 05=120円 枠連:310円,,,,,,,,,,,,"単勝:6,270円 複勝:14=1,400円 11=440円 02=1,150円 枠連:3,380円",,,,,,,,,,,,"単勝:720円 複勝:11=250円 06=450円 05=850円 枠連:4,130円",,,,,,,,,,,
"馬連:2,420円 ワイド:14-16=960円 10-14=730円 10-16=450円",,,,,,,,,,,,馬連:320円 ワイド:03-08=150円 05-08=220円 03-05=140円,,,,,,,,,,,,"馬連:24,620円 ワイド:11-14=5,540円 02-14=13,580円 02-11=5,050円",,,,,,,,,,,,"馬連:6,250円 ワイド:06-11=1,760円 05-11=3,000円 05-06=6,030円",,,,,,,,,,,
"馬単:5,010円 3連複:3,420円 3連単:24,700円",,,,,,,,,,,,"馬単:850円 3連複:300円 3連単:1,890円",,,,,,,,,,,,"馬単:65,420円 3連複:191,370円 3連単:1,462,540円",,,,,,,,,,,,"馬単:11,430円 3連複:56,470円 3連単:255,930円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,芙蓉ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄモリトハリウッド, 65,吉田豊,, 62,  -6,   6, 3,  5.5, ⑧⑧, 1, 2,Ａレッツサッチャｰ, 76,松岡正,, 68,*  6,  -1, 2,  5.5, ②②, 1, 7,Ｃジャストドゥイング, 47,北村宏,, 68,*-47,* 38, 4,  9.0, ③③, 1, 1,Ａシュトラｰル, 82,蛯名正,, 70,* 10,   0, 1,  2.0, ①①
 2, 3,Ｇメイショウアガサ, 59,柴田善, 0.2, 60, -10,*  8, 6, 17.3, ⑨⑨, 2, 6,Ｈパイメイメイ, 67,原田和, 0.0, 67,   1,   4, 4,  9.0, ⑦⑦, 2, 3,Ｅロジチャリス, 44,蛯名正, 0.1, 66,*-47,  35, 1,  1.4, ②②, 2,12,Ｅカシノスティｰヴ, 69,西田雄, 0.0, 71,   1,*  8,10, 32.0, ④③
 3, 8,Ｉガスタｰ, 55,二本柳, 0.3, 61, -13,* 11,11, 81.3, ⑪⑩, 3, 1,Ｊキャレモンショコラ, 66,北村宏, 0.2, 66,*  6,  -3, 3,  6.6, ①①, 3, 8,Ａストリｰトキャップ, 57,戸崎圭, 0.2, 65,*-47,  35, 2,  3.7, ④⑤, 3, 5,Ｋアポロオオジャ, 65,原田和, 0.5, 65,  -3,*  8,14,140.4, ⑧⑦
 4,13,Ｃカレｰニナ, 66,吉田隼, 0.6, 58,  -5,   0, 5, 16.2, ⑦⑦, 4, 3,Ｇプレシャスムｰン, 67,木幡初, 0.3, 65, -14,* 15, 7, 19.3, ⑮⑮, 4, 1,Ｂアドマイヤピンク, 50,川田将, 0.6, 57,*-45,  27, 3,  6.7, ①①, 4, 6,Ｈダンディｰソル, 68,石川裕, 0.6, 64,  -4,*  8, 3, 10.9, ⑩⑪
 5,12,Ｌグロｰバルシップ, 48,黛弘人, 0.7, 58, -13,   8,13,237.2, ⑩⑪, 5,15,Ｂラヴァｰサクラ, 71,大野拓, 0.4, 64,   4,  -3, 1,  2.1, ④④, 5, 6,Ｄシゲルケンカヤマ, 47,丸田恭, 0.9, 54, -48,  27, 5, 40.5, ⑤④, 5,10,Ｃマンリｰ, 72,戸崎圭, 0.7, 63,  -4,   7, 2,  3.7, ⑪⑩
 6, 4,Ｆクアトロマエストロ, 62,田辺裕, 0.7, 56,*  2,  -8, 7, 26.2, ②②, 6,14,Ｍサンタレジｰナ, 59,三浦皇, 0.4, 64,   2,  -1, 6, 16.4, ⑥⑥, 6, 5,Ｈユノ, 25,津村明, 2.2, 38, -47,   9, 6,125.3, ⑥⑥, 6, 7,Ｆドラゴンスパン, 69,田辺裕, 0.9, 61,  -8,*  9, 7, 22.6, ⑭⑬
 7,10,Ａダイワバリュｰ, 70,北村宏, 0.7, 57,  -1,  -4, 1,  1.9, ⑤④, 7, 9,Ｋジャストフレンズ, 62,井上敏, 0.6, 62,  -9,*  8,14,302.1, ⑬⑫, 7, 2,Ｆマタンギ, 34,二本柳, 2.5, 38, -48,   5, 7,175.0, ⑦⑦, 7, 3,Ｄシゲルホウオウザ, 69,北村友, 1.0, 61,  -6,   7,11, 44.2, ⑫⑫
