14年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ2100m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 7R  ダ1300m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
15, 7,Ｆランデッククィｰン, 56,内田博, 3.2, 32, -14, -15, 5, 22.2, ⑭⑯,,,,,,,,,,,,,15, 5,Ｅモンテフジサン, 75,田辺裕, 1.5, 58,  13, -18,11, 34.4, ②②,15,10,Ｉキタサンウンリュｰ, 77,戸崎圭, 1.8, 59,*  8,  -8, 6, 14.7, ③②
16, 2,Ｏカシノトップレディ, 37,二本柳, 3.6, 30, -13, -20,16,381.4, ⑬⑬,,,,,,,,,,,,,16, 1,Ｄツクバリンカｰン, 76,横山典, 1.9, 57, -11,  11, 5, 10.2, ⑰⑰,16,13,Ｃプランタンビジュｰ, 79,柴田善, 2.0, 57,* 11, -11, 4,  9.5, ①①
,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｑクリノロッキｰ, 61,大野拓, 2.2, 53,  -2,  -6,16,296.5, ⑦⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
"単勝:3,480円 複勝:09=1,310円 01=1,180円 04=1,360円 枠連:20,810円",,,,,,,,,,,,"単勝:350円 複勝:13=160円 08=280円 05=170円 枠連:1,150円",,,,,,,,,,,,"単勝:1,740円 複勝:14=470円 17=210円 10=2,230円 枠連:2,030円",,,,,,,,,,,,"単勝:1,840円 複勝:16=390円 14=140円 05=160円 枠連:500円",,,,,,,,,,,
"馬連:40,570円 ワイド:01-09=7,910円 04-09=9,370円 01-04=4,710円",,,,,,,,,,,,"馬連:2,160円 ワイド:08-13=620円 05-13=390円 05-08=850円",,,,,,,,,,,,"馬連:2,180円 ワイド:14-17=990円 10-14=13,350円 10-17=6,200円",,,,,,,,,,,,"馬連:2,050円 ワイド:14-16=800円 05-16=1,350円 05-14=330円",,,,,,,,,,,
"馬単:101,620円 3連複:182,630円 3連単:1,661,200円",,,,,,,,,,,,"馬単:3,600円 3連複:3,970円 3連単:21,760円",,,,,,,,,,,,"馬単:5,460円 3連複:58,480円 3連単:267,090円",,,,,,,,,,,,"馬単:6,640円 3連複:3,580円 3連単:33,270円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
