14年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾚｼﾞｪﾝﾄﾞﾄﾚｰﾅｰｽﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:190円 複勝:18=110円 07=260円 06=570円 枠連:1,140円",,,,,,,,,,,,"単勝:790円 複勝:11=260円 02=280円 14=1,020円 枠連:1,300円",,,,,,,,,,,,"単勝:11,270円 複勝:12=1,430円 07=140円 06=300円 枠連:5,280円",,,,,,,,,,,,単勝:670円 複勝:12=170円 07=130円 15=320円 枠連:770円,,,,,,,,,,,
"馬連:1,220円 ワイド:07-18=590円 06-18=1,530円 06-07=2,990円",,,,,,,,,,,,"馬連:1,660円 ワイド:02-11=1,200円 11-14=5,230円 02-14=5,060円",,,,,,,,,,,,"馬連:11,110円 ワイド:07-12=3,380円 06-12=7,550円 06-07=540円",,,,,,,,,,,,"馬連:890円 ワイド:07-12=360円 12-15=1,300円 07-15=870円",,,,,,,,,,,
"馬単:1,650円 3連複:8,290円 3連単:18,990円",,,,,,,,,,,,"馬単:3,540円 3連複:44,300円 3連単:104,770円",,,,,,,,,,,,"馬単:40,610円 3連複:26,280円 3連単:417,380円",,,,,,,,,,,,"馬単:2,340円 3連複:4,500円 3連単:23,650円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 6R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾚｼﾞｪﾝﾄﾞｼﾞｮｯｷｰｽﾞｶｯﾌﾟ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａニシノオタケビ, 58,田辺裕,, 57,   7,*-16, 1,  1.4,③④④, 1,13,Ｆジョｰジジョｰジ, 69,田中勝,, 70, -10,* 16, 4, 10.8, ⑮⑮, 1, 7,Ｇワンダｰコロアｰル, 79,松岡正,, 82,* 10,  10, 9, 28.0, ③②, 1,14,Ａラインハｰディｰ, 79,的場勇,, 74,   3,*  3, 4,  9.0, ⑰⑯
 2, 2,Ｂエｰスオブエｰス, 56,大野拓, 0.7, 51,   4,*-20, 3,  5.9,⑧⑧⑦, 2,12,Ｂドレッシｰスタイル, 72,木幡初, 0.1, 69,  -6,  11, 3, 10.4, ⑩⑩, 2,16,Ｉハイアｰレｰト, 78,吉田豊, 0.1, 79,* 10,   8, 3,  4.2, ①①, 2, 5,Ｋサトノフェアリｰ, 66,田中勝, 0.0, 75,   5,*  1, 8, 24.3, ⑮⑮
 3,11,Ｉアキタノユキ, 37,丹内祐, 0.7, 52,* 11, -33,12,282.7,⑤③③, 3,10,Ｇカレイファンタジア, 69,丸田恭, 0.1, 67,  -5,   9,12, 31.8, ⑧⑦, 3,10,Ｈグランフィデリオ, 78,柴田善, 0.2, 79,   9,  11, 8, 22.0, ④④, 3,10,Ｃイントロダクション, 73,三浦皇, 0.0, 74,   8,  -4, 1,  3.9, ⑪⑪
