14年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾞｨｰﾌﾟｲﾝﾊﾟｸﾄｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10, 2,Ｉアグリナンバｰワン, 45,池添謙, 1.5, 37,  -8, -25, 9, 52.8, ⑦⑤,10, 8, ワｰルドレジェンド,---,岩田康, 1.4, 43, -13, -12, 9, 27.6,⑤⑤⑥,10, 3,Ｊウｰマン, 39,ペロヴ, 4.4, 33, -10, -23,10,175.8, ⑥⑦,10, 8,Ｎワｰルドインパクト, 80,ブドｰ, 1.2, 85,  16,   2,12, 50.1,⑨⑩⑨
11,11,Ｊマヤジョワイユ, 45,酒井学, 1.5, 37, -10, -24,13,203.7, ⑨⑨,11, 6, タマモエトワｰル,---,和田竜, 1.5, 41,  -9, -21,11, 36.3,③③③,,,,,,,,,,,,,11,17,Ｈヴォルシェｰブ, 83,岩田康, 1.4, 83,  14,   2,11, 32.7,⑫⑭⑬
12,14,Ｎボｰベルレｰヌ, 34,川島信, 1.7, 36,  -6, -31,14,270.1, ⑥⑦,12,12, ヒルノデンハｰグ,---,鮫島良, 1.8, 40,* -2, -45,13, 80.1,②②②,,,,,,,,,,,,,12, 9,Ｍハギノハイブリッド, 80,福永祐, 1.5, 83,  16,  -2, 8, 25.2,⑧⑨⑧
13, 5,Ｍサンフレイム, 37,松山弘, 2.0, 32, -12, -28, 8, 27.4, ⑫⑩,13, 4, ミスズダンディｰ,---,池添謙, 1.9, 41, -19,  -3,15,146.5,⑭⑮⑭,,,,,,,,,,,,,13,13,Ｌミヤビジャスパｰ, 81,池添謙, 1.6, 81,  13,   5,14, 65.8,⑰⑰⑯
14,13,Ｋスキｰスクｰル, 42,北村友, 2.0, 32,*  0, -44, 7, 25.9, ①①,14,15, ジェルヴェｰズ,---,小牧太, 3.1, 26, -13, -36,10, 29.7,④⑥⑧,,,,,,,,,,,,,14,18,Ｇメイショウスミトモ, 84,武幸四, 2.4, 79,  13,  -2,17,192.9,⑮⑯⑰
,,,,,,,,,,,,15,11, トｰセンゲイル,---,武豊  , 3.3, 26, -19, -24, 2,  4.9,⑨⑭⑮,,,,,,,,,,,,,15, 5,Ｒシャンパｰニュ, 71,松山弘, 3.0, 73,* 18, -34,15,149.7,③①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｅトゥザワｰルド, 85,川田将, 4.2, 66,* 17, -45, 2,  5.3,④④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｑアドマイヤランディ, 73,藤岡康, 4.4, 65,  11, -25,18,229.9,⑱⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 3,Ｐサングラス, 74,古川吉, 7.1, 24,  16, -85,16,152.7,①②⑮
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-6),,,,,,,,,,,
