14年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:790円 3連複:4,170円 3連単:17,420円",,,,,,,,,,,,"馬単:720円 3連複:1,330円 3連単:5,350円",,,,,,,,,,,,"馬単:2,810円 3連複:740円 3連単:7,110円",,,,,,,,,,,,"馬単:22,700円 3連複:46,230円 3連単:266,760円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｱｲﾋﾞｰｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａカカドゥ, 60,横山典,, 61,  -3,* -3, 1,  2.3,④⑥⑥, 1, 3,Ｃヴェルデホ, 75,ベリｰ,, 74,   6,*  8, 2,  3.5,④⑦④, 1, 4,Ｄコスモナインボｰル, 61,柴田大,, 58,*  7, -12, 7, 22.7,①②②, 1, 1,Ｃヒメサクラ, 78,柴田善,, 87,* 14,*  7, 2,  7.2, ①①
 2, 8,Ｃヴァｰサトル, 50,藤岡康, 0.1, 61,  -2,  -7, 2,  3.5,⑦⑤⑤, 2, 8,Ｄウラレナ, 74,蛯名正, 0.0, 76,*  7,   5, 4,  6.2,③③③, 2, 6,Ｈスワｰヴジョｰジ, 51,四位洋, 0.0, 58,   4,* -5, 4,  8.3,⑦⑥⑥, 2,11,Ｇサトノジョリｰ, 77,藤岡康, 1.0, 79,  10,*  5, 9, 33.5, ⑩⑨
 3, 7,Ｆナリノパシオン, 41,田辺裕, 0.2, 58,*  1, -16, 4,  7.3,⑧③③, 3, 1,Ｇドラゴンズタイム, 68,吉田豊, 0.6, 73,   6,   6, 7, 19.3,⑦⑧⑦, 3, 8,Ｂロジチャリス, 65,三浦皇, 0.1, 56,   6, -11, 1,  2.4,④④④, 3, 3,Ｂダンシングミッシｰ, 81,吉田豊, 1.4, 75,* 13,  -4, 3,  7.7, ②②
 4, 4,Ｂアキタノユキ, 51,柴田大, 1.1, 50,  -2, -25, 5,  9.2,③④④, 4, 6,Ｅリタｰントゥジェム, 74,戸崎圭, 0.9, 70,   6,   1, 3,  5.8,⑧⑥⑥, 4, 5,Ｅレッドルモンド, 56,柴田善, 0.2, 54,*  9, -18, 6, 13.8,②①①, 4,10,Ｉラブリｰスタｰ, 74,石川裕, 1.6, 72,   7,   1,14,125.3, ⑫⑫
 5, 3,Ｅコスモバｰダン, 47,ベリｰ, 1.2, 49,*  1, -32, 6, 32.2,①①①, 5, 5,Ａフィｰユブルｰ, 77,三浦皇, 1.3, 68,*  8,  -6, 5,  7.6,②②②, 5, 1,Ｆダイトウキョウ, 53,福永祐, 0.4, 53,   6, -15, 5,  9.4,③③③, 5, 6,Ｄムｰドティアラ, 78,田辺裕, 1.7, 71,   6,*  3, 4, 10.9, ⑯⑬
 6, 5,Ｈチｰムジャパン, 37,石川裕, 1.3, 49,  -4, -20, 8,162.3,⑤⑦⑦, 6, 4,Ｂハｰストイｰグル, 77,松岡正, 1.3, 67,*  8,  -7, 1,  3.0,①①①, 6, 7,Ａドラゴンヴァｰス, 66,戸崎圭, 0.5, 52,   4, -12, 3,  5.9,⑥⑦⑦, 6,12,Ａアンナミルト, 82,福永祐, 1.7, 73,  10,  -3, 1,  1.8, ⑨⑧
