14年11月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京洛ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 1,Ｇフォｰスタｰ, 51,藤田伸, 0.8, 48,  -7,  -9, 8, 27.0, ⑧⑦,,,,,,,,,,,,,13, 7,Ｅフジインザスカイ, 83,川島信, 1.8, 75,   4,   7,13, 90.3,⑥⑨⑧,13, 3,Ｉマイネルバイカ, 93,松山弘, 1.3, 83,   8,  11,12, 66.6,⑬⑮⑭
14, 8,Ｊサマｰサラファン, 44,太宰啓, 0.8, 48,  -9,  -5,13,159.6, ⑩⑫,,,,,,,,,,,,,14, 5,Ｇマイネルハルカゼ, 81,幸英明, 2.0, 72,   4,   4, 6,  8.5,⑧⑦⑩,14,15,Ｏタガノジンガロ, 85,木村健, 1.5, 80,  11,   4,13,151.0,⑤⑩⑪
15, 9,Ｑシゲルヤマガサ, 23,藤懸貴, 1.4, 42, -17,  -3,17,412.6, ⑰⑰,,,,,,,,,,,,,15, 6,Ｍレイトライザｰ, 75,川須栄, 2.6, 70,   2,   5,11, 45.6,⑫⑬⑬,15,13,Ｋグラッツィア, 89,ルメｰ, 1.7, 78,* 13,   0,11, 55.3,⑩④⑦
16,10,Ｅタマモホットポット, 55,和田竜, 1.8, 37,  -8, -20, 4,  6.3, ⑪⑩,,,,,,,,,,,,,16,16,Ｊシゲルモトナリ, 80,松田大, 3.1, 62,*  6,  -8,14,121.7,②②②,16,12,Ｆヴォｰグトルネｰド, 93,川須栄, 2.9, 73,   9,  -4,10, 25.2,⑭⑭⑮
17,17,Ｎサイクルヒッタｰ, 37,幸英明, 2.8, 25,  -8, -33,16,243.0, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
単勝:620円 複勝:04=190円 14=280円 03=150円 枠連:280円,,,,,,,,,,,,単勝:330円 複勝:08=130円 09=120円 06=170円 枠連:350円,,,,,,,,,,,,"単勝:630円 複勝:10=220円 12=270円 01=160円 枠連:2,070円",,,,,,,,,,,,"単勝:550円 複勝:14=210円 04=390円 10=250円 枠連:3,500円",,,,,,,,,,,
"馬連:5,650円 ワイド:04-14=2,000円 03-04=380円 03-14=660円",,,,,,,,,,,,馬連:540円 ワイド:08-09=230円 06-08=390円 06-09=380円,,,,,,,,,,,,"馬連:2,290円 ワイド:10-12=810円 01-10=750円 01-12=690円",,,,,,,,,,,,"馬連:4,480円 ワイド:04-14=1,460円 10-14=800円 04-10=1,820円",,,,,,,,,,,
"馬単:8,740円 3連複:5,650円 3連単:43,720円",,,,,,,,,,,,"馬単:1,160円 3連複:1,000円 3連単:4,030円",,,,,,,,,,,,"馬単:4,330円 3連複:4,650円 3連単:27,840円",,,,,,,,,,,,"馬単:7,630円 3連複:10,300円 3連単:54,980円",,,,,,,,,,,
■ 3R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 6R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂプレシャスルｰジュ, 62,福永祐,, 67,   1,*  3, 1,  2.6, ③③, 1, 2,Ｇメイショウマサカゼ, 55,太宰啓,, 75,   7,*  2, 9, 51.2, ④④, 1, 3,Ｃバッドボｰイ, 82,幸英明,, 79,* -3,   9, 3,  4.2, ①①, 1, 7,Ｂダンスディレクタｰ, 79,浜中俊,, 82,   3,* 15, 1,  2.3, ④④
 2, 3,Ｅマルカメテオ, 55,松山弘, 0.5, 64,*  2,  -3, 5, 15.6, ①①, 2, 3,Ｃグランデサムライ, 63,北村友, 0.2, 76,  13,  -6, 5, 13.4, ②②, 2, 5,Ｅトｰセンソレイユ, 77,武豊  , 0.0, 81,  -6,* 15, 1,  2.5, ⑦⑥, 2, 3,Ｇケイアイユニコｰン, 75,和田竜, 0.4, 76,   1,  11, 7, 20.1, ⑤⑤
 3, 7,Ａミトノゴｰルド, 64,秋山真, 0.6, 61,   1,  -2, 4,  8.3, ④②, 3, 9,Ｂマジックシャトル, 63,浜中俊, 0.5, 75,* 19, -17, 3,  8.4, ①①, 3,10,Ｂアクションスタｰ, 82,北村友, 0.0, 79,* -4,  11, 4,  8.1, ②②, 3, 1,Ａダイナミックガイ, 82,池添謙, 0.4, 76,  -2,* 14, 5, 12.9, ⑦⑧
 4,11,Ｇタイユｰル, 51,北村友, 0.7, 60,  -3,*  3, 6, 19.2, ⑩⑨, 4, 4,Ｄトウショウピスト, 62,池添謙, 0.6, 66,   2,* -1, 1,  1.6, ⑧⑦, 4, 1,Ｉデリッツァリモｰネ, 71,和田竜, 0.1, 79,  -6,  12, 7, 27.8, ③③, 4, 9,Ｃキタサンラブコｰル, 78,藤田伸, 0.5, 75,  -2,  12, 3,  6.4, ⑨⑨
 5,10,Ｃデブリン, 58,武豊  , 1.1, 56,  -9,*  5, 2,  2.8, ⑫⑫, 5, 1,Ｅカノヤカンザクラ, 59,小牧太, 0.9, 62,   1,  -4, 2,  6.3, ⑨⑨, 5, 6,Ａファントムライト, 82,浜中俊, 0.2, 78,  -6,  12, 2,  3.5, ⑤⑤, 5, 2,Ｄアリュｰジョン, 77,福永祐, 0.6, 73,* 13,  -4, 2,  3.8, ①①
