14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 4,Ｆトウカイストリｰム, 63,ルメｰ, 1.9, 53,   2, -11, 1,  2.6,⑤⑨⑧, 9,12,Ｅミッキｰラブソング, 59,ルメｰ, 0.9, 51,  -9, -15, 6, 14.1, ⑨⑨, 9,12,Ｊトゥヴァビエン, 75,酒井学, 1.2, 69,   1,   5,10, 66.1,⑧⑥⑥, 9, 9,Ｆマイネボヌｰル, 83,酒井学, 0.7, 81,   6,   3,15,204.0, ⑤⑤
10,12,Ｄウイニングフェイス, 65,武豊  , 1.9, 58,  -1,  -7, 4,  8.2,⑬⑬⑬,10, 5,Ｉゴｰルデンクロス, 54,池添謙, 1.6, 41,* -6, -32, 9, 59.8, ②②,10, 7,Ｆセイスコｰピオン, 81,川田将, 1.3, 71,   1,   5, 4,  8.1,⑦⑧⑧,10, 4,Ｏクラウンロゼ, 72,和田竜, 0.7, 81,*  8,   0,13, 64.6, ③③
11, 7,Ｉジョウショｰキラｰ, 56,国分恭, 2.6, 50,   0, -14,10,130.6,⑩⑪⑫,11,16,Ｃテｰオｰビックバン, 60,浜中俊, 1.6, 40,  -9, -28, 5, 14.1, ⑧⑦,11, 6,Ｉサンマルボス, 78,国分優, 1.4, 68,   0,   6,12,336.2,⑪⑪⑪,11, 6,Ｊプリンセスジャック, 82,北村友, 0.7, 87,  -2,  17, 8, 20.6, ⑬⑭
12,10,Ｋメイショウファルコ, 55,国分優, 3.0, 48,   3, -22,11,143.6,③⑦⑨,12, 7,Ｏブルｰダイアモンド, 38,北村友, 1.7, 44, -14, -17,12,111.7, ⑭⑮,12, 5,Ｈクロｰバｰリｰフ, 79,池添謙, 1.5, 66,*  2,   1, 8, 25.2,④④④,12,15,Ｐコレクタｰアイテム, 72,秋山真, 0.9, 84,  -2,  15,14,163.4, ⑮⑬
13,14,Ｇウォｰタｰブギウギ, 62,酒井学, 3.7, 44,   2, -27,14,501.9,⑥⑧⑩,13, 9,Ｌラテラルアｰク, 49,四位洋, 2.3, 35, -15, -26,11, 95.1, ⑮⑭,13,13,Ｌナンヨｰスラッガｰ, 68,岡田祥, 1.5, 68,  -1,   6,13,557.4,⑫⑫⑬,13, 5,Ｋチャｰチクワイア, 80,川田将, 0.9, 80,   4,   3,12, 54.5, ⑧⑧
14, 9,Ｊエｰティｰペガサス, 55,藤田伸, 5.4, 35,  -2, -33, 7, 28.2,⑭⑭⑭,14,14,Ｍマコトヴィガラス, 45,鮫島良, 2.4, 33,  -8, -42,15,521.2, ⑤⑤,,,,,,,,,,,,,14, 8,Ｉアドマイヤセプタｰ, 82,ギュイ, 0.9, 82,  -1,  11,11, 42.0, ⑪⑫
,,,,,,,,,,,,15,15,Ｋエイシンヤノゴトク, 50,国分優, 2.6, 32,  -7, -45,13,337.9, ④③,,,,,,,,,,,,,15,11,Ｃコスモネモシン, 85,丹内祐, 1.1, 79,   2,   5,10, 37.6, ⑩⑩
,,,,,,,,,,,,16, 4,Ｐビッププリマステラ, 10,和田竜, 3.2, 29, -19, -30,14,350.8, ⑯⑯,,,,,,,,,,,,,16, 7,Ｍレジェトウショウ, 74,池添謙, 1.5, 76,  -2,   5,16,448.9, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
