14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,但馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 9, ミッキｰサムソン,---,和田竜, 0.9, 57,   0,* -2,12,175.7,⑮⑭⑪, 7, 5,Ｂディライトフル, 63,武豊  , 1.2, 60,  11, -28, 4,  8.8, ⑤⑤, 7,11,Ｍブラックブッシュ, 48,高倉稜, 1.3, 63,   3,   5, 9, 60.5,⑪⑩⑨, 7, 3,Ｈサイモントルナｰレ, 77,横山和, 2.9, 74,   7,  -2, 9,182.0,④④⑨
 8,14,Ｇクリノクレオパトラ, 57,岩崎翼, 1.0, 53,   2,  -7,13,186.4,⑪⑩⑨, 8,12,Ｅデルマシシマル, 59,松田大, 1.4, 57,* 12, -35, 7, 14.5, ②②, 8, 7,Ｂデビルズハｰツ, 75,四位洋, 1.6, 63,   2,   5, 3,  6.9,⑬⑪⑩, 8, 7,Ｆタマモベストプレイ, 87,和田竜, 2.9, 75,   8,  -5, 6, 31.5,⑦⑧⑦
 9, 2,Ｍシャイニンシｰザｰ, 43,藤懸貴, 1.1, 55,   1,  -3,15,401.8,⑫⑬⑩, 9, 1,Ｎサンレイサムライ, 48,藤岡康, 1.7, 54,   9, -33, 6, 12.9, ⑦⑦, 9, 5,Ｉサクラヴィクトリｰ, 60,菱田裕, 1.7, 58,   5,  -1, 4,  8.4,⑦⑦⑤, 9, 4,Ｉエｰシンスピｰダｰ, 74,太宰啓, 3.6, 69,   8, -16, 8,162.3,③③⑥
10, 6,Ｆロｰゼロッセ, 59,菱田裕, 1.2, 51,   1,  -7,10, 47.8,⑭⑫⑫,10,11,Ｈクニサキオペラ, 55,花田大, 2.0, 53,   2, -24,16,524.8, ⑮⑭,10, 8,Ｌミニ, 56,義英真, 3.6, 47,   6, -19,11,128.9,③④⑥,,,,,,,,,,,,
11, 8,Ｊタマモリド, 46,水口優, 1.4, 53,   7, -19,14,186.7,⑤⑤⑤,11, 8,Ｋサンレイロッキｰ, 53,森一馬, 2.8, 46,  11, -51,15,255.8, ⑥⑥,11, 1,Ｇプラネットスコア, 68,小坂忠, 4.0, 45,   5, -20, 8, 28.1,④⑥⑪,,,,,,,,,,,,
12,10, アドマイヤカロ,---,秋山真, 1.6, 49,  -1,  -5, 9, 42.0,⑯⑯⑯,12, 2,Ｊジョｰチャｰリｰ, 54,小牧太, 3.0, 44,  -5, -22,13,164.5, ⑯⑮,12, 9,Ｋタガノバスタｰ, 57,岩田康, 4.1, 46,   0, -11, 7, 27.2,⑫⑬⑬,,,,,,,,,,,,
13, 7,Ｉメイショウヴェスタ, 49,城戸義, 1.9, 47,   4, -19,16,632.5,⑦⑦⑧,13,13,Ｉミントジュレップ, 55,秋山真, 3.5, 40,   5, -51,11,132.9, ⑩⑩,13, 2,Ｊノｰトゥング, 57,鮫島良, 4.4, 46,   1, -18,13,252.7,⑩⑫⑫,,,,,,,,,,,,
14,16,Ｄシャッツクヴェレ, 62,藤岡康, 2.4, 44,*  8, -31, 3,  9.3,④③④,14,15,Ｆモウイイデショウ, 59,松若風, 3.7, 40,* 12, -67,10, 34.5, ③④,,,,,,,,,,,,,,,,,,,,,,,,
15,13, セイウンジャイロ,---,武豊  , 2.9, 44,   1, -20, 4, 11.1,⑩⑪⑮,15,16,Ｌビビッドオｰブ, 51,菱田裕, 4.6, 16,* 13, -83,12,141.3, ①①,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Ｈメイショウマツシマ, 54,小牧太, 4.0, 37,   2, -31,11, 50.2,⑧⑨⑭,16, 6,Ｏポルナｰダ, 33,岩崎翼, 5.9,  8,  -6, -61,14,183.0, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
