08年 8月 3日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 3日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,かもめ島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 8,Ｉプリティアリエル, 48,四位洋, 2.0, 43, -11,  -7, 8, 63.8,⑨⑨⑨, 9, 4,Ｄマジックロｰド, 61,木幡初, 2.2, 48,   7, -43, 8, 22.1,⑦⑤④, 9,11,Ｊマスラタケヲ, 63,丸田恭, 1.9, 62,   7, -18,11,165.2,⑥⑥⑧, 9, 9,Ｈトワイライトワルツ, 77,三浦皇, 1.6, 69,   6,   7, 8, 40.8,⑨⑩⑩
10, 7, ガｰデンシティｰ,---,鈴来直, 2.5, 37, -14, -10,11,180.2,⑪⑪⑨,10,13,Ｏデンコウレｰナ, 45,北村友, 2.4, 47,   3, -37,16,278.2,⑪⑨⑨,10, 2,Ｄエアシャトゥｰシュ, 73,安藤勝, 2.1, 58,   8, -25, 3,  5.7,④④④,10, 6,Ｉナスケンウインド, 75,増沢由, 1.7, 70,   6,   6,11,137.6,⑪⑨⑨
11, 4,Ｇエンディアメント, 50,ホワイ, 3.6, 28,  -1, -28, 7, 31.0,③③④,11, 2,Ｋニシノシャア, 53,武幸四, 3.1, 42,   3, -44, 9, 37.1,⑮⑪⑫,11,10,Ｂキングオブロマネ, 73,横山典, 2.1, 59,* 11, -29, 6, 12.9,②②②,11,13,Ｄビッグクラウン, 80,古川吉, 2.4, 65,   7,  -3, 7, 32.7,⑤⑥⑦
,,,,,,,,,,,,12, 7,Ｆエｰシンダカｰポ, 59,荻野琢, 3.7, 40,*  8, -65,10, 44.2,③③④,,,,,,,,,,,,,12, 1,Ｍアイアイスピｰチ, 70,大野拓, 2.6, 64,   7,  -3,10, 94.4,③⑦⑩
,,,,,,,,,,,,13,14,Ｐヤマニングラッセ, 41,松田大, 3.7, 39,   1, -49,15,256.6,⑬⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,15,Ｍベガスタｰカフェ, 49,ホワイ, 4.6, 15,   7, -76, 4, 10.5,③③⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 9,Ｉユウメリｰウェザｰ, 56,三浦皇, 5.2, 12,   1, -70, 5, 15.4,③⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
